species,historical_engraftment_rate,causal_ace,causal_sig,resource_accessibility,crossfeeding_synergy,butyrate_flux,propionate_flux,acetate_flux,lactate_flux,succinate_flux,formate_flux,therapeutic_score,keystone_conflict_mean,niche_overlap_mean,causal_ace_missing,resource_accessibility_missing,crossfeeding_synergy_missing,scfa_missing,historical_engraftment_rate_missing,cece_score,cece_score_manual,cece_score_calibrated
Blautia_wexlerae,0.75,0.8866839347093122,1.0,0.3464301557445848,0.325642711132715,0.0,0.0,0.123368021034862,0.0,0.0177042359058936,0.3363075585286231,0.1150789911027562,0.550671088332831,0.8445707664733989,0,0,0,0,0,0.6539233213140863,0.42892332131408617,0.6884198461169115
Anaerostipes_hadrus,0.7207792207792207,0.9227173123056662,1.0,0.2970328013863243,0.378565050341902,0.4024919887600221,0.0,0.1981246156586135,0.0,0.0,0.3684543083345117,0.3093367441050523,0.4559529052479479,0.948654964740178,0,0,0,0,0,0.6464470861982483,0.4302133199644821,0.7332426542538008
Faecalibacterium_prausnitzii,0.6333333333333333,0.3990393285135822,0.0,0.3238779434999269,1.0,0.0,0.0,0.1164519061000388,0.0,0.0,0.2673268082230702,0.1076008906149534,0.7318573597023577,0.8341681712020461,0,0,0,0,0,0.6115849783032637,0.4215849783032638,0.7143359897774083
Ruminococcus_bromii,0.5851063829787234,0.5569107690290005,0.0,0.4387482101986457,0.4607004787316602,0.0,0.0,0.2227959354976346,0.0,0.0856702010479339,0.5440282127515964,0.2111252636337177,0.8440300263050964,0.637733687830819,0,0,0,0,0,0.5891742208312264,0.4136423059376093,0.6059403077725469
Fusicatenibacter_saccharivorans,0.8486842105263158,0.7398481942326923,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6017778763898609,0.9456808950796072,0,1,1,1,0,0.587409672970873,0.3328044098129783,0.6459682852756101
Barnesiella_intestinihominis,0.5591397849462365,0.9423870336672184,1.0,0.1750943284553807,0.0639517119912389,0.0,0.0,0.0246210037239603,0.0,0.3041010983410702,0.0,0.0414319514514508,0.7118537159143487,0.8581114460793614,0,0,0,0,0,0.5814678646798341,0.4137259291959632,0.6693167931727196
Blautia_obeum,0.8034188034188035,0.7015005710476128,1.0,0.1015488538608258,0.0746298493051688,0.0,0.0,0.0416427991180877,0.0,0.0003345931178157,0.0851842392207023,0.0384982621196404,0.4866557781751467,0.8684768358487484,0,0,0,0,0,0.5638671185559512,0.3228414775303102,0.6103368463823331
Alistipes_shahii,0.6,0.9496057312414956,1.0,0.0370180617413649,0.002335471267529,0.0,0.0,0.0049955463144638,0.0,0.0321484818009562,0.0138175873875108,0.0065908805435949,0.726354408930921,0.791713892519676,0,0,0,0,0,0.5638319532278624,0.38383195322786257,0.6111142334278801
Roseburia_faecis,0.7401574803149606,0.4088536970551429,0.0,0.2431991958036784,0.4667861210454551,0.4245382991171071,0.0,0.0588870110771221,0.0,0.0091742668453211,0.434097348077348,0.1881620361232491,0.6408459111038958,0.7453527562666349,0,0,0,0,0,0.5576386372728619,0.33559139317837366,0.5922805424514892
Parabacteroides_goldsteinii,1.0,0.4146789291627731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,1,1,0,0.5329357858325546,0.23293578583255461,0.16743689911925896
Eubacterium_rectale,0.5625,0.4430728372596272,0.0,0.3028179423819599,0.6238179320151096,0.650280240262454,0.0,0.0138123581319637,0.0,0.0142396447342279,0.4846249759886146,0.2176448016618369,0.6127697040190244,0.7528413356404016,0,0,0,0,0,0.5323686411776242,0.3636186411776242,0.6215190092209524
Collinsella_aerofaciens,0.6430656934306569,0.4838494620130384,0.1666666666666666,0.1806804981656168,0.2739522286516332,0.0,0.0,0.1113359722359307,0.0,0.0,0.2441269088807202,0.1028737971860804,0.6524552473569737,0.8677401473821161,0,0,0,0,0,0.5288291998635684,0.33590949183437124,0.6366826231021956
Oscillibacter_sp_57_20,0.5333333333333333,0.9048672929064412,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7028358846265255,0.797542042347623,0,1,1,1,0,0.5261530455100294,0.36615304551002936,0.6005175801627698
Slackia_isoflavoniconvertens,0.6153846153846154,0.7269627370940507,0.0,0.2069578641571598,0.0091710550271989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7157880479337311,0.5481605006256627,0,0,0,1,0,0.5241529744131146,0.3395375897977299,0.4838240369450199
Bacteroides_uniformis,0.4818181818181817,0.7348808996868801,1.0,0.2566398464220402,0.0949462102218301,0.0,0.0,0.0083009017874909,0.0,0.000267391555448,0.0082878538152534,0.0076864125035029,0.6043646580699584,0.8861816176380665,0,0,0,0,0,0.51878509294262,0.37423963839716545,0.6621243675984514
Roseburia_inulinivorans,0.4798387096774194,0.7252905785340743,0.8333333333333334,0.1996734262561098,0.1665620029710693,0.3301288678148136,0.0,0.0644015600809199,0.0,0.0,0.3073371263100161,0.1630754811066906,0.7123949308375352,0.7556876968844096,0,0,0,0,0,0.5180449521596353,0.37409333925640953,0.6055347792862446
Bacteroides_dorei,0.4736842105263157,0.674284277884337,0.1666666666666666,0.3425609899340966,0.1228537995376913,0.0,0.0,0.0506966910454457,0.0,0.0430012387236474,0.046625136133814,0.0494852083185972,0.7243207083128382,0.6285451976317196,0,0,0,0,0,0.5121342731887434,0.37002901003084876,0.5517466851907031
Agathobaculum_butyriciproducens,0.7407407407407407,0.7517554932594523,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2918673681490431,0.8924146509678137,0,1,1,1,0,0.5055948911932505,0.2833726689710283,0.5827295255345122
Eubacterium_ramulus,0.5675675675675675,0.9151106302289108,0.8333333333333334,0.0397209110772432,0.0037890402152594,0.0738017818262276,0.0,0.0203111535953737,0.0,0.0003771154854056,0.0618922090825437,0.0419438266661542,0.4274555195045674,0.7989029599508578,0,0,0,0,0,0.5036380609199358,0.3333677906496655,0.5756324934939105
