abiotrophia_defectiva
actinomyces_odontolyticus
aerococcus_viridans
akkermansia_muciniphila
anaerococcus_lactolyticus
anaerococcus_vaginalis
atopobium_rimae
bacteroides_caccae
bacteroides_pectinophilus
bacteroides_stercoris
bacteroides_uniformis
bacteroides_vulgatus
campylobacter_concisus
campylobacter_hominis
capnocytophaga_gingivalis
cardiobacterium_hominis
citrobacter_koseri
citrobacter_youngae
clostridium_bolteae
clostridium_perfringens
clostridium_scindens
clostridium_sporogenes
collinsella_aerofaciens
coprococcus_comes
coprococcus_eutactus
corynebacterium_accolens
corynebacterium_matruchotii
corynebacterium_striatum
cronobacter_sakazakii
desulfovibrio_piger
dorea_formicigenerans
eikenella_corrodens
escherichia_fergusonii
eubacterium_eligens
eubacterium_rectale
eubacterium_saphenum
eubacterium_ventriosum
finegoldia_magna
fusobacterium_gonidiaformans
fusobacterium_mortiferum
fusobacterium_periodonticum
fusobacterium_ulcerans
fusobacterium_varium
gardnerella_vaginalis
gemella_haemolysans
granulicatella_adiacens
granulicatella_elegans
lactobacillus_acidophilus
lactobacillus_ruminis
lactobacillus_vaginalis
megasphaera_micronuciformis
mycoplasma_hominis
neisseria_cinerea
neisseria_meningitidis
neisseria_mucosa
neisseria_polysaccharea
neisseria_sicca
parabacteroides_distasonis
parabacteroides_merdae
parvimonas_micra
pediococcus_pentosaceus
peptoniphilus_duerdenii
porphyromonas_endodontalis
porphyromonas_gingivalis
prevotella_buccalis
prevotella_melaninogenica
proteus_mirabilis
proteus_penneri
rothia_mucilaginosa
ruminococcus_gnavus
ruminococcus_lactaris
ruminococcus_torques
selenomonas_artemidis
selenomonas_flueggei
selenomonas_noxia
selenomonas_sputigena
slackia_exigua
solobacterium_moorei
streptococcus_mitis
streptococcus_oralis
streptococcus_parasanguinis
veillonella_dispar
victivallis_vadensis
weissella_paramesenteroides
