	Akkermansia_muciniphila	Alistipes_onderdonkii	Alistipes_putredinis	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_dorei	Bacteroides_fragilis	Bacteroides_massiliensis	Bacteroides_ovatus	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Barnesiella_intestinihominis	Dialister_invisus	Escherichia_coli	Eubacterium_rectale	Eubacterium_siraeum	Faecalibacterium_prausnitzii	Parabacteroides_distasonis	Parabacteroides_merdae	Prevotella_copri	Roseburia_intestinalis	Ruminococcus_torques	Subdoligranulum_unclassified
MSM79H8N	0	211	215	0	0	605	0	247	251	1	0	1197	0	130	0	0	505	1	2626	142	174	0	0	29	2047
MSM79H9A	925	186	797	1435	2	29	0	0	142	0	43	20	201	1061	0	28	127	248	73	687	0	0	0	116	605
MSM79H9C	455	28	373	1100	108	35	0	0	146	0	40	29	101	823	0	74	144	432	74	397	0	0	0	275	744
MSM79H9G	1	87	777	586	52	15	0	0	110	0	16	40	39	1173	0	11	294	947	55	510	0	0	0	222	916
MSM79H9K	59	83	621	366	135	34	0	0	421	0	32	14	88	888	0	11	51	2135	99	207	0	0	0	385	1201
MSM79H9M	9	44	420	164	0	1	0	879	52	70	99	74	904	291	0	7	15	0	1726	46	145	3909	344	64	507
MSM79H9Q	24	3	74	123	6	3	0	1219	38	115	86	92	1034	50	0	93	7	0	1217	34	79	4733	25	400	359
MSM79H9W	49	17	848	251	212	1	0	1396	92	41	204	189	1068	817	0	14	316	0	1642	94	374	965	51	140	713
MSM79H9Y	5	72	318	737	275	1014	312	1009	6	0	61	168	340	815	0	4	2	15	1509	3	0	1953	74	27	539
MSM79HA1	4	32	236	328	208	452	192	1050	39	0	16	235	326	537	0	0	150	682	706	1	0	3675	206	14	333
MSM79HA3	4	19	127	287	72	154	115	345	15	0	11	115	199	716	0	0	21	261	208	10	0	6555	109	11	187
MSM79HA7	2	18	221	676	114	318	129	968	36	0	42	201	671	625	0	0	217	1372	453	4	0	2637	189	26	600
MSM79HAH	213	115	416	199	164	0	89	0	16	2204	140	2558	2010	12	0	0	46	0	919	48	212	0	280	39	158
MSM79HB6	2119	652	0	1310	0	0	363	0	370	0	39	2173	1184	0	143	194	117	0	79	1	640	0	16	53	401
MSM79HBB	85	75	306	33	17	14	0	78	41	0	98	2025	227	52	2	0	585	1200	4068	81	22	0	149	58	304
MSM79HBL	0	108	1999	145	11	38	0	481	164	0	150	2151	313	591	0	0	456	121	1738	25	5	9	69	56	156
MSM79HC4	0	4	104	151	0	0	3	0	20	159	18	791	834	10	0	0	503	5	4057	6	356	0	268	81	1466
MSM79HC8	0	25	134	201	2	0	0	0	36	103	17	1249	478	55	0	14	175	4	4608	1	658	0	50	46	949
MSM79HCG	14	0	1593	0	0	2478	0	0	0	0	3086	0	0	0	121	0	344	0	1910	0	0	0	148	19	10
MSM79HCI	1931	0	1834	0	0	2359	0	0	0	0	2035	0	2	0	55	0	19	0	1212	0	0	0	2	9	30
MSM79HCK	417	0	3115	0	0	2107	0	0	0	0	2388	0	2	0	157	0	211	0	863	0	0	0	0	0	89
MSM79HCP	1018	0	2649	0	0	1714	0	1	1	0	2485	2	0	0	95	0	393	0	974	0	0	0	26	16	103
MSM79HCR	12	0	588	0	0	7305	0	0	0	0	1160	0	1	0	19	14	268	0	390	0	0	0	92	0	7
MSM79HES	1010	230	0	1182	0	0	467	0	309	0	179	1471	1892	0	42	516	476	0	23	0	938	0	5	269	679
MSM79HEU	4529	563	0	292	0	0	64	0	184	0	124	1542	1453	0	71	10	227	0	31	0	645	0	25	6	189
MSM79HEW	5291	589	0	486	0	0	182	0	117	0	86	892	667	0	179	67	236	0	26	0	621	0	21	19	442
MSM79HEY	29	66	0	453	0	0	74	0	866	0	142	1502	4781	0	81	0	915	0	245	1	712	0	41	19	47
