Name	Acidaminococcus_intestini	Adlercreutzia_equolifaciens	Agathobaculum_butyriciproducens	Akkermansia_muciniphila	Alistipes_finegoldii	Alistipes_indistinctus	Alistipes_putredinis	Alistipes_shahii	Alistipes_sp_An31A	Anaerostipes_hadrus	Anaerotruncus_colihominis	Asaccharobacter_celatus	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_dorei	Bacteroides_eggerthii	Bacteroides_faecis	Bacteroides_finegoldii	Bacteroides_fragilis	Bacteroides_massiliensis	Bacteroides_ovatus	Bacteroides_salyersiae	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Bacteroides_xylanisolvens	Barnesiella_intestinihominis	Bifidobacterium_adolescentis	Bifidobacterium_longum	Bifidobacterium_pseudocatenulatum	Bilophila_wadsworthia	Blautia_hydrogenotrophica	Blautia_obeum	Blautia_sp_CAG_257	Blautia_wexlerae	Butyricimonas_synergistica	Butyricimonas_virosa	Clostridium_bolteae	Clostridium_citroniae	Clostridium_clostridioforme	Clostridium_innocuum	Clostridium_lavalense	Clostridium_leptum	Clostridium_sp_CAG_299	Clostridium_sp_CAG_58	Clostridium_symbiosum	Collinsella_aerofaciens	Collinsella_intestinalis	Collinsella_stercoris	Coprobacter_fastidiosus	Coprococcus_catus	Coprococcus_comes	Coprococcus_eutactus	Dielma_fastidiosa	Dorea_formicigenerans	Dorea_longicatena	Dorea_sp_CAG_317	Eggerthella_lenta	Eisenbergiella_massiliensis	Eisenbergiella_tayi	Erysipelatoclostridium_ramosum	Escherichia_coli	Eubacterium_eligens	Eubacterium_hallii	Eubacterium_ramulus	Eubacterium_rectale	Eubacterium_siraeum	Eubacterium_sp_CAG_180	Eubacterium_sp_CAG_38	Eubacterium_ventriosum	Faecalibacterium_prausnitzii	Firmicutes_bacterium_CAG_110	Firmicutes_bacterium_CAG_83	Flavonifractor_plautii	Fusicatenibacter_saccharivorans	Gemmiger_formicilis	Gordonibacter_pamelaeae	Haemophilus_parainfluenzae	Holdemanella_biformis	Holdemania_filiformis	Hungatella_hathewayi	Intestinimonas_butyriciproducens	Lachnospira_pectinoschiza	Lawsonibacter_asaccharolyticus	Methanobrevibacter_smithii	Monoglobus_pectinilyticus	Odoribacter_splanchnicus	Oscillibacter_sp_57_20	Oscillibacter_sp_CAG_241	Parabacteroides_distasonis	Parabacteroides_johnsonii	Parabacteroides_merdae	Paraprevotella_xylaniphila	Parasutterella_excrementihominis	Phascolarctobacterium_faecium	Prevotella_copri	Proteobacteria_bacterium_CAG_139	Roseburia_faecis	Roseburia_hominis	Roseburia_intestinalis	Roseburia_inulinivorans	Ruminococcus_bicirculans	Ruminococcus_bromii	Ruminococcus_gnavus	Ruminococcus_lactaris	Ruminococcus_torques	Ruthenibacterium_lactatiformans	Slackia_isoflavoniconvertens	Streptococcus_parasanguinis	Streptococcus_salivarius	Streptococcus_thermophilus	Turicimonas_muris	Veillonella_parvula	[Collinsella]_massiliensis
PT_19_0002D106	1	0	61	2	35	37	1624	31	2299	3	0	0	110	5	35	2	103	1	2	57	18	1	92	0	344	86	24	319	11	0	0	0	0	5	0	1	8	6	0	0	0	0	0	0	0	3	0	7	0	0	84	0	54	0	0	1	10	0	0	0	0	0	1	20	3	0	431	175	0	5	15	843	144	2	1	52	7	0	0	0	0	0	0	5	13	0	0	172	109	135	54	2	100	54	4	0	1708	0	163	46	26	55	172	0	0	0	3	1	0	0	0	0	0	0	0
PT_19_0002D114	7	1	67	93	71	248	2118	78	2106	1	0	1	154	2	28	27	81	1	4	70	50	0	117	0	631	171	28	470	28	0	0	0	0	7	0	4	6	7	0	0	0	0	0	0	0	0	0	15	0	0	36	0	70	0	0	2	13	0	0	0	0	0	2	32	4	6	218	255	0	0	13	496	192	3	2	41	5	0	0	0	0	0	0	2	10	12	0	141	128	426	126	3	163	124	5	1	410	0	98	47	8	10	194	0	0	0	7	2	0	0	0	0	0	0	0
PT_19_0002D120	1	0	2	13	22	25	1510	23	1681	0	0	0	103	0	73	10	71	1	3	124	20	0	115	0	293	117	19	206	0	0	0	0	0	5	0	1	5	3	0	0	0	0	0	0	0	0	0	3	0	0	36	0	17	0	0	0	18	0	0	0	0	0	0	28	0	4	222	52	0	4	21	333	37	4	0	5	1	0	2	0	0	0	0	5	3	1	0	90	101	68	48	2	106	53	0	0	4035	2	25	14	8	24	179	0	0	0	2	2	0	0	0	0	0	0	0
PT_19_0002D127	3	0	37	202	44	91	2150	65	1499	0	0	0	144	5	45	8	106	2	0	53	29	0	88	0	380	153	33	299	10	0	0	0	0	3	0	2	5	7	0	0	0	0	0	0	0	0	0	8	0	3	63	0	29	0	0	1	11	0	0	0	0	0	2	15	0	0	180	171	0	6	18	722	86	3	1	9	4	0	0	0	0	0	0	8	6	8	0	121	184	205	79	1	195	117	2	0	1770	0	33	40	12	30	389	0	0	0	0	2	0	0	0	0	0	0	0
PT_19_0002D134	2	0	4	10	17	11	1353	22	1739	2	0	0	59	1	47	17	53	2	0	117	10	0	147	2	135	183	23	211	6	0	0	0	0	11	0	0	5	5	0	0	0	0	0	0	0	2	0	4	0	0	22	0	30	0	0	2	24	0	0	0	0	0	0	30	0	2	417	8	0	19	2	342	22	3	0	15	2	0	0	0	0	0	0	17	4	0	0	140	145	82	49	2	111	50	3	0	4058	2	47	29	26	78	11	0	0	0	1	0	0	1	1	0	0	0	0
PT_19_0002D141	4	0	42	146	25	67	1789	62	1316	5	0	0	188	2	102	20	221	2	0	180	28	0	94	2	459	412	59	492	4	0	0	0	0	11	0	12	7	7	0	0	0	0	0	0	0	0	0	10	0	0	80	0	15	0	0	2	9	0	0	0	0	0	9	34	5	3	345	253	2	12	24	944	100	5	0	33	13	0	0	0	0	0	0	17	4	3	0	190	160	171	139	4	187	109	5	0	748	6	48	51	45	93	353	0	0	0	3	8	0	0	0	0	0	0	0
PT_19_0002D148	7	0	1	15	40	43	1303	34	1104	0	0	0	138	2	59	39	96	1	0	167	47	0	72	0	300	132	45	298	0	0	0	0	0	3	0	2	5	5	0	0	0	0	0	0	0	0	0	2	0	0	41	0	7	0	0	0	0	0	0	0	0	0	0	38	0	0	175	94	0	8	6	260	17	0	0	8	2	0	0	0	0	0	0	6	2	0	0	169	50	114	149	4	218	41	0	0	4211	0	18	25	41	93	236	0	0	0	3	0	0	0	0	2	0	0	0
PT_19_0002D156	79	0	13	403	47	440	1630	66	1493	0	0	0	63	1	79	10	42	1	0	28	31	0	78	0	632	94	19	453	44	0	0	0	0	3	0	5	1	1	0	0	0	0	0	0	0	1	0	66	0	1	35	0	59	0	0	0	5	0	0	0	0	0	6	3	1	2	169	109	0	0	21	716	87	5	1	37	3	0	0	0	0	0	0	1	13	454	0	51	218	133	140	1	234	36	0	0	1333	0	28	47	25	13	176	0	0	0	2	9	0	1	0	0	0	0	0
PT_19_0002D16	0	0	11	10	5	15	1219	45	26	0	0	0	193	2	45	4	142	1	0	304	36	0	116	0	115	127	10	416	0	0	0	0	0	52	0	1	3	2	0	0	0	0	0	0	0	0	0	3	0	0	51	0	22	0	0	12	12	0	0	0	0	0	18	87	0	0	1674	364	0	43	27	714	49	1	0	21	8	0	0	0	0	0	0	27	0	0	0	111	155	106	101	2	135	20	0	0	2537	2	214	2	0	540	35	0	0	0	5	0	0	0	0	0	0	1	0
PT_19_0002D162	77	0	19	112	12	187	1297	65	645	2	0	0	84	1	38	20	34	1	0	28	27	0	97	0	892	56	23	361	14	0	0	0	0	5	0	7	0	0	0	0	0	0	0	0	0	1	0	33	0	1	29	0	99	0	0	3	13	0	0	0	2	0	97	22	3	3	284	152	0	3	11	1131	47	7	0	19	6	0	2	0	0	0	0	2	8	605	0	21	140	125	66	3	266	94	0	0	1916	0	43	121	25	12	452	0	0	0	2	17	0	5	2	4	0	0	0
PT_19_0002D169	26	0	27	49	16	211	1312	78	1178	2	0	0	273	6	65	25	83	0	1	65	19	0	87	0	1055	174	28	504	43	0	0	0	0	1	0	7	0	1	0	0	0	0	0	0	0	0	0	9	0	0	20	0	19	0	0	0	5	0	0	0	0	0	336	13	3	0	157	96	0	0	3	285	15	2	1	11	0	0	0	0	0	0	0	0	8	246	0	38	109	71	101	3	202	117	0	0	1964	0	28	63	5	2	727	0	0	0	1	2	0	0	0	0	0	0	0
PT_19_0002D176	51	0	2	1739	13	105	819	20	413	0	0	0	8	5	16	21	19	2	0	2	8	0	90	0	601	69	15	290	35	0	0	0	0	0	0	19	0	1	0	0	0	0	0	0	0	2	0	40	0	3	47	0	133	0	0	2	12	0	0	0	0	0	3	23	0	6	314	116	0	0	42	869	45	1	0	19	5	0	0	0	0	0	0	1	13	856	0	43	105	68	83	1	174	65	0	0	1661	0	125	140	53	14	536	0	0	0	3	5	0	4	1	3	0	0	0
PT_19_0002D183	9	0	8	189	41	336	1298	42	1768	2	0	0	285	7	52	439	39	0	7	49	53	0	110	1	662	88	15	798	2	0	0	0	0	3	0	15	2	1	0	0	0	0	4	11	0	2	0	4	0	0	41	0	17	0	0	1	14	0	0	0	1	0	187	10	3	0	3	372	0	0	0	274	1	0	4	2	0	0	0	0	0	0	42	4	8	291	0	64	12	130	155	2	232	117	2	2	1562	3	1	27	35	2	0	0	0	0	0	26	0	0	5	4	0	0	0
PT_19_0002D190	55	0	2	3	32	92	1554	26	1226	0	0	0	83	3	96	13	43	3	0	55	8	0	80	0	627	102	27	287	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	2	0	60	2	8	14	0	51	0	0	0	5	0	0	0	0	0	6	13	0	3	27	24	1	0	4	298	20	3	1	2	0	0	5	0	0	0	0	1	4	89	0	22	37	32	129	1	133	176	2	0	4330	1	12	17	1	5	24	0	0	0	0	8	0	1	1	0	0	8	0
PT_19_0002D21	3	0	2	1	18	34	2795	55	634	2	0	0	189	1	32	8	170	6	0	117	41	0	103	1	351	53	19	974	0	0	0	0	0	13	0	0	4	5	0	0	0	0	0	0	0	0	0	7	0	0	144	0	51	0	0	4	7	0	0	0	0	0	0	36	1	2	244	30	0	5	10	295	19	3	0	15	3	0	0	0	0	0	0	10	1	0	0	165	90	109	118	3	202	71	1	0	2440	0	76	12	36	50	102	0	0	0	4	0	0	0	0	0	0	0	0
PT_19_0002D211	63	0	4	6	25	45	1633	12	984	0	0	0	90	2	33	9	25	1	5	57	11	0	130	0	700	99	19	292	4	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0	55	1	2	14	0	102	0	0	0	41	0	0	0	0	0	6	13	0	1	102	8	0	3	1	522	47	2	0	6	3	0	7	0	0	0	0	1	7	375	0	21	78	53	50	5	150	114	2	1	3757	0	96	25	5	7	47	0	0	0	0	4	0	3	4	0	0	0	0
PT_19_0002D29	3	0	1	1	14	18	1761	45	161	4	0	0	476	1	62	2	233	7	0	326	68	0	252	1	615	146	30	635	0	0	0	0	0	4	0	2	3	2	0	0	0	0	0	0	0	0	0	5	1	7	209	0	10	0	0	5	9	0	0	0	0	0	0	22	0	2	463	324	0	3	5	492	30	4	0	14	0	0	0	0	0	0	0	10	0	0	0	74	114	76	150	1	165	59	0	0	2210	0	38	20	46	68	483	2	0	0	7	0	0	0	0	0	0	0	0
PT_19_0002D42	10	0	8	9	28	105	1847	67	513	3	1	0	136	2	57	8	161	7	0	76	81	0	100	1	693	358	33	643	0	0	0	0	0	10	0	0	9	13	0	0	0	0	0	0	0	3	0	18	0	0	188	0	5	0	0	3	7	0	0	0	4	1	0	35	5	0	197	850	0	5	7	610	65	1	1	15	4	0	0	0	0	0	0	35	8	12	0	238	115	126	146	2	207	66	3	0	1606	0	15	16	45	142	203	5	0	0	3	3	0	0	0	0	0	0	0
PT_19_0002D50	7	0	11	0	9	15	1180	18	389	2	0	0	195	3	68	5	170	4	1	176	20	0	156	0	283	167	28	543	0	0	0	0	0	11	0	1	5	3	0	0	0	0	0	0	0	0	0	9	0	1	36	0	33	0	0	3	11	0	0	0	0	0	0	36	3	0	341	244	0	13	13	523	59	2	1	13	3	0	0	0	0	0	0	18	8	0	0	122	175	112	84	3	197	33	1	0	4266	0	26	8	13	69	35	7	0	0	3	1	0	0	0	1	0	0	0
PT_19_0002D57	3	0	1	28	21	16	1115	26	394	11	0	0	123	3	27	4	44	12	0	105	33	0	89	0	160	95	42	559	0	0	0	0	0	7	0	4	2	3	0	0	0	0	0	0	0	0	0	5	0	0	45	0	28	0	0	0	6	0	0	0	0	0	8	36	8	0	364	358	1	10	21	586	81	0	1	15	6	0	0	0	0	0	0	12	5	3	0	99	61	47	32	2	82	22	1	0	4757	0	18	23	58	37	218	3	0	0	10	3	0	0	0	0	0	0	0
PT_19_0002D64	0	0	1	0	41	24	818	25	645	47	0	0	201	6	34	19	41	5	0	147	11	1	92	0	267	132	37	399	0	0	0	0	0	2	0	22	2	2	0	0	0	0	0	0	0	0	0	20	4	11	19	0	84	0	0	0	13	0	0	0	0	0	0	167	0	0	687	377	0	13	34	1091	56	0	0	40	1	0	0	0	0	0	0	12	18	0	0	81	123	78	124	8	279	44	0	0	2673	0	121	34	52	33	671	1	0	0	13	0	0	0	0	0	0	0	0
PT_19_0002D71	1	0	3	3	21	17	859	15	652	4	0	0	48	1	42	5	53	2	2	84	14	0	107	2	215	151	29	274	0	0	0	0	0	4	0	1	2	2	0	0	0	0	0	0	0	0	0	7	0	0	27	0	46	0	0	0	14	0	0	0	0	0	2	31	0	0	496	595	0	15	36	947	58	0	2	19	2	0	0	0	0	0	0	11	4	0	0	105	163	59	37	2	74	21	0	0	3976	0	85	28	226	82	214	0	0	0	3	0	0	0	0	0	0	0	0
PT_19_0002D78	11	0	6	14	39	251	831	39	810	2	0	0	200	1	114	30	120	1	0	65	49	0	92	0	1706	219	122	468	0	0	0	3	0	9	0	6	0	1	0	0	0	0	0	0	0	1	0	25	0	1	18	0	47	0	0	5	12	0	0	0	0	0	17	15	6	0	180	405	10	2	6	228	29	1	1	13	1	0	0	0	0	0	0	1	12	439	1	20	70	44	260	4	544	115	1	0	2018	0	28	39	15	14	102	0	0	0	4	31	0	2	2	0	0	1	0
PT_19_0002D8	1	0	2	4	3	82	2358	165	947	6	0	0	348	0	42	9	515	0	0	183	145	0	192	0	569	105	78	267	9	0	0	0	0	17	0	2	3	4	0	0	0	0	0	0	0	0	0	24	0	1	316	0	5	0	0	4	14	0	0	0	0	0	16	182	4	2	432	2	0	2	7	518	28	5	0	15	5	0	0	0	0	0	0	6	1	0	0	180	92	214	260	2	270	145	1	0	1134	1	9	1	0	35	0	0	0	0	6	2	0	0	0	0	0	1	0
PT_19_0002D85	20	0	1	6	28	66	966	17	435	0	0	0	88	7	41	13	153	0	1	6	54	0	23	3	1308	145	68	477	4	0	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	2	0	24	0	2	11	0	123	0	0	2	7	0	0	0	0	0	14	115	2	3	182	36	3	20	46	864	7	2	0	12	4	0	3	0	0	0	0	0	1	437	0	26	2	7	270	9	1067	196	2	1	2359	0	39	20	7	36	62	4	11	0	2	11	0	1	2	0	0	1	0
PT_19_0002D92	8	5	53	0	12	12	1109	15	798	4	0	4	77	1	18	2	65	0	0	123	6	0	110	0	130	154	15	295	0	0	0	0	0	35	0	8	3	2	0	0	0	0	0	0	0	1	0	5	1	3	33	0	115	0	0	6	34	0	0	0	0	0	0	6	3	3	511	6	0	11	120	521	38	3	2	12	1	0	1	0	0	0	0	12	20	0	0	100	144	54	30	1	124	19	3	0	4751	0	88	7	56	86	0	0	0	0	4	1	0	0	0	0	0	0	0
PT_19_0002D99	6	0	11	0	20	12	983	23	1090	22	0	0	44	2	26	0	35	0	0	62	9	0	127	0	164	125	14	155	3	0	0	0	0	8	0	0	3	2	0	0	0	0	0	0	0	1	0	9	0	0	40	0	29	0	0	2	25	0	0	0	0	0	0	11	0	0	518	195	0	21	39	484	28	3	0	18	1	0	0	0	0	0	0	30	6	0	0	71	224	67	30	0	45	26	0	0	4275	0	319	63	45	108	318	0	0	0	1	2	0	0	0	0	0	0	0
PT_19_0006D14	0	0	50	15	0	0	346	44	0	117	0	0	4	2	114	0	0	19	0	63	61	1	33	3	250	826	4	171	81	68	0	0	0	5	0	61	6	31	0	0	0	0	0	0	0	0	0	96	0	0	0	22	96	806	0	15	483	0	0	0	0	0	25	135	147	35	77	347	0	0	243	2078	0	87	2	803	11	0	0	128	0	0	0	30	35	0	0	26	3	1	121	0	241	37	0	0	325	6	26	106	0	13	70	442	0	36	431	0	38	0	0	1	0	1	0
PT_19_0006D19	0	0	30	7	2	1	187	16	0	321	0	0	8	13	129	0	0	8	0	14	130	5	35	12	107	219	6	176	11	7	0	0	0	32	0	8	0	11	0	0	0	0	0	0	0	0	0	23	0	0	0	29	32	826	0	11	302	0	0	0	0	0	0	260	73	39	106	107	0	0	437	1848	0	1	0	117	2	0	0	201	0	0	0	445	48	0	0	4	103	0	111	0	116	54	0	0	1299	0	443	230	239	224	6	314	0	91	310	0	14	0	39	0	0	0	0
PT_19_0006D32	0	0	98	8	16	9	332	117	0	284	0	0	8	16	166	1	0	1	0	54	88	8	42	3	276	819	0	168	92	111	0	0	0	3	0	63	19	48	0	0	0	0	0	0	0	0	0	126	0	1	0	43	35	180	0	5	555	0	0	0	0	0	11	35	51	14	29	3056	0	0	0	394	0	10	3	313	2	0	0	30	0	0	0	17	22	5	1	48	178	2	195	0	232	30	0	1	53	0	18	14	5	0	1	278	0	3	1103	9	35	0	0	9	0	0	0
PT_19_0006D47	0	0	15	0	15	28	363	86	0	354	0	0	7	23	177	0	0	107	0	51	168	15	129	33	268	679	9	390	6	26	0	0	0	0	0	40	3	25	0	0	0	0	0	4	0	0	0	81	0	1	0	22	48	0	0	0	136	0	0	0	0	0	0	169	24	23	476	2	0	0	549	884	0	21	30	551	7	0	0	106	0	0	0	167	118	0	0	82	71	0	494	0	309	102	0	0	1360	0	10	20	5	605	0	118	0	38	281	1	20	0	5	46	0	0	0
PT_19_0006D55	0	0	59	8	11	34	420	155	4	107	0	0	26	36	68	0	2	43	4	34	455	4	102	56	327	549	5	400	7	43	0	0	0	0	0	67	31	62	0	0	0	0	0	0	0	0	0	67	0	0	0	7	66	0	0	1	90	0	0	0	0	0	24	308	4	5	2036	76	0	0	98	630	0	15	8	273	4	0	0	113	0	0	0	657	26	6	0	111	30	0	125	0	298	211	0	0	333	0	14	26	75	123	2	69	0	144	752	17	35	0	0	0	0	0	0
PT_19_0006D63	0	0	1	3	13	0	203	40	0	104	0	0	7	6	53	0	0	48	1	14	105	3	72	16	135	197	6	197	0	9	0	0	0	0	0	1	5	7	0	0	0	0	0	0	0	0	0	13	0	0	0	13	11	0	0	0	12	0	0	0	0	0	0	6	3	72	2512	2	1	0	592	674	0	8	1	59	1	0	0	57	0	0	0	95	28	0	0	42	50	0	70	0	100	30	0	0	2608	0	13	18	562	1000	0	18	0	24	51	0	3	1	3	0	0	0	0
PT_19_0006D7	0	0	0	21	16	7	518	59	0	21	0	0	14	63	309	0	0	274	0	118	400	0	100	78	446	1008	45	817	0	0	0	0	0	0	0	81	0	27	0	0	0	0	0	0	0	0	0	64	0	0	0	0	30	103	0	0	51	0	0	0	0	0	0	78	17	11	591	0	215	0	91	1010	0	52	0	303	0	0	24	73	0	0	0	217	19	0	0	85	64	0	226	0	712	242	0	0	783	0	29	35	0	4	272	54	0	88	24	0	11	0	1	0	0	0	0
PT_19_0007D14	0	3	14	3	401	1	681	4	0	153	0	2	929	412	157	0	238	0	3	0	637	1229	265	1	1811	502	2	3	0	127	0	4	0	43	2	44	2	45	1	0	0	0	0	2	5	9	9	32	0	0	0	0	22	0	4	10	102	0	17	0	0	12	0	193	4	0	18	0	0	30	0	106	0	45	18	4	198	8	0	0	0	0	2	14	11	0	0	191	10	27	85	0	127	0	2	43	8	0	25	0	22	7	271	0	81	506	0	3	0	0	0	0	0	0	0
PT_19_0007D21	98	5	12	0	893	33	987	15	0	6	2	4	231	360	51	0	589	0	0	0	304	2109	148	0	1349	976	2	1	0	387	0	1	0	18	0	10	1	17	0	0	0	0	0	0	5	21	5	44	0	3	0	0	15	0	0	17	15	0	6	0	1	22	2	15	3	0	40	0	0	1	0	91	0	83	5	1	16	10	0	0	0	0	5	5	2	0	0	162	32	200	78	0	211	0	0	11	3	0	1	0	27	9	115	0	3	92	0	16	0	0	0	0	0	0	0
PT_19_0007D29	172	6	4	23	1422	50	1847	10	0	8	0	3	271	348	213	1	503	0	1	0	61	618	109	0	1603	215	0	0	1	293	0	1	0	44	2	62	0	2	0	0	4	0	0	10	20	8	2	60	1	14	0	0	15	0	0	23	165	0	6	1	2	41	8	32	18	0	148	0	0	0	0	140	0	36	8	12	52	3	0	0	1	0	3	8	1	3	0	98	48	96	158	0	77	0	0	5	13	0	21	0	82	85	331	0	132	40	0	28	0	2	0	0	0	44	0
PT_19_0007D35	86	0	2	1	252	1	190	4	0	85	0	0	211	1349	491	0	63	0	0	0	185	338	1100	0	383	236	1	1	2	4	0	1	0	8	2	1	0	34	0	0	0	0	0	2	10	12	0	1	0	0	0	0	184	0	0	12	152	5	0	0	0	10	30	0	0	0	3	0	0	234	0	2705	0	3	43	0	0	0	0	0	0	0	4	0	2	0	0	73	199	0	60	0	36	0	5	19	10	0	717	0	418	2	0	0	17	0	0	3	0	0	0	0	0	0	0
PT_19_0007D45	692	1	41	0	247	7	414	3	1	44	0	0	1021	237	114	0	501	0	0	0	665	844	1209	0	1071	178	2	1	3	32	0	0	0	35	0	6	0	25	3	0	0	0	3	5	1	1	0	238	1	12	0	0	11	0	0	24	79	7	18	0	0	39	1	3	0	0	8	0	0	0	0	125	0	11	18	0	3	2	0	0	0	0	6	0	0	0	0	96	19	9	302	0	1197	0	0	20	4	0	1	0	0	0	0	0	308	0	0	3	0	0	0	0	0	27	1
PT_19_0007D57	20	0	4	4	279	10	492	3	0	132	0	0	599	262	352	0	204	0	0	0	125	488	512	3	1869	952	3	2	1	4	0	0	0	8	0	2	0	56	0	0	0	0	0	2	0	2	0	10	0	0	0	0	49	0	0	18	91	0	4	0	0	0	12	216	3	0	1425	0	0	24	0	575	0	16	18	10	1	0	0	0	0	0	3	0	0	0	0	107	94	8	144	0	109	0	1	51	4	1	1	0	21	244	0	0	36	303	0	8	0	2	0	0	0	0	0
PT_19_0007D67	33	0	2	12	940	13	707	2	0	2	1	0	458	987	117	0	229	0	2	0	174	658	994	0	1682	284	1	2	0	5	0	4	0	7	0	16	4	96	0	0	0	0	0	1	1	29	3	9	0	0	0	0	28	0	0	7	15	2	5	1	0	0	0	47	0	0	3	0	0	14	0	613	0	12	5	10	11	0	0	0	0	0	38	0	2	0	0	265	629	157	241	0	196	0	9	31	2	0	0	0	29	2	0	0	17	130	0	7	0	0	0	0	0	0	0
PT_19_0009D11	0	0	20	31	4	0	12	0	3	44	0	0	3	10	4	0	0	1585	1	0	618	0	483	0	831	3760	1703	3	8	0	0	36	2	0	7	13	0	0	11	1	6	0	5	17	0	0	3	53	0	0	0	0	22	0	0	0	25	4	5	6	0	0	11	0	0	0	6	5	0	0	0	1	0	78	11	3	0	0	0	0	0	0	0	0	1	2	4	0	0	0	3	0	4	0	122	0	8	12	6	0	0	145	0	0	160	0	9	53	0	0	0	0	18	0	0
PT_19_0009D18	0	1	0	1855	2	0	38	0	0	139	5	0	7	13	0	12	0	226	0	0	680	0	197	2	602	564	2551	5	168	0	0	9	13	26	71	0	0	0	5	1	20	0	8	24	0	0	6	518	0	2	0	0	186	0	0	4	281	6	37	0	4	0	246	0	3	2	21	0	0	0	0	12	0	46	60	29	0	14	0	0	1	4	0	0	0	0	0	0	0	5	3	0	7	0	69	0	13	7	1	0	0	0	2	1	617	0	9	499	0	14	13	0	16	0	1
PT_19_0009D25	0	0	0	34	4	0	20	0	0	30	0	0	7	8	19	0	0	1238	0	1	754	0	1788	3	831	2653	398	0	28	0	0	38	0	0	5	14	0	0	0	0	0	0	1	107	0	0	0	40	0	0	0	0	24	0	0	0	9	0	0	0	0	0	180	0	0	0	735	0	0	0	0	3	0	48	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	7	0	324	0	20	39	0	0	0	0	0	0	463	0	1	34	0	0	0	0	66	0	0
PT_19_0009D32	0	0	5	1724	3	0	8	0	1	62	8	0	3	39	0	0	0	881	0	0	277	0	408	0	1547	2120	861	2	126	0	0	7	2	2	16	1	0	0	6	0	6	0	3	0	0	0	2	45	0	0	0	0	15	0	0	1	35	0	6	0	2	0	46	0	0	1	1282	0	0	0	0	3	0	174	14	9	0	1	0	0	1	3	0	0	0	0	0	0	0	0	1	0	3	0	109	0	5	10	0	0	0	1	0	0	26	0	1	74	0	0	0	0	13	0	0
PT_19_0009D39	0	0	0	24	4	0	21	0	2	132	0	0	6	106	13	0	3	543	6	0	822	0	185	2	985	454	2396	4	73	0	0	36	2	4	12	1	0	0	12	1	6	5	2	38	0	0	6	107	0	0	0	0	72	0	0	7	161	0	2	0	0	0	1408	0	1	12	1797	0	0	0	0	4	0	0	32	46	0	2	0	0	6	0	0	0	1	0	0	1	0	1	3	0	3	0	126	2	15	18	0	0	0	0	0	2	135	0	0	98	0	11	2	0	18	0	0
PT_19_0010D104	0	195	96	117	25	0	257	11	6	16	97	159	90	128	94	0	68	34	5	0	221	0	327	19	547	47	9	200	0	0	2	4	7	10	278	242	0	7	8	0	10	2	11	62	66	5	49	234	0	2	0	0	403	0	7	34	285	261	1	701	122	0	0	0	5	80	38	688	0	0	0	4	0	0	31	46	0	5	0	0	0	6	51	1	7	2368	0	15	0	2	50	0	28	2	9	0	19	0	0	1	107	0	0	0	182	0	0	615	7	42	8	0	0	0	0
PT_19_0010D111	0	201	15	1834	26	0	728	20	1	38	78	175	27	175	125	0	78	22	0	0	161	0	584	43	1482	40	11	404	0	0	0	10	7	10	120	95	0	4	8	0	12	0	12	23	108	103	62	151	0	1	0	0	296	0	5	33	291	258	0	238	53	0	0	0	6	138	130	78	2	0	0	4	0	0	54	117	0	1	0	0	8	12	14	3	10	290	0	14	0	1	103	0	33	87	15	0	42	0	0	3	48	0	1	0	102	0	0	475	9	19	11	0	0	0	0
PT_19_0010D12	0	1	15	364	5	0	715	33	0	80	3	0	1101	196	553	0	106	14	218	0	513	0	1054	49	773	1341	30	140	0	0	0	1	2	0	13	145	8	32	2	0	0	10	0	2	16	7	6	131	0	2	0	0	139	0	0	24	170	1	3	34	127	0	44	0	8	20	235	1	0	0	0	5	0	0	72	149	0	2	15	0	4	4	0	0	1	1	2	23	0	1	471	0	196	22	68	1	12	5	1	20	58	0	0	1	159	0	0	205	8	4	0	1	1	0	0
PT_19_0010D123	1	55	0	185	30	0	664	15	1	6	33	39	1114	598	330	0	295	36	14	0	222	0	1425	141	1275	129	78	332	0	0	0	25	2	1	137	123	1	11	2	0	0	0	13	31	3	35	37	112	0	0	0	0	71	0	0	14	156	53	0	110	34	0	12	0	5	5	28	197	0	0	0	9	0	0	48	18	0	2	0	0	0	124	6	0	9	308	0	16	0	1	383	0	294	322	9	2	8	0	1	2	23	0	1	1	33	0	0	128	3	12	2	0	1	0	0
PT_19_0010D124	0	5	0	325	17	0	959	22	3	5	17	5	766	291	443	0	256	77	29	1	118	0	910	59	1758	282	47	523	0	0	0	8	4	2	118	34	7	27	1	0	0	0	2	22	3	2	9	143	0	1	0	0	77	0	2	5	115	47	0	27	28	0	197	0	2	20	72	531	0	0	0	4	0	0	46	19	0	0	0	0	7	16	15	0	9	377	0	45	0	2	222	0	230	50	9	1	18	5	1	20	24	0	2	0	9	0	0	424	4	8	2	3	0	0	0
