Name	Acidaminococcus_intestini	Adlercreutzia_equolifaciens	Agathobaculum_butyriciproducens	Akkermansia_muciniphila	Alistipes_finegoldii	Alistipes_indistinctus	Alistipes_putredinis	Alistipes_shahii	Alistipes_sp_An31A	Anaerostipes_hadrus	Anaerotruncus_colihominis	Asaccharobacter_celatus	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_dorei	Bacteroides_eggerthii	Bacteroides_faecis	Bacteroides_finegoldii	Bacteroides_fragilis	Bacteroides_massiliensis	Bacteroides_ovatus	Bacteroides_salyersiae	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Bacteroides_xylanisolvens	Barnesiella_intestinihominis	Bifidobacterium_adolescentis	Bifidobacterium_longum	Bifidobacterium_pseudocatenulatum	Bilophila_wadsworthia	Blautia_hydrogenotrophica	Blautia_obeum	Blautia_sp_CAG_257	Blautia_wexlerae	Butyricimonas_synergistica	Butyricimonas_virosa	Clostridium_bolteae	Clostridium_citroniae	Clostridium_clostridioforme	Clostridium_innocuum	Clostridium_lavalense	Clostridium_leptum	Clostridium_sp_CAG_299	Clostridium_sp_CAG_58	Clostridium_symbiosum	Collinsella_aerofaciens	Collinsella_intestinalis	Collinsella_stercoris	Coprobacter_fastidiosus	Coprococcus_catus	Coprococcus_comes	Coprococcus_eutactus	Dielma_fastidiosa	Dorea_formicigenerans	Dorea_longicatena	Dorea_sp_CAG_317	Eggerthella_lenta	Eisenbergiella_massiliensis	Eisenbergiella_tayi	Erysipelatoclostridium_ramosum	Escherichia_coli	Eubacterium_eligens	Eubacterium_hallii	Eubacterium_ramulus	Eubacterium_rectale	Eubacterium_siraeum	Eubacterium_sp_CAG_180	Eubacterium_sp_CAG_38	Eubacterium_ventriosum	Faecalibacterium_prausnitzii	Firmicutes_bacterium_CAG_110	Firmicutes_bacterium_CAG_83	Flavonifractor_plautii	Fusicatenibacter_saccharivorans	Gemmiger_formicilis	Gordonibacter_pamelaeae	Haemophilus_parainfluenzae	Holdemanella_biformis	Holdemania_filiformis	Hungatella_hathewayi	Intestinimonas_butyriciproducens	Lachnospira_pectinoschiza	Lawsonibacter_asaccharolyticus	Methanobrevibacter_smithii	Monoglobus_pectinilyticus	Odoribacter_splanchnicus	Oscillibacter_sp_57_20	Oscillibacter_sp_CAG_241	Parabacteroides_distasonis	Parabacteroides_johnsonii	Parabacteroides_merdae	Paraprevotella_xylaniphila	Parasutterella_excrementihominis	Phascolarctobacterium_faecium	Prevotella_copri	Proteobacteria_bacterium_CAG_139	Roseburia_faecis	Roseburia_hominis	Roseburia_intestinalis	Roseburia_inulinivorans	Ruminococcus_bicirculans	Ruminococcus_bromii	Ruminococcus_gnavus	Ruminococcus_lactaris	Ruminococcus_torques	Ruthenibacterium_lactatiformans	Slackia_isoflavoniconvertens	Streptococcus_parasanguinis	Streptococcus_salivarius	Streptococcus_thermophilus	Turicimonas_muris	Veillonella_parvula	[Collinsella]_massiliensis
PT_18_0018D514	0	0	0	201	418	67	958	31	0	0	9	0	0	2	1855	0	0	0	0	53	515	0	96	775	1301	398	0	552	3	0	0	14	13	0	0	0	0	0	1	2	6	0	0	0	0	18	21	0	41	0	0	0	0	0	0	0	0	3	3	0	15	0	95	0	0	0	0	0	0	0	0	5	0	57	2	0	3	0	0	0	0	0	14	0	3	0	0	334	53	1678	30	0	203	0	27	9	0	20	0	0	0	60	0	0	0	0	0	7	0	4	17	4	3	0	0
PT_18_0018D528	0	1	0	503	572	193	941	66	0	0	9	2	0	5	706	0	0	0	0	154	422	0	377	500	2040	996	4	541	8	1	0	59	5	1	0	0	0	0	1	1	5	0	3	0	0	5	6	0	49	0	0	0	0	0	3	0	0	0	7	0	20	0	78	0	0	0	0	1	0	0	0	10	0	91	1	0	2	1	0	0	0	2	26	0	0	0	0	250	38	551	99	0	452	0	28	4	7	39	0	0	0	45	0	0	2	0	0	20	0	7	11	3	4	19	0
PT_18_0018D535	0	2	0	1000	565	77	1234	37	0	1	14	2	0	11	520	0	0	0	0	58	303	0	174	230	2447	755	1	641	5	3	0	26	5	6	0	0	0	0	2	2	5	0	6	0	0	6	7	0	35	0	0	0	0	0	0	0	0	0	7	0	13	0	41	0	0	0	0	2	0	0	0	4	0	112	1	1	2	5	0	0	0	0	18	0	1	0	0	476	58	716	68	0	136	0	26	14	1	11	0	0	0	39	0	0	0	0	0	9	0	21	33	8	2	0	0
PT_18_0018D56	0	5	3	4	68	38	2020	15	0	13	18	10	24	1	3	4	2	15	0	242	252	0	39	787	56	772	7	30	52	7	0	7	55	13	0	0	0	0	3	0	10	2	0	1	0	44	89	461	0	1	0	0	112	0	355	21	48	27	8	0	2093	0	254	0	14	10	28	0	0	0	1	86	0	508	2	3	83	8	10	0	4	6	58	1	2	0	0	125	387	69	4	0	16	0	15	131	19	72	8	3	1	75	2	0	2	0	0	87	0	11	40	3	11	0	3
PT_18_0018D63	0	1	0	21	136	149	2088	46	0	0	0	5	159	3	2	1	1	33	0	152	100	0	203	272	380	1891	4	199	0	0	0	22	3	0	0	0	0	0	0	0	0	0	0	2	0	6	0	13	0	0	0	0	5	0	0	0	5	0	1	0	0	0	48	6	1	0	30	0	1	0	0	57	0	28	1	0	2	0	0	0	0	0	14	0	1	2	0	119	531	80	34	0	276	0	94	1	2157	509	7	2	2	17	0	0	0	0	0	18	0	4	1	0	56	0	0
PT_18_0018D69	0	3	0	6	350	250	2721	65	0	1	9	8	197	4	21	0	1	33	4	146	121	0	822	602	515	1008	48	252	1	0	0	3	9	3	0	0	0	0	4	0	0	4	0	2	0	2	8	52	0	0	0	0	43	0	99	5	9	0	11	0	40	0	8	108	4	6	8	0	0	0	10	56	0	331	4	3	7	5	0	0	2	0	20	6	0	0	0	1112	176	290	12	0	115	0	23	14	20	106	2	0	1	13	0	0	1	0	0	35	0	2	10	0	12	0	0
PT_18_0018D75	0	24	0	3	507	192	2235	95	0	18	33	61	70	11	4	0	0	7	1	141	496	0	400	991	1038	945	19	137	3	1	0	9	11	28	0	0	0	0	1	0	1	4	2	2	0	21	11	118	0	0	0	1	256	0	76	19	53	4	45	0	40	0	50	63	12	38	11	0	1	0	4	61	0	406	5	7	8	24	0	0	2	5	12	5	0	0	0	263	118	340	35	0	80	0	31	23	25	56	8	1	0	8	0	1	31	0	0	69	0	33	15	3	13	0	1
PT_18_0018D90	0	0	0	2	0	0	8	0	0	0	0	0	3	0	98	0	1	0	0	207	1059	0	1240	617	296	2329	658	1	0	0	0	31	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	441	0	0	0	1	0	0	0	0	2	0	24	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	958	0	888	0	10	0	461	54	0	0	0	0	0	0	0	0	0	205	0	24	0	6	4	315	0
PT_18_0018D96	0	0	0	0	0	0	4	0	0	0	0	0	1	0	1127	0	2	0	1	143	210	0	2173	1065	618	1465	390	0	0	0	0	28	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	821	0	0	0	0	0	0	0	0	0	0	1	550	0	0	0	0	0	2	0	0	0	73	0	0	0	0	0	353	0	577	0	9	0	33	70	0	0	0	0	0	0	0	0	0	153	0	16	0	2	8	89	0
PT_18_0032D14	390	0	13	0	88	0	194	0	1	121	0	0	143	48	357	0	3	0	4	0	12	0	8	128	296	1665	28	2	6	1	0	4	0	0	10	21	0	22	0	0	0	0	0	5	12	15	0	33	0	1	0	0	14	0	0	0	9	0	0	0	0	0	5	120	0	0	4424	0	0	232	0	169	0	1	33	21	0	0	49	0	0	0	0	25	7	0	0	0	0	0	156	0	51	0	131	26	4	14	195	13	292	0	0	8	13	105	9	0	0	3	5	0	2	232	0
