	Akkermansia_muciniphila	Alistipes_finegoldii	Alistipes_indistinctus	Alistipes_onderdonkii	Alistipes_putredinis	Alistipes_senegalensis	Alistipes_shahii	Anaerostipes_hadrus	Anaerotruncus_colihominis	Anaerotruncus_unclassified	Bacteroidales_bacterium_ph8	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_dorei	Bacteroides_eggerthii	Bacteroides_faecis	Bacteroides_finegoldii	Bacteroides_fragilis	Bacteroides_massiliensis	Bacteroides_nordii	Bacteroides_ovatus	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Bacteroides_xylanisolvens	Barnesiella_intestinihominis	Bifidobacterium_adolescentis	Bifidobacterium_bifidum	Bifidobacterium_longum	Bilophila_unclassified	Bilophila_wadsworthia	Burkholderiales_bacterium_1_1_47	C2likevirus_unclassified	Clostridiales_bacterium_1_7_47FAA	Clostridium_asparagiforme	Clostridium_bartlettii	Clostridium_bolteae	Clostridium_citroniae	Clostridium_clostridioforme	Clostridium_hathewayi	Clostridium_leptum	Clostridium_symbiosum	Collinsella_aerofaciens	Coprococcus_catus	Coprococcus_comes	Desulfovibrio_desulfuricans	Dialister_invisus	Dorea_formicigenerans	Dorea_longicatena	Dorea_unclassified	Escherichia_coli	Escherichia_unclassified	Eubacterium_eligens	Eubacterium_hallii	Eubacterium_ramulus	Eubacterium_rectale	Eubacterium_siraeum	Eubacterium_ventriosum	Faecalibacterium_prausnitzii	Flavonifractor_plautii	Haemophilus_parainfluenzae	Holdemania_filiformis	Holdemania_unclassified	Lachnospiraceae_bacterium_1_1_57FAA	Lachnospiraceae_bacterium_2_1_58FAA	Lachnospiraceae_bacterium_3_1_46FAA	Lachnospiraceae_bacterium_3_1_57FAA_CT1	Lachnospiraceae_bacterium_5_1_63FAA	Lachnospiraceae_bacterium_7_1_58FAA	Lachnospiraceae_bacterium_8_1_57FAA	Odoribacter_splanchnicus	Oscillibacter_unclassified	Parabacteroides_distasonis	Parabacteroides_goldsteinii	Parabacteroides_merdae	Parabacteroides_unclassified	Parasutterella_excrementihominis	Peptostreptococcaceae_noname_unclassified	Prevotella_copri	Pseudoflavonifractor_capillosus	Roseburia_hominis	Roseburia_intestinalis	Roseburia_inulinivorans	Roseburia_unclassified	Ruminococcaceae_bacterium_D16	Ruminococcus_bromii	Ruminococcus_callidus	Ruminococcus_gnavus	Ruminococcus_lactaris	Ruminococcus_obeum	Ruminococcus_torques	Streptococcus_parasanguinis	Streptococcus_salivarius	Streptococcus_thermophilus	Subdoligranulum_unclassified	Sutterella_wadsworthensis	Veillonella_atypica	Veillonella_dispar	Veillonella_parvula	Veillonella_unclassified
MSM79H5M	121	21	11	28	867	38	216	5	0	3	42	297	3	1	34	0	24	0	1152	2	81	103	44	150	880	26	783	0	0	0	8	1	0	0	0	3	0	0	0	0	0	0	0	16	13	15	0	0	45	40	0	109	0	235	96	11	457	0	4	1026	0	0	1	2	0	0	220	0	1	7	0	303	130	62	0	152	0	0	0	686	0	118	30	41	8	1	0	209	0	0	46	237	0	0	0	737	0	0	0	0	0
MSM79H5Q	0	0	0	174	598	0	30	0	0	0	67	299	295	0	0	0	0	79	0	0	68	2407	88	3562	323	462	277	1	0	0	2	1	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	1	1	0	0	0	30	1	0	31	0	3	509	0	1	0	0	0	0	0	0	7	1	2	0	13	62	7	185	24	0	0	0	0	30	168	9	0	1	10	0	0	23	4	15	0	0	0	61	0	0	0	0	0
MSM79H5S	0	0	0	101	549	0	7	1	0	0	25	719	124	0	0	0	0	139	0	0	31	1790	146	2110	551	326	128	3	0	2	26	11	0	0	0	0	0	3	0	0	0	81	0	5	3	0	0	0	9	21	0	17	0	36	12	10	691	0	58	976	0	0	1	0	0	0	1	0	9	6	0	0	26	104	10	611	0	0	0	0	0	2	59	93	0	8	75	0	0	72	15	59	0	0	0	136	0	0	0	0	0
MSM79H5U	0	0	0	178	565	0	28	0	0	0	50	147	249	0	0	0	0	62	0	0	16	1749	79	2756	87	164	171	1	0	1	12	3	0	0	0	0	0	0	0	0	0	124	0	0	1	0	0	0	2	8	0	0	0	70	0	2	65	0	14	1945	0	0	0	0	0	0	0	0	3	4	19	0	23	52	24	301	0	0	0	0	0	156	275	46	0	4	70	0	0	107	4	40	0	0	0	322	0	0	0	0	0
MSM79H5Y	0	0	0	384	917	0	23	0	0	0	31	280	293	0	0	0	0	53	0	0	16	1363	149	1876	1087	36	13	0	0	0	8	2	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	5	4	0	0	0	51	4	2	102	0	6	1514	0	6	1	0	1	0	0	0	3	2	0	0	11	216	41	671	0	0	0	0	0	36	362	37	0	2	58	0	0	52	6	28	0	0	0	135	0	0	0	0	0
MSM79H6D	0	33	20	12	336	1	234	0	0	0	36	262	17	107	85	106	0	108	953	2	184	0	125	136	601	41	606	3	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	9	3	4	0	0	9	20	0	9	0	107	13	0	1389	186	38	694	2	0	0	0	0	0	60	0	13	10	0	128	10	4	184	0	46	1	0	1667	1	7	97	444	0	0	75	0	0	29	16	59	0	0	0	447	210	0	0	0	0
MSM79H6F	0	87	1	46	490	1	403	0	0	0	53	569	83	266	105	318	0	241	537	2	229	0	229	286	483	4	1339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	7	0	0	100	0	0	124	22	0	1198	0	0	0	0	0	0	48	0	0	11	42	137	15	10	688	0	137	0	0	631	0	0	25	306	0	0	15	0	0	32	11	58	0	0	0	354	256	0	0	0	0
MSM79H6H	0	25	3	14	217	0	249	0	0	1	18	131	506	141	27	80	0	200	743	10	25	0	87	208	271	6	997	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	22	1	0	256	7	2	332	0	0	0	0	0	0	47	0	1	4	0	116	3	0	273	0	0	0	0	4426	0	1	67	89	0	0	64	0	0	19	8	33	0	0	0	115	145	0	0	0	0
MSM79H6J	0	28	7	14	248	2	216	0	0	1	29	111	509	194	71	39	0	342	998	3	2	0	110	114	361	0	1027	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	2	3	0	0	11	8	0	0	1	184	5	4	229	105	7	1097	0	0	1	0	0	0	202	0	9	12	0	159	5	0	251	0	0	0	0	2280	0	2	88	231	0	0	33	0	0	42	16	75	0	0	0	339	173	0	0	0	0
MSM79H6L	10	48	3	35	234	2	258	0	0	4	30	247	696	169	35	77	0	437	1030	7	11	0	259	399	220	0	1089	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	5	1	0	3	6	269	0	0	46	58	0	504	0	0	0	0	0	0	29	0	0	5	7	175	6	0	396	0	0	0	0	2386	0	17	62	82	0	0	15	0	0	35	7	14	0	0	3	389	168	0	0	0	0
MSM79H6N	6	42	5	52	204	2	296	0	0	9	63	1244	595	187	27	33	0	530	751	3	11	0	85	155	436	0	915	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	1	1	7	0	0	3	3	0	11	2	179	3	0	100	134	0	696	0	0	0	0	1	0	24	0	1	8	0	119	5	1	458	0	0	0	0	1879	0	9	50	50	0	0	12	0	0	65	14	56	0	0	0	316	136	0	0	0	1
MSM79H6Y	30	0	0	89	497	11	38	14	0	5	138	57	35	11	97	0	215	0	58	0	18	0	68	2134	395	49	232	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	19	0	0	3	11	0	2	0	289	3	0	1429	1446	0	1303	0	0	0	0	0	0	13	0	12	0	0	0	5	138	5	11	263	2	0	1	0	156	94	1	0	0	37	0	0	38	17	37	2	7	0	371	71	4	0	8	4
MSM79H7O	0	15	0	79	249	0	126	0	0	4	74	288	7	0	941	0	20	0	0	0	23	199	56	1445	600	33	108	19	0	1	3	0	0	0	0	0	0	0	0	0	0	3	0	1	1	5	0	0	3	6	0	0	0	49	2	1	32	10	20	4145	0	1	0	0	18	0	0	0	0	7	8	48	5	8	1	435	0	2	0	0	0	10	64	7	16	0	1	3	0	0	2	21	0	0	0	687	80	0	1	3	4
MSM79H7Q	0	13	0	51	284	0	81	2	0	6	57	432	3	0	1157	0	5	0	0	0	94	217	47	922	932	73	134	20	1	2	3	0	0	0	5	0	1	0	0	0	0	50	0	3	6	28	0	0	17	29	0	0	0	30	5	5	249	30	21	3193	0	6	1	0	0	0	0	0	1	7	0	71	4	0	3	541	0	1	0	1	0	24	262	128	0	0	1	11	0	0	3	31	0	1	0	555	121	0	2	8	8
MSM79H7W	0	2	0	14	136	0	31	0	0	2	13	228	6	0	2175	0	32	0	0	0	36	153	44	1327	371	61	49	33	7	0	6	0	0	0	0	0	0	0	0	0	0	2	0	7	11	21	0	0	36	45	0	1	0	148	2	6	723	5	52	2906	0	18	1	0	0	0	0	0	0	5	30	0	3	1	2	383	0	2	0	0	0	68	101	116	0	0	1	18	0	0	5	58	0	3	0	467	0	0	0	7	17
