	Akkermansia_muciniphila	Alistipes_finegoldii	Alistipes_indistinctus	Alistipes_onderdonkii	Alistipes_putredinis	Alistipes_senegalensis	Alistipes_shahii	Anaerostipes_hadrus	Anaerotruncus_colihominis	Anaerotruncus_unclassified	Bacteroidales_bacterium_ph8	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_dorei	Bacteroides_eggerthii	Bacteroides_faecis	Bacteroides_finegoldii	Bacteroides_fragilis	Bacteroides_massiliensis	Bacteroides_nordii	Bacteroides_ovatus	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Bacteroides_xylanisolvens	Barnesiella_intestinihominis	Bifidobacterium_adolescentis	Bifidobacterium_bifidum	Bifidobacterium_longum	Bilophila_unclassified	Bilophila_wadsworthia	Burkholderiales_bacterium_1_1_47	C2likevirus_unclassified	Clostridiales_bacterium_1_7_47FAA	Clostridium_asparagiforme	Clostridium_bartlettii	Clostridium_bolteae	Clostridium_citroniae	Clostridium_clostridioforme	Clostridium_hathewayi	Clostridium_leptum	Clostridium_symbiosum	Collinsella_aerofaciens	Coprococcus_catus	Coprococcus_comes	Desulfovibrio_desulfuricans	Dialister_invisus	Dorea_formicigenerans	Dorea_longicatena	Dorea_unclassified	Escherichia_coli	Escherichia_unclassified	Eubacterium_eligens	Eubacterium_hallii	Eubacterium_ramulus	Eubacterium_rectale	Eubacterium_siraeum	Eubacterium_ventriosum	Faecalibacterium_prausnitzii	Flavonifractor_plautii	Haemophilus_parainfluenzae	Holdemania_filiformis	Holdemania_unclassified	Lachnospiraceae_bacterium_1_1_57FAA	Lachnospiraceae_bacterium_2_1_58FAA	Lachnospiraceae_bacterium_3_1_46FAA	Lachnospiraceae_bacterium_3_1_57FAA_CT1	Lachnospiraceae_bacterium_5_1_63FAA	Lachnospiraceae_bacterium_7_1_58FAA	Lachnospiraceae_bacterium_8_1_57FAA	Odoribacter_splanchnicus	Oscillibacter_unclassified	Parabacteroides_distasonis	Parabacteroides_goldsteinii	Parabacteroides_merdae	Parabacteroides_unclassified	Parasutterella_excrementihominis	Peptostreptococcaceae_noname_unclassified	Prevotella_copri	Pseudoflavonifractor_capillosus	Roseburia_hominis	Roseburia_intestinalis	Roseburia_inulinivorans	Roseburia_unclassified	Ruminococcaceae_bacterium_D16	Ruminococcus_bromii	Ruminococcus_callidus	Ruminococcus_gnavus	Ruminococcus_lactaris	Ruminococcus_obeum	Ruminococcus_torques	Streptococcus_parasanguinis	Streptococcus_salivarius	Streptococcus_thermophilus	Subdoligranulum_unclassified	Sutterella_wadsworthensis	Veillonella_atypica	Veillonella_dispar	Veillonella_parvula	Veillonella_unclassified
MSM79H8L	0	57	4	335	1042	3	192	0	1	2	11	0	0	637	95	924	12	0	1530	0	828	0	1	1398	1	0	705	8	0	5	24	8	0	0	4	1	0	4	2	0	0	0	0	17	0	5	0	0	15	9	0	27	0	0	22	11	106	6	5	89	18	0	2	1	0	12	3	0	0	74	0	140	0	533	0	651	0	0	0	0	0	0	0	0	0	0	0	0	22	0	3	38	1	0	0	158	194	0	0	2	0
MSM79H8N	0	12	0	195	199	0	31	0	2	2	8	0	0	561	1049	75	276	0	229	0	233	1	0	1111	0	0	121	0	0	1	18	7	0	0	2	0	0	0	0	0	0	21	0	5	0	1	0	0	15	10	0	0	1	0	0	4	468	1	7	2436	0	0	3	0	0	0	388	0	0	20	23	84	0	132	0	162	0	0	0	0	0	4	0	4	6	0	18	0	0	0	5	27	0	0	0	1899	124	0	0	0	0
MSM79H9A	840	19	39	169	724	0	268	0	4	20	238	1304	2	26	0	175	0	0	0	1	129	0	39	18	182	0	964	0	0	107	9	2	2	0	0	0	0	2	0	1	2	106	0	0	0	0	19	0	0	0	4	25	15	34	1	0	116	226	0	67	0	0	1	0	0	0	0	7	13	11	0	0	30	624	0	0	40	0	0	0	1	1	0	0	0	0	2710	0	0	0	1	105	0	0	7	549	0	0	0	0	0
MSM79H9C	410	4	26	25	337	0	105	1	3	15	159	993	97	32	0	51	0	0	0	0	132	0	36	26	91	2	743	0	0	447	10	2	0	0	1	0	0	2	0	1	13	69	0	0	0	0	7	0	0	0	7	67	0	5	1	0	130	390	0	67	0	0	0	0	0	0	4	6	8	11	0	0	81	358	0	0	18	0	0	0	1	10	0	0	0	2	4068	0	2	0	1	248	0	0	4	672	0	0	0	0	0
MSM79H9G	1	13	57	77	691	0	250	5	0	5	381	521	46	13	0	99	0	0	0	0	97	0	14	36	35	0	1043	0	0	319	8	1	0	0	0	0	0	0	0	0	0	60	0	0	0	0	13	0	0	0	8	10	7	5	0	0	262	842	0	49	0	0	0	0	0	0	1	1	16	15	0	0	71	453	0	0	0	0	0	0	4	4	0	0	0	5	3438	0	0	0	2	198	0	0	9	815	0	0	0	0	0
MSM79H9K	51	8	42	72	535	2	163	3	1	24	346	315	117	29	0	72	0	0	0	0	363	0	28	12	76	1	766	0	0	532	7	1	3	0	0	0	0	1	0	0	0	52	0	0	0	0	8	0	0	0	2	9	2	12	3	0	44	1840	0	85	2	0	0	0	0	0	2	1	32	17	0	0	92	178	0	0	29	0	0	0	7	46	0	0	0	7	2569	0	4	0	6	332	0	0	13	1035	0	0	0	0	0
MSM79H9M	8	7	1	39	376	10	68	0	0	2	17	147	0	1	9	0	16	0	786	0	47	63	88	66	808	8	260	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	11	0	0	17	13	0	6	0	278	24	8	13	0	31	1544	0	0	4	1	38	0	165	0	0	2	0	146	41	41	0	129	0	0	0	3495	0	168	307	115	0	0	0	46	0	0	12	57	0	0	4	453	0	0	0	0	0
MSM79H9Q	20	0	0	3	63	0	6	3	0	0	1	105	5	3	17	0	18	0	1037	0	32	98	73	78	879	5	43	0	0	0	19	1	0	11	0	0	0	0	0	0	0	0	0	3	14	13	3	0	34	39	0	79	0	177	7	4	6	0	70	1035	0	0	14	2	33	0	374	0	0	0	0	92	4	29	0	68	7	2	0	4025	0	44	22	115	248	0	0	252	0	0	20	341	0	0	0	306	0	0	0	0	0
MSM79H9W	42	60	17	15	729	21	198	0	3	1	31	216	182	1	28	0	10	0	1202	0	79	35	176	163	919	33	703	0	0	0	19	3	0	0	0	0	0	1	0	0	0	37	0	8	3	2	0	0	16	24	0	12	0	94	10	1	272	0	37	1413	0	0	0	0	65	0	134	0	0	3	0	242	88	81	0	322	0	0	0	830	0	298	44	182	0	0	19	136	0	0	5	121	0	0	0	614	0	0	0	0	0
MSM79H9Y	4	31	2	63	280	1	179	0	0	3	55	648	242	892	32	114	0	274	888	1	5	0	53	148	299	0	717	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	4	3	0	4	2	305	0	0	2	14	0	1327	0	0	0	0	1	0	45	0	0	8	6	145	7	2	362	0	0	0	0	1718	1	16	65	54	62	0	16	0	0	13	5	24	0	0	0	474	370	0	0	1	1
MSM79HA1	4	17	2	30	221	0	165	0	0	1	15	307	194	422	27	226	0	180	981	1	37	0	15	220	305	1	502	2	0	0	1	0	0	7	0	0	0	0	0	0	0	0	0	1	0	1	0	0	7	12	0	0	0	55	0	1	141	637	0	659	0	3	0	0	2	0	16	0	2	5	0	114	3	1	151	0	0	0	2	3432	0	5	192	63	0	0	13	0	0	1	2	14	0	0	0	311	268	0	0	1	2
MSM79HA3	4	19	1	19	121	1	178	0	0	0	20	274	69	147	27	88	0	110	329	4	15	0	11	110	190	0	685	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	10	0	0	20	249	0	198	0	3	0	0	0	0	7	0	1	8	0	102	3	10	112	0	23	0	2	6265	0	8	104	53	0	0	12	0	0	13	1	11	0	1	3	179	168	0	0	1	1
MSM79HA7	2	24	20	17	204	0	118	0	0	4	11	624	105	294	29	117	0	119	894	5	33	0	38	186	619	4	577	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	5	0	0	0	109	0	0	201	1266	3	418	2	1	0	0	0	0	52	0	4	8	0	169	6	4	143	0	18	0	1	2434	1	34	174	121	0	0	0	0	0	10	4	24	0	0	0	554	175	0	0	1	1
MSM79HAH	202	0	0	109	395	0	11	0	0	1	27	189	155	0	0	0	0	84	0	0	16	2094	133	2430	1909	304	11	0	0	0	7	1	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	1	3	0	0	0	0	1	1	44	0	3	873	0	2	0	0	0	0	0	0	1	2	4	0	13	46	1	201	0	0	4	0	0	9	266	1	0	2	142	0	0	99	2	37	0	0	0	150	0	0	0	0	0
MSM79HB6	1910	343	8	588	0	0	0	3	7	0	0	1181	0	0	0	0	0	328	0	13	334	0	35	1959	1067	122	0	31	41	3	0	0	7	0	0	2	1	22	2	6	112	2	12	10	0	2	0	129	6	0	1	175	0	0	15	20	105	0	0	72	24	0	0	1	0	0	0	31	1	9	0	100	12	1	0	577	7	1	0	0	0	2	14	20	0	0	111	0	1	0	1	48	0	0	1	362	0	0	0	0	0
MSM79HBB	80	0	2	71	289	8	26	2	0	1	62	31	16	13	115	1	149	0	73	0	39	0	93	1913	214	48	49	0	0	0	1	0	2	2	0	0	0	0	0	0	0	4	0	2	2	11	0	2	6	11	0	0	1	40	1	1	553	1134	4	3844	0	7	4	0	0	0	9	0	2	1	0	49	6	76	3	21	118	4	0	0	1	32	141	0	21	0	36	0	0	55	10	54	1	1	2	287	128	3	2	5	6
MSM79HBL	0	2	3	94	1747	32	222	3	0	0	484	127	9	33	218	4	498	0	420	0	143	0	131	1879	273	120	516	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	10	0	0	3	5	0	0	0	66	1	0	398	105	0	1519	0	29	0	0	0	0	17	0	5	0	11	144	6	22	15	4	128	0	0	8	0	70	60	0	0	0	65	0	0	19	10	49	8	9	0	136	59	21	5	21	6
MSM79HC4	0	0	0	3	94	0	8	1	0	1	2	137	0	0	748	0	3	3	0	0	18	144	17	718	757	26	9	159	29	10	5	0	0	0	2	0	0	0	0	0	0	4	0	33	37	30	0	0	27	68	0	0	0	48	12	3	457	5	63	3682	0	53	8	0	109	0	0	2	10	3	76	0	0	5	0	323	0	8	4	0	0	5	243	136	0	0	3	4	0	0	11	74	2	12	0	1331	157	2	3	15	39
MSM79HC8	0	1	0	23	126	0	18	2	0	1	11	188	2	0	967	0	4	0	0	0	33	96	16	1172	448	32	52	126	19	4	13	0	0	0	0	0	1	0	0	0	0	0	0	21	34	66	0	0	21	34	0	13	3	41	6	5	165	3	50	4324	0	2	5	1	0	0	0	0	5	2	0	41	1	1	0	617	0	5	8	0	0	12	47	60	21	0	3	3	0	0	9	43	0	0	0	891	73	0	1	4	6
MSM79HCG	13	0	0	0	1488	0	187	3	0	0	0	0	0	2315	0	0	0	0	0	0	0	0	2883	0	0	0	0	0	0	0	9	0	0	0	0	0	1	0	0	0	0	43	0	1	0	3	0	113	0	3	1	0	0	270	1	0	321	0	50	1785	21	32	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	6	0	0	1	138	71	0	1	0	0	0	0	1	18	2	1	0	9	0	28	17	148	12
MSM79HCI	1884	0	0	0	1790	0	369	1	0	0	0	0	0	2302	0	0	0	0	0	0	0	0	1986	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	22	0	0	0	2	0	54	0	2	4	0	0	124	0	0	18	0	24	1183	0	5	0	0	0	0	0	0	2	0	0	0	5	0	0	0	2	0	2	0	4	7	2	131	14	0	0	6	3	0	0	9	0	0	0	30	0	2	1	5	3
MSM79HCK	406	0	0	0	3031	0	605	0	0	0	0	0	0	2050	0	0	0	0	0	0	0	0	2324	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	153	0	3	8	0	0	129	0	0	206	0	13	840	0	1	0	0	0	0	0	0	1	0	0	0	7	0	0	0	2	0	0	0	1	6	0	29	66	0	0	12	0	0	5	0	1	0	0	86	0	0	0	14	0
MSM79HCP	977	0	0	0	2540	0	399	0	0	2	0	0	0	1644	8	0	0	0	1	0	1	0	2383	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	7	0	91	1	5	3	0	0	181	0	0	377	0	27	934	0	19	0	0	0	0	0	0	0	0	14	0	8	0	0	0	4	0	2	0	1	86	25	94	0	0	0	3	0	0	0	15	2	0	0	98	0	1	1	33	5
MSM79HCR	12	0	0	0	566	0	120	0	0	0	0	0	0	7037	0	0	0	0	0	0	0	0	1118	0	1	0	0	0	0	0	1	0	0	75	0	0	0	0	0	0	0	1	0	0	0	18	0	18	2	3	5	13	0	134	1	0	258	0	32	376	0	22	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	2	88	19	41	0	0	0	0	0	0	0	1	0	0	7	0	4	0	22	0
MSM79HES	805	122	5	183	0	0	0	9	15	0	0	942	0	0	0	0	0	372	0	4	246	0	143	1172	1507	159	0	248	223	41	0	0	24	0	1	4	23	108	2	12	23	15	47	159	0	24	0	33	26	0	1	411	0	0	193	156	379	0	0	18	61	0	3	8	0	0	0	97	9	31	0	40	105	0	0	748	0	8	4	0	0	5	4	20	0	1	229	0	5	0	9	214	0	0	0	541	0	0	0	0	0
MSM79HEU	4142	342	4	515	0	0	0	1	8	3	0	267	0	0	0	0	0	58	0	2	169	0	114	1410	1329	207	0	6	10	1	0	0	14	1	0	1	3	8	0	3	33	0	2	7	0	1	0	65	7	0	0	9	0	0	18	15	207	0	0	28	41	0	0	1	0	0	0	3	0	7	13	53	32	0	0	589	0	4	0	0	0	4	23	21	0	0	21	0	0	0	2	5	0	0	1	173	0	0	0	0	1
MSM79HEW	4798	336	1	534	0	0	0	8	11	0	0	441	0	0	0	0	0	165	0	4	106	0	78	808	605	32	0	31	20	7	0	0	15	0	0	1	3	31	0	3	28	3	8	20	0	1	0	162	20	0	0	61	0	0	19	30	214	0	0	24	42	0	0	2	0	0	0	2	4	18	24	49	121	0	0	563	0	4	0	0	0	26	19	7	0	0	66	0	0	0	4	17	0	0	0	401	0	0	0	0	0
MSM79HEY	27	39	0	63	0	0	0	1	0	0	0	430	0	0	5	0	0	70	0	0	822	0	135	1426	4537	193	0	2	1	2	0	0	79	0	0	0	0	18	0	1	0	0	0	1	0	0	0	77	5	0	0	0	1	0	8	9	868	0	0	233	10	1	0	0	2	0	0	0	0	2	0	54	32	1	0	676	0	17	3	0	0	12	39	14	0	0	6	0	0	0	0	18	0	0	0	44	0	10	1	6	2
MSM79HFW	0	2	12	92	867	18	197	0	0	9	168	214	35	17	561	2	350	0	216	0	79	0	109	3248	347	68	328	0	0	0	1	0	1	4	0	0	0	0	0	0	0	0	0	0	3	3	0	0	4	10	0	0	1	58	0	0	191	218	2	1545	0	2	0	0	0	0	6	0	0	1	0	92	6	32	14	9	74	2	0	0	1	89	35	0	0	1	17	0	0	32	13	57	0	0	2	411	112	7	0	1	3
MSM79HFY	0	1	11	144	1109	30	188	3	0	0	199	151	27	12	447	1	478	0	174	0	39	0	100	3123	295	117	710	0	0	0	1	0	8	5	0	0	0	0	0	0	0	12	0	0	1	3	0	0	4	17	0	0	0	58	1	0	210	323	0	1140	0	3	0	0	0	0	5	0	1	0	22	96	3	47	15	12	98	11	0	0	1	137	35	0	0	0	19	0	0	28	13	20	0	0	0	220	53	5	1	7	3
MSM9VZF7	0	19	53	75	866	1	260	2	0	1	357	570	870	13	0	160	0	0	0	0	547	0	5	50	68	0	1306	0	0	40	3	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	2	0	0	0	9	0	0	11	3	0	83	1564	0	86	0	0	0	0	0	0	1	0	6	6	0	0	11	537	0	0	39	0	0	0	2	7	0	0	0	0	1760	0	0	0	2	98	0	0	23	416	0	0	0	0	0
MSM9VZFF	510	5	24	64	339	0	144	2	0	8	292	265	272	13	0	49	0	25	0	0	727	0	1	35	66	0	530	0	0	307	9	1	8	0	0	0	0	0	0	0	0	115	0	0	0	0	7	0	0	0	3	5	0	18	4	0	53	3881	0	37	0	0	0	0	0	0	4	1	5	8	0	0	24	141	0	0	13	2	0	0	13	9	0	0	0	4	958	0	0	0	10	91	0	0	0	894	0	0	0	0	0
MSM9VZFH	377	5	42	76	475	1	237	1	0	0	203	259	175	44	0	110	0	46	0	0	731	0	11	38	132	0	921	0	0	236	12	2	7	0	0	0	0	3	0	0	0	86	0	0	0	0	6	0	0	0	4	9	0	16	3	0	1196	18	0	188	6	0	1	0	58	0	23	5	8	28	0	0	130	230	0	0	27	2	0	0	15	15	0	0	0	12	2674	0	12	0	13	208	0	0	3	861	0	0	0	0	0
MSM9VZFL	0	22	0	0	1285	0	212	3	0	0	0	478	496	0	0	0	0	1	0	0	185	0	212	922	1739	0	220	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	23	0	0	4	0	1	0	0	32	19	5	1263	0	103	986	1	0	2	0	1	0	1	0	4	6	5	69	32	1	0	949	0	1	0	0	1	0	187	42	0	3	0	0	0	10	20	10	0	0	0	100	340	0	0	0	0
MSM9VZFN	0	22	0	0	909	0	207	6	0	0	0	1247	289	1	0	0	0	5	0	0	534	0	354	612	2314	0	275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	49	0	0	9	3	0	34	2	86	6	2	486	0	146	825	0	0	1	0	57	0	2	0	8	3	24	116	14	1	0	803	0	0	0	0	0	0	44	26	1	2	0	0	0	9	2	51	0	0	0	138	272	0	0	0	0
MSM9VZFR	0	19	0	0	859	0	212	0	0	0	0	773	274	0	0	0	0	0	0	0	807	0	415	677	3242	0	263	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	17	0	0	4	0	0	5	0	142	2	0	321	0	30	858	1	0	0	0	4	0	0	0	1	9	0	51	51	2	0	414	0	0	0	0	0	16	63	32	0	5	0	0	0	4	2	21	0	0	0	111	282	0	0	0	0
MSM9VZFT	0	10	0	0	1007	0	135	18	1	0	0	349	320	0	0	0	0	0	0	0	899	0	107	553	1347	0	105	42	0	28	0	0	0	0	0	0	10	0	0	0	0	2	0	24	7	57	0	0	24	2	0	0	0	68	54	12	1549	0	163	1355	1	0	1	0	5	0	1	0	21	7	32	53	38	0	0	780	0	1	0	0	0	1	175	43	11	31	0	0	0	9	16	85	0	0	0	309	130	0	0	0	0
MSM9VZGO	1	1	0	3	212	1	29	15	0	8	5	187	0	0	57	0	14	0	385	0	26	168	31	81	449	12	73	14	0	0	9	0	1	1	0	0	0	0	0	0	0	4	0	13	14	34	5	0	21	143	0	93	0	149	88	15	809	0	124	2606	0	0	10	0	0	0	315	0	5	0	0	97	18	63	0	65	0	1	3	1214	0	147	74	662	0	0	203	332	0	0	36	79	0	0	0	777	0	0	0	0	0
MSM9VZGS	17	11	0	4	332	5	32	5	0	10	21	88	1	0	14	0	6	0	488	0	8	44	14	263	200	0	142	100	0	0	31	0	0	0	0	0	0	8	0	0	0	1	0	64	76	94	36	0	70	180	0	373	32	381	84	57	697	0	136	1777	0	0	26	1	0	0	434	0	1	2	0	88	63	35	0	28	16	1	0	517	0	187	21	190	0	0	50	505	0	0	59	319	0	0	0	1554	0	0	0	0	0
MSM9VZGU	128	9	0	1	212	3	40	2	0	25	4	152	2	0	40	0	2	0	601	0	16	18	27	312	493	3	208	3	0	0	16	1	0	0	0	7	0	0	0	0	0	3	0	15	127	24	26	0	66	140	0	17	17	220	20	28	1822	0	83	1338	0	0	19	2	0	0	477	0	2	4	0	129	60	46	0	53	15	0	0	992	0	60	17	60	98	0	0	252	0	0	57	318	0	0	0	1071	0	0	0	0	0
MSM9VZGW	0	5	0	33	179	0	9	0	1	0	1	0	0	253	334	35	105	0	212	0	69	0	0	436	1	0	34	285	0	154	39	12	0	0	18	3	5	206	6	0	0	8	9	172	0	46	1	0	56	342	0	0	20	0	125	1	412	1	14	2898	0	1	56	0	0	0	140	7	2	30	31	0	4	55	0	36	0	1	4	0	0	2	0	10	35	0	176	0	0	0	53	67	0	0	0	2571	175	0	0	0	2
MSM9VZGY	0	7	0	94	343	0	11	0	2	2	3	0	0	526	1380	279	216	0	488	0	347	1	0	1390	3	0	65	11	0	3	45	17	0	0	4	0	0	117	0	0	0	3	0	31	0	6	0	0	41	105	0	0	5	0	14	5	1015	28	38	1234	0	0	26	0	0	0	199	0	0	34	0	52	2	326	0	143	0	0	0	0	0	5	0	7	6	0	27	0	0	0	8	97	0	0	0	1076	115	0	0	0	0
MSM9VZH7	0	3	0	31	328	0	10	0	0	0	8	0	0	283	742	80	201	0	354	0	173	1	0	810	0	0	51	2	0	8	46	17	0	0	6	4	0	3	0	0	0	10	0	21	0	16	0	0	55	293	0	0	0	0	7	9	676	14	50	2905	0	0	20	0	0	0	77	0	0	9	4	0	10	143	0	71	0	0	0	0	0	6	0	68	0	0	82	0	0	0	10	45	0	0	0	2077	156	0	0	0	0
MSM9VZHB	122	0	0	0	13	0	0	66	0	0	0	130	0	0	3	0	1	0	442	0	0	66	12	86	724	0	39	0	0	0	27	3	1	0	1	0	0	399	2	0	0	1	0	15	68	66	14	0	38	165	0	930	0	1	134	90	9	0	53	47	0	0	33	0	0	0	314	0	16	0	0	0	0	12	0	10	0	2	0	2133	0	39	21	2628	0	0	0	10	11	0	24	702	0	2	0	274	0	0	0	0	0
MSM9VZHF	1272	0	2	7	171	0	9	33	0	6	0	149	31	0	10	0	9	18	408	0	20	256	27	282	202	49	227	0	0	0	168	29	1	0	12	22	0	33	3	0	0	0	0	54	222	97	82	0	70	220	0	0	0	57	119	36	202	0	101	1316	0	0	19	10	0	0	364	12	0	4	0	0	2	42	0	44	0	11	0	488	0	172	103	612	0	0	0	169	13	2	190	857	0	0	0	853	0	0	0	0	0
MSM9VZHJ	0	0	0	0	739	0	24	1	0	0	0	0	0	1495	0	0	0	0	0	0	0	0	1395	0	0	466	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	12	0	1	2	0	0	151	11	5	0	0	1	2	0	0	533	0	187	3356	2	249	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	1101	0	73	0	0	9	0	0	0	10	12	0	0	0	70	0	26	4	45	4
MSM9VZHL	0	0	0	0	410	0	118	0	0	0	0	0	0	847	0	0	0	0	0	0	0	0	485	6	0	274	0	0	0	0	10	0	0	5	0	2	0	0	5	0	0	68	0	0	0	7	0	662	28	0	13	0	0	231	0	0	441	0	112	4419	0	0	0	0	0	0	0	0	0	0	26	0	39	0	0	0	0	0	0	0	0	1137	2	92	0	0	10	0	0	0	6	125	12	0	0	246	0	31	4	108	16
MSM9VZHN	0	0	0	0	787	0	241	0	0	0	0	0	0	1996	4	0	0	0	2	0	1	0	738	4	0	653	0	0	0	0	1	0	0	23	0	0	0	0	0	0	0	8	0	0	1	2	0	120	1	4	7	3	1	14	1	0	884	0	56	3458	1	16	0	0	0	0	0	0	1	0	44	0	8	0	0	0	1	0	2	0	0	660	3	54	0	0	42	0	0	0	8	29	18	0	0	49	0	13	5	33	2
MSM9VZHP	0	0	0	0	522	0	56	0	0	0	0	0	0	703	0	0	0	0	0	0	0	0	442	0	0	302	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	53	0	0	0	7	0	354	52	4	0	0	0	24	2	0	1231	0	59	4840	1	25	0	0	0	0	0	0	0	0	2	0	7	0	0	0	0	0	0	0	1	1066	3	63	0	0	19	0	0	0	3	7	6	2	0	99	0	9	0	25	1
MSM9VZHR	0	0	0	0	523	0	80	1	0	0	0	0	0	971	0	0	0	0	0	0	0	0	501	0	1	419	0	0	3	0	12	0	0	63	0	0	10	0	0	0	0	20	0	5	4	12	0	154	17	8	5	21	0	7	1	0	2990	0	178	3397	2	15	0	0	0	1	0	0	1	0	0	0	34	0	0	0	0	0	4	0	4	6	1	98	138	0	32	0	11	0	7	30	31	18	0	61	0	4	4	89	5
MSM9VZHT	0	0	0	0	525	0	35	5	1	10	0	0	0	872	0	0	0	0	0	0	0	0	658	0	2	291	0	0	0	0	53	4	0	1	0	0	12	0	2	0	0	12	0	2	1	13	0	875	60	48	0	0	0	49	0	2	1118	0	299	4155	3	7	2	0	0	11	0	0	8	0	0	0	13	0	0	0	0	0	0	0	1	107	2	229	0	0	305	0	75	0	2	20	1	0	0	82	0	0	0	25	3
MSM9VZHX	0	550	0	0	972	1	140	0	2	0	0	0	898	2	0	0	0	519	0	47	0	0	1226	289	3037	513	0	0	0	0	65	7	47	0	0	8	0	14	1	16	3	56	0	1	0	0	0	357	0	0	19	15	8	0	0	0	0	0	0	233	124	0	2	2	0	0	5	0	0	31	0	92	38	68	0	0	229	73	0	0	0	0	0	0	8	1	0	0	30	0	2	15	0	0	0	233	0	0	0	0	0
MSM9VZHZ	0	583	0	0	644	0	38	3	39	0	0	0	2122	1	0	0	0	486	0	45	0	0	231	140	1064	480	0	0	0	0	495	52	163	0	18	21	0	85	20	37	20	46	8	7	0	0	0	1399	2	0	17	32	0	0	0	0	0	0	0	21	126	0	0	1	0	0	14	7	7	50	49	124	0	73	0	0	187	141	0	0	0	0	0	0	1	1	0	0	137	0	10	292	0	0	0	464	0	0	0	0	0
MSM9VZI2	0	529	0	0	1058	3	142	1	0	0	0	0	3008	2	0	0	0	235	0	27	0	0	587	247	1998	570	0	0	0	0	35	4	21	0	1	1	0	7	0	9	0	0	0	3	0	0	0	497	2	0	3	17	0	0	0	0	0	0	0	355	21	0	0	0	0	0	3	0	1	11	0	100	4	82	0	0	228	28	0	0	0	0	0	0	3	0	0	0	14	0	6	16	0	0	0	122	0	0	0	0	0
MSM9VZI6	0	6	0	14	157	4	159	1	1	0	2	12	54	204	0	0	33	4	50	1	0	5	535	108	2919	22	24	0	0	0	402	57	0	0	1	48	0	62	5	2	7	212	2	0	0	0	0	0	1	0	8	0	0	22	0	0	24	144	0	2459	147	0	2	2	28	0	4	0	2	68	56	0	220	86	5	19	304	0	4	0	0	11	80	1	0	2	3	0	416	8	6	148	0	0	0	588	19	0	0	0	0
MSM9VZJZ	0	11	0	164	418	0	31	0	3	0	7	0	0	286	3098	228	281	1	457	0	487	2	0	1009	0	0	105	44	0	176	26	10	0	0	2	3	0	46	3	0	0	5	0	11	0	15	0	0	43	86	0	0	0	0	16	4	456	7	14	585	0	2	15	0	0	0	214	0	0	15	36	147	0	388	0	186	0	0	0	0	0	3	0	18	0	0	37	0	0	0	14	46	0	0	0	642	94	0	0	1	1
MSM9VZKC	0	20	0	0	1135	0	177	3	16	0	0	974	310	1	0	0	0	0	0	0	124	0	44	498	756	0	175	2	0	3	0	0	0	0	0	3	0	0	0	0	0	30	0	9	0	64	0	0	13	1	0	8	0	49	15	0	1101	0	24	2585	4	0	1	0	19	0	17	0	5	11	0	63	63	0	0	521	0	1	0	0	1	3	22	7	17	51	0	211	0	12	2	239	0	0	8	452	126	0	0	0	0
MSM9VZKE	0	12	0	0	1120	0	110	1	4	0	0	452	569	0	0	0	0	0	0	0	441	0	175	716	1961	0	89	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	23	0	0	8	0	0	0	4	29	12	5	411	0	27	1326	10	0	1	0	0	0	9	0	4	9	0	97	47	1	0	894	0	1	0	0	1	3	615	54	0	9	0	213	1	3	4	63	0	0	0	305	155	0	0	0	0
MSM9VZKI	89	20	0	0	931	0	212	3	1	1	0	240	616	1	0	0	0	1	0	0	206	0	260	886	1745	0	188	1	0	2	0	0	0	0	0	0	0	0	0	0	0	9	0	5	1	46	0	0	16	1	0	0	0	76	9	3	707	0	496	1488	7	0	6	0	0	0	3	0	6	8	0	59	40	1	0	630	0	1	0	0	0	0	43	131	0	10	0	220	1	26	3	64	0	0	2	294	187	0	0	0	0
