Name	Actinomyces_odontolyticus	Actinomyces_oris	Actinomyces_sp_HMSC035G02	Adlercreutzia_equolifaciens	Agathobaculum_butyriciproducens	Akkermansia_muciniphila	Alistipes_finegoldii	Alistipes_indistinctus	Alistipes_putredinis	Alistipes_shahii	Anaerostipes_hadrus	Anaerotruncus_colihominis	Asaccharobacter_celatus	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_clarus	Bacteroides_dorei	Bacteroides_eggerthii	Bacteroides_finegoldii	Bacteroides_fragilis	Bacteroides_intestinalis	Bacteroides_massiliensis	Bacteroides_ovatus	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Bacteroides_xylanisolvens	Barnesiella_intestinihominis	Bifidobacterium_adolescentis	Bifidobacterium_bifidum	Bifidobacterium_dentium	Bifidobacterium_longum	Bifidobacterium_pseudocatenulatum	Bilophila_wadsworthia	Blautia_obeum	Blautia_sp_CAG_257	Blautia_wexlerae	Butyricimonas_synergistica	Butyricimonas_virosa	Clostridium_bolteae	Clostridium_citroniae	Clostridium_clostridioforme	Clostridium_innocuum	Clostridium_leptum	Clostridium_sp_CAG_58	Clostridium_symbiosum	Collinsella_aerofaciens	Collinsella_stercoris	Coprobacter_fastidiosus	Coprococcus_catus	Coprococcus_comes	Desulfovibrio_piger	Dorea_formicigenerans	Dorea_longicatena	Eggerthella_lenta	Enterococcus_faecalis	Enterococcus_faecium	Erysipelatoclostridium_ramosum	Escherichia_coli	Eubacterium_eligens	Eubacterium_hallii	Eubacterium_ramulus	Eubacterium_rectale	Eubacterium_siraeum	Eubacterium_sp_CAG_180	Eubacterium_sp_CAG_38	Faecalibacterium_prausnitzii	Firmicutes_bacterium_CAG_83	Flavonifractor_plautii	Fusicatenibacter_saccharivorans	Gemmiger_formicilis	Gordonibacter_pamelaeae	Holdemanella_biformis	Hungatella_hathewayi	Intestinibacter_bartlettii	Intestinimonas_butyriciproducens	Klebsiella_pneumoniae	Lachnospira_pectinoschiza	Lactobacillus_fermentum	Lactobacillus_gasseri	Lawsonibacter_asaccharolyticus	Odoribacter_splanchnicus	Oscillibacter_sp_57_20	Oscillibacter_sp_CAG_241	Parabacteroides_distasonis	Parabacteroides_merdae	Paraprevotella_xylaniphila	Phascolarctobacterium_faecium	Prevotella_copri	Roseburia_faecis	Roseburia_hominis	Roseburia_intestinalis	Roseburia_inulinivorans	Rothia_mucilaginosa	Ruminococcus_bicirculans	Ruminococcus_bromii	Ruminococcus_gnavus	Ruminococcus_lactaris	Ruminococcus_torques	Ruthenibacterium_lactatiformans	Sellimonas_intestinalis	Streptococcus_anginosus_group	Streptococcus_gordonii	Streptococcus_oralis	Streptococcus_parasanguinis	Streptococcus_salivarius	Streptococcus_thermophilus	Streptococcus_vestibularis	Veillonella_parvula	[Collinsella]_massiliensis
Ta_R1.V2	1	0	1	0	0	0	121	0	1836	0	0	0	0	0	0	0	16	0	122	0	0	261	0	0	0	65	164	25	0	0	315	0	0	0	0	0	0	1	0	0	0	0	0	86	3	0	0	2333	4	0	56	0	0	0	5	0	0	0	0	0	0	0	10	37	20	0	0	487	0	82	543	4	9	0	0	0	0	0	0	39	0	0	115	380	0	0	5	68	0	2314	0	0	0	0	90	0	0	0	0	0	171	129	0	1	2	63	14	0	0	0	1
Ut_R2.V2	0	0	0	0	274	0	17	39	1035	0	0	0	0	47	0	0	22	229	0	3	0	230	53	0	1866	212	259	0	78	231	0	0	2	0	0	983	0	0	23	9	0	0	0	77	0	0	0	1191	3	0	0	0	0	14	0	116	0	0	0	0	12	0	112	0	0	957	0	3	90	9	202	136	11	0	0	0	0	0	0	0	0	96	4	176	0	0	53	0	0	271	0	0	0	0	46	0	253	0	0	72	248	0	0	0	0	94	139	0	0	0	0
Ut_R4.V2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	657	0	0	246	0	0	64	0	0	1030	0	0	0	0	0	0	6662	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	3	61	70	0	32	573	0
Ut_R5.V2	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	1269	0	0	654	93	0	186	0	774	0	0	0	0	5209	0	0	0	0	0	0	0	0	0	0	0	0	0	1108	0	0	0	0	23	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	2	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	19	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	432	20	0	0	0	0	0	0	0	0	0
Ge_R1.V0	3	2	0	0	180	0	0	4	19	0	295	30	0	0	0	0	1845	0	0	611	0	0	286	0	0	0	0	0	0	0	1508	0	0	0	43	0	28	173	0	0	0	0	182	33	88	0	16	0	0	0	0	0	0	62	259	0	0	0	3	84	0	304	0	0	0	0	0	0	0	487	2076	0	53	0	38	9	0	0	0	0	0	39	0	0	0	428	0	0	135	0	8	0	85	0	0	34	0	215	0	0	273	0	0	0	0	5	8	49	0	0	0
Ge_R11.V0	0	0	0	1	243	0	4	0	857	32	126	0	3	0	0	45	173	415	0	22	6	0	41	144	8	399	220	0	43	0	0	0	273	840	3	108	0	26	0	2	0	0	0	0	3	0	0	265	1	0	15	92	19	4	36	1	0	0	0	0	228	79	17	179	0	321	0	2747	29	10	962	33	8	0	0	0	0	0	109	0	0	7	10	123	0	71	185	0	6	0	207	0	8	0	1	59	89	1	4	0	0	0	0	0	0	0	0	31	0	0	0
Ge_R13.V0	0	0	0	0	0	0	0	0	0	0	0	0	0	343	0	0	0	2935	0	0	0	0	0	0	0	4178	0	0	0	1221	0	0	0	0	0	0	0	35	0	0	0	0	278	0	0	0	75	0	0	0	0	0	0	0	9	0	0	0	5	487	0	2	0	0	0	0	0	0	0	42	1	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	4	0	5	227	0	0	0	0	0	10	0	0	0	0
Ge_R14.V0	0	0	0	0	0	899	124	6	379	21	0	12	0	0	0	22	1	90	0	0	0	286	46	553	0	317	776	13	0	0	0	0	362	0	7	0	257	0	9	5	0	0	181	1	0	0	0	0	35	59	3	0	0	0	0	38	0	4	0	2647	0	0	0	0	0	0	0	0	0	488	0	0	16	0	4	0	0	123	0	184	0	0	17	0	0	175	93	0	29	0	0	0	0	0	0	0	0	149	0	0	1294	6	0	1	0	17	84	0	166	0	0
Ge_R2.V0	0	0	0	17	0	346	374	0	0	0	50	2	47	0	0	0	1598	969	0	0	0	0	0	237	312	514	0	0	0	311	0	0	136	0	0	7	0	56	0	0	10	2	1	5	0	0	9	136	2	0	2	3	0	34	61	0	234	0	0	5	446	174	0	5	0	0	48	1237	9	28	304	0	2	0	0	0	2	0	8	0	0	6	0	205	0	128	0	0	0	0	347	91	5	17	2	412	782	0	115	50	19	0	0	0	0	17	58	0	0	0	1
Ge_R5.V0	0	12	0	56	135	88	103	0	717	54	0	0	74	0	28	0	0	0	39	0	0	88	50	1207	48	1011	1396	19	162	0	0	0	515	182	53	71	9	0	0	128	306	18	71	30	0	0	0	337	0	165	0	0	0	0	0	114	0	0	0	149	0	0	0	0	0	2	0	14	0	26	107	0	24	29	2	0	140	0	0	0	0	8	71	7	0	0	58	312	0	0	118	8	104	0	0	0	868	55	0	0	37	25	0	0	0	7	317	180	0	0	47
Ge_R6.V0	0	0	0	0	42	0	0	0	0	0	52	1	0	0	0	0	0	0	0	0	0	0	135	0	283	934	2110	0	0	200	0	0	56	0	4	0	0	103	0	0	12	1	0	0	0	0	0	203	0	0	0	61	0	9	117	87	0	0	4	2243	0	12	0	0	0	0	132	205	0	48	0	0	17	0	0	0	0	0	0	0	0	0	0	0	108	0	647	0	0	0	802	0	39	417	0	0	669	6	0	233	10	0	0	0	0	0	0	1	0	0	0
Ge_R8.V0	0	0	0	0	171	0	6	30	4	94	52	2	0	0	0	3	231	0	73	0	0	45	184	1489	228	544	458	1	68	0	343	0	505	0	0	108	4	0	0	0	0	0	8	0	3	0	0	107	0	0	0	80	0	9	97	57	0	0	0	356	0	68	0	646	0	574	0	611	85	5	0	47	10	0	3	0	0	389	0	0	0	1	34	0	0	90	38	222	0	0	1026	112	0	0	0	0	632	12	0	0	27	6	0	0	0	0	0	0	0	0	3
Pa_R14.V0	0	0	0	0	0	0	176	11	0	29	0	5	0	40	1397	0	203	0	0	0	0	0	0	866	274	1363	466	0	418	0	0	0	0	0	1	0	0	0	8	19	700	23	0	59	0	0	0	2	0	43	0	0	0	0	0	295	0	0	0	7	0	0	0	0	0	0	0	0	0	131	0	0	69	0	16	0	229	0	0	0	0	56	52	0	0	520	207	0	246	0	0	0	0	1183	0	0	0	521	0	0	179	187	0	0	0	0	0	0	0	0	1
Pa_R2.V0	0	0	0	0	41	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	5	11	0	0	5	0	0	336	0	593	16	2	0	149	0	21	0	0	0	0	0	0	0	0	0	127	2	0	48	0	0	0	164	0	0	0	0	0	85	5	0	855	0	51	5	1857	0	0	59	1	0	9	0	0	0	14	30	6	0	0	8	0	0	0	8	0	0	3418	414	0	10	6	26	0	0	0	0	77	0	0	51	0	6	132	1300	0	0	9	0
Pa_R3.V0	8	0	0	0	30	0	9	0	0	54	15	0	0	316	0	0	71	510	41	33	0	0	20	0	60	2577	1249	32	0	0	149	2	256	96	0	91	0	80	0	27	8	2	37	0	1	0	13	25	0	0	0	0	0	59	0	127	155	11	0	929	269	5	0	79	0	0	0	234	255	0	166	0	16	0	9	0	18	0	0	0	0	0	68	4	0	652	503	0	0	0	158	0	19	0	24	0	0	6	0	69	10	0	0	1	16	39	7	28	53	197	0
Pa_R5.V0	0	11	0	0	0	288	0	0	0	59	0	7	0	0	2	0	0	333	0	28	0	0	89	86	80	392	1387	0	162	0	0	1	156	0	0	0	143	257	0	62	6	5	0	75	0	93	36	0	0	0	0	29	0	7	230	15	0	246	1	4271	23	0	0	0	41	0	0	0	35	0	0	6	6	0	0	0	0	0	0	121	33	0	7	0	0	193	137	6	68	0	0	0	0	0	3	0	147	13	0	0	8	38	328	0	14	105	108	0	0	0	0
Ta_R1.V0	4	0	2	0	0	0	0	0	249	0	50	0	0	0	1	0	112	0	1	0	0	11	0	0	0	60	0	0	0	0	0	0	22	0	3	313	0	23	0	0	0	0	0	0	0	0	0	309	0	0	63	0	27	34	88	0	0	0	0	22	143	124	6	228	135	512	40	1047	0	0	241	44	13	0	0	0	0	7	13	0	30	5	5	227	0	95	2	139	0	3204	1482	36	62	2	25	0	592	0	0	0	7	0	0	0	6	74	3	55	0	0	0
Ut_R2.V0	10	2	1	5	108	0	5	17	1054	12	0	0	4	0	0	0	7	14	0	0	0	1	2	0	3	47	10	0	55	165	0	7	98	0	4	217	0	13	0	6	0	0	0	0	0	0	0	737	6	0	37	18	37	13	127	0	0	0	0	2236	0	15	0	186	0	549	24	1265	17	0	585	33	0	0	0	0	0	13	0	0	0	29	9	62	0	15	22	0	0	858	200	61	3	0	10	138	521	0	45	33	3	0	0	4	0	91	135	0	0	0	0
Ut_R4.V0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	6509	0	0	61	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	342	0	0	0	11	616	0	0	0	0	0	0	0	0	0	0	226	0	0	0	0	0	0	0	0	374	6	0	0	0	0	0	0	0	0	0	186	61	0	136	3	0	0	102	394	152	0	0	0	0	0	114	55	0	29	479	0
Ut_R5.V0	20	6	0	0	0	0	0	31	0	0	0	45	0	0	0	24	890	0	0	500	480	0	290	0	197	614	0	0	76	0	25	35	366	0	18	137	253	56	0	85	102	21	0	115	0	0	51	1269	278	0	0	0	0	0	0	158	0	0	3	207	0	0	0	0	18	1220	0	0	0	120	0	0	35	0	34	0	102	28	0	6	0	1	199	0	18	583	0	0	395	0	0	0	0	303	0	0	202	204	0	0	61	109	0	0	0	0	0	0	0	0	8
Ge_R1.V3	0	0	0	1	0	0	0	0	494	19	134	27	4	742	0	4	2438	0	0	147	0	0	82	390	104	410	0	0	99	616	160	0	126	0	3	64	0	85	15	65	0	0	0	9	0	0	0	289	2	27	74	103	0	43	110	0	0	0	0	124	0	132	26	938	0	0	0	65	0	131	277	42	4	4	0	0	0	0	37	0	0	6	30	0	0	291	42	25	74	0	30	0	0	0	0	0	317	0	0	477	35	0	0	0	0	1	3	0	0	0	0
Ge_R1.V4	0	0	0	4	0	0	5	0	875	61	92	27	7	357	1	52	1319	0	0	0	0	343	61	1348	330	766	141	0	281	667	0	0	291	0	9	44	0	8	19	14	0	0	0	0	0	0	0	153	0	14	64	151	0	19	122	0	0	0	0	33	0	58	21	454	0	0	0	242	0	60	171	42	0	2	0	0	0	0	40	0	0	2	70	0	0	99	149	17	45	0	10	0	129	0	0	0	190	0	43	468	9	0	0	0	0	0	3	0	0	0	0
Ge_R1.V5	0	3	0	31	0	0	10	0	2089	156	16	73	60	0	0	0	0	0	0	0	0	195	137	1396	0	0	0	0	0	1305	0	0	423	0	19	17	0	6	0	0	0	0	0	0	0	0	0	543	3	0	26	48	0	29	21	0	0	0	0	110	0	47	22	281	0	0	0	840	0	104	103	90	13	2	0	2	0	0	14	0	0	7	0	0	0	383	297	0	79	0	125	0	0	0	0	0	727	0	36	84	16	0	0	0	0	3	0	5	0	0	0
Ge_R11.V3	11	0	5	6	73	0	39	8	1331	57	199	0	16	2	0	29	512	615	0	250	12	0	131	399	23	901	69	0	75	495	0	0	528	112	0	0	0	191	1	8	0	0	0	0	0	6	0	735	5	0	1	40	15	13	45	36	0	0	0	0	125	24	9	17	0	0	30	979	61	27	644	173	12	0	0	0	0	0	0	0	0	11	55	0	0	107	180	22	0	0	230	0	0	0	17	0	8	9	28	0	0	2	0	0	0	22	114	97	0	0	0
Ge_R11.V4	12	0	5	17	409	0	38	3	1612	33	105	0	33	21	0	6	252	642	0	0	46	0	81	136	9	476	767	0	28	36	0	0	189	206	1	0	0	139	3	7	0	0	0	0	0	15	0	959	6	0	5	65	48	11	68	15	0	0	0	0	61	78	11	989	0	0	12	690	78	15	546	37	12	0	0	0	0	0	7	0	0	12	20	146	0	31	91	41	0	0	30	0	187	3	45	54	156	2	11	0	5	1	0	0	0	18	77	28	0	1	0
Ge_R11.V5	1	0	1	12	0	0	56	0	434	1	99	0	28	14	0	75	758	75	0	147	0	0	8	344	53	308	308	0	19	0	0	0	975	1282	0	0	60	485	0	0	3	0	0	0	0	21	10	784	11	0	0	0	16	14	246	17	0	0	16	0	0	51	0	0	0	0	0	1515	0	60	0	89	11	0	0	0	0	0	0	0	0	4	0	14	0	64	82	195	0	0	0	0	375	0	8	70	608	85	0	0	10	16	0	0	0	2	0	57	0	0	0
Ge_R13.V3	0	0	0	13	166	55	18	16	334	23	40	0	20	6	0	0	0	138	0	56	5	0	163	55	13	411	114	26	11	3764	445	0	687	0	12	62	0	25	0	0	0	0	0	0	0	13	0	825	5	0	7	31	53	8	68	0	12	0	0	0	2	72	8	0	0	501	1	844	5	0	217	39	1	0	0	0	0	0	34	0	0	0	13	19	78	31	0	0	8	0	92	1	0	0	0	0	321	0	0	0	4	0	0	0	0	0	3	2	0	0	1
Ge_R13.V4	0	0	0	30	66	9	16	7	387	26	29	0	44	113	0	0	0	0	0	36	3	0	3	167	15	272	116	85	11	3170	360	0	438	0	1	72	0	25	0	0	0	0	0	0	0	1	0	729	3	0	14	27	50	4	34	0	12	0	0	9	0	66	2	95	47	281	3	1600	23	6	416	108	1	0	0	0	0	0	41	0	0	0	10	75	112	49	0	0	17	0	273	0	0	4	0	56	286	0	0	0	18	0	0	0	0	0	4	16	0	0	3
Ge_R13.V5	2	0	0	15	49	12	3	2	66	5	68	0	19	51	0	0	0	16	0	5	0	0	3	21	0	44	11	0	7	5126	756	0	571	0	0	71	0	63	0	0	0	0	0	0	0	0	0	1339	5	1	17	63	0	14	90	0	0	0	0	17	0	110	11	3	0	186	0	190	0	2	248	39	6	0	0	1	0	0	5	0	0	0	0	0	2	1	0	0	1	0	13	0	5	7	0	77	450	1	8	0	79	0	0	0	0	0	9	13	0	0	3
Ge_R14.V3	0	10	0	0	98	0	2	0	6	0	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5555	528	0	67	0	0	47	0	3	0	0	0	0	5	0	14	0	0	866	130	0	6	0	22	45	116	23	0	0	0	14	0	0	0	0	0	0	0	279	0	0	288	0	25	0	0	0	0	0	0	119	0	0	0	0	0	1	0	0	6	0	1	8	0	14	16	0	0	396	0	0	11	0	0	64	0	39	204	2	702	0	3
Ge_R14.V4	0	0	0	0	0	0	443	57	57	61	102	19	0	33	0	4	0	554	0	2	0	509	119	678	0	579	325	0	0	3115	8	0	1	0	3	36	0	146	16	10	0	0	383	0	4	0	0	178	60	76	1	0	155	1	5	10	0	0	0	330	0	0	0	0	0	0	0	0	0	39	28	0	5	0	0	0	0	35	0	178	13	0	21	0	0	606	3	84	45	0	0	0	0	0	0	0	199	157	0	0	32	51	0	4	0	24	0	0	396	0	0
Ge_R14.V5	0	21	0	0	0	2215	0	0	21	137	0	0	0	569	0	0	0	0	0	569	0	0	0	0	0	145	1474	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	11	37	0	250	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	19	0	210	47	0	0	0	0	1976	910	0	331	0	0	0	0	0	10	0	0	722	0	0	0	0	0	4	0	62	29	0	74	0	0
Ge_R2.V3	0	0	0	31	97	102	737	5	328	4	30	0	38	46	0	0	404	968	0	40	5	0	0	645	183	407	0	17	24	383	6	0	161	55	5	19	0	0	0	8	7	0	0	0	0	14	0	252	1	3	0	27	73	21	25	0	2	0	0	0	0	67	0	0	2	0	0	1305	0	9	823	31	6	0	0	2	30	0	0	0	0	18	61	0	1	89	0	0	81	0	692	0	0	97	4	798	665	0	0	0	12	0	1	0	0	10	26	1	0	0	1
Ge_R2.V4	0	0	0	20	2	63	748	7	527	20	39	0	28	638	0	0	83	664	0	312	23	0	100	152	105	1462	374	47	25	505	125	0	144	0	0	12	0	0	0	8	50	0	4	0	0	33	0	47	0	10	0	0	136	0	0	0	1	0	0	419	1	0	0	0	224	0	0	1077	0	5	13	6	0	0	2	0	0	0	0	0	0	14	117	80	295	694	0	0	144	0	186	40	0	54	0	28	60	0	0	0	25	0	0	0	0	0	0	0	0	0	0
Ge_R2.V5	0	0	0	0	2	136	753	14	2519	12	53	0	2	38	0	0	598	422	0	51	0	0	12	206	0	863	110	0	152	43	6	0	149	31	0	0	0	39	0	23	0	0	0	0	0	0	0	24	0	3	0	0	297	0	0	0	41	0	0	22	33	47	0	15	10	29	0	2796	0	0	108	2	0	0	0	18	0	0	0	0	0	0	127	0	3	134	0	0	2	0	0	19	25	3	0	0	0	0	0	0	6	0	0	0	0	0	1	3	0	0	0
Ge_R5.V3	0	0	0	0	155	1440	37	0	441	3	97	0	2	76	8	0	0	0	1	124	0	98	16	372	15	375	1617	2	0	87	0	0	253	388	27	26	99	22	5	0	44	4	65	14	0	55	0	942	12	18	0	106	502	15	153	112	0	0	18	283	0	0	0	0	0	0	0	416	0	193	40	2	21	14	0	0	0	0	0	0	0	2	27	0	0	84	97	17	0	0	0	0	2	94	0	0	0	37	0	0	160	6	0	0	0	0	0	664	0	0	0
Ge_R5.V4	5	6	0	13	179	51	18	0	229	5	91	0	29	52	0	0	0	0	12	34	0	12	15	109	27	674	1083	1	5	133	0	0	136	169	3	15	0	20	0	0	2	0	2	0	0	65	0	682	6	2	0	190	75	18	149	31	9	0	0	50	0	0	12	189	0	0	0	2213	0	67	959	4	11	0	0	0	0	0	0	0	0	5	26	0	0	71	146	64	0	0	513	22	60	148	16	0	563	14	0	0	2	9	0	0	11	297	0	161	0	6	0
Ge_R5.V5	0	0	0	16	99	151	188	0	717	19	45	1	18	19	23	0	0	0	8	0	0	119	23	609	17	1028	747	16	443	1022	0	0	115	0	41	112	17	29	4	12	2	0	5	4	1	35	0	652	5	37	0	189	253	0	234	16	0	0	0	78	0	3	46	111	7	0	0	418	0	7	380	0	18	1	0	0	46	0	108	0	0	5	55	0	0	174	78	157	18	0	279	9	0	71	0	115	632	39	0	0	33	14	0	0	0	0	3	0	0	0	0
Ge_R6.V3	0	0	0	0	0	1073	0	2	1	0	188	0	2	1	0	0	0	0	0	193	33	0	135	6	1280	2164	2063	54	0	0	0	0	14	0	14	0	50	118	0	9	0	36	49	49	0	0	0	328	0	1	0	0	52	0	2	58	0	0	19	0	117	0	0	0	0	0	0	18	0	167	0	31	24	0	1	0	0	0	0	0	0	26	61	0	0	62	440	0	185	0	0	0	0	0	0	0	0	750	0	0	3	0	0	0	0	0	0	122	0	0	0
Ge_R6.V4	0	0	0	8	21	0	0	0	0	0	95	0	9	208	0	0	9	0	0	0	0	0	322	752	63	567	1679	50	0	464	196	0	181	0	0	30	4	66	0	0	0	0	0	0	0	5	0	142	0	0	0	37	0	25	40	1	0	0	3	95	18	0	0	1338	3	645	109	706	0	27	94	15	0	0	0	0	0	0	0	0	0	2	61	0	0	25	406	0	98	0	56	0	5	298	0	65	837	101	0	0	11	0	0	0	0	1	0	7	0	0	0
Ge_R6.V5	0	0	0	3	28	0	0	0	1	55	94	0	4	51	0	0	1469	0	0	0	0	0	43	204	42	353	101	68	0	546	221	0	239	0	0	4	0	74	0	0	0	0	0	0	0	0	0	137	0	0	49	92	0	14	198	8	0	0	0	2	41	99	6	218	116	645	0	624	0	6	768	13	1	0	0	9	0	0	28	0	0	14	33	106	34	132	213	0	137	0	131	12	0	19	0	232	1675	0	25	555	1	0	0	0	0	0	0	5	0	0	1
Ge_R8.V3	0	0	0	2	200	9	0	0	0	20	39	0	6	0	0	5	195	0	19	0	0	18	13	274	37	289	111	1	26	4309	3	0	66	0	0	114	0	17	0	0	0	0	0	0	0	0	0	91	1	0	0	0	0	14	22	0	0	0	0	0	28	51	0	52	1	412	2	1285	70	0	131	25	0	0	0	0	0	0	160	0	0	2	17	0	0	12	14	100	15	0	725	122	0	147	2	570	80	0	52	0	0	0	0	0	0	10	10	0	0	0	0
Ge_R8.V4	0	0	0	5	84	84	8	4	5	64	55	0	12	38	0	3	154	0	10	1	0	3	12	76	53	179	223	8	42	3484	108	0	201	0	0	130	0	2	0	0	1	0	0	0	0	0	0	360	1	0	0	28	11	9	51	30	0	0	1	65	60	101	0	30	0	387	112	1349	41	0	290	4	9	0	9	0	2	0	59	0	0	6	33	4	0	60	20	128	39	0	342	85	12	80	6	578	422	0	77	0	32	0	0	0	0	4	14	0	0	0	1
Ge_R8.V5	3	0	4	3	132	173	37	13	1	15	67	0	6	7	0	10	288	0	1	0	28	9	16	288	8	563	51	2	3	2967	182	0	605	0	0	28	0	35	0	2	0	0	0	0	0	0	0	215	1	0	16	27	0	2	16	0	0	0	0	41	68	75	0	0	0	637	0	1195	0	1	168	17	4	0	0	0	2	2	82	0	0	5	18	0	0	19	48	84	114	0	571	0	0	5	2	813	144	0	15	0	3	0	0	0	0	5	36	0	0	0	1
Pa_R14.V3	0	0	0	77	94	1164	591	1	15	59	59	16	36	4	32	0	255	0	21	4	0	0	0	21	59	336	145	10	306	998	0	0	358	0	19	10	0	27	0	7	6	0	0	0	0	0	0	518	4	46	0	12	0	7	118	27	0	5	0	104	0	0	0	0	0	0	5	1859	0	105	435	87	19	21	0	0	30	0	0	0	0	10	1	54	821	22	111	0	38	1	371	0	0	0	0	195	26	0	34	113	60	0	0	0	0	0	0	9	0	0	1
Pa_R14.V4	239	118	428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	520	0	0	0	0	0	0	0	0	0	0	1522	1762	5371	0	0	0
Pa_R2.V3	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	284	5	197	8	0	0	12	0	17	0	0	0	0	0	0	0	0	0	92	0	0	15	48	0	41	47	0	0	64	0	0	29	35	4	786	0	34	0	425	2	0	14	4	0	10	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	4383	235	0	0	8	12	0	0	0	0	48	0	0	146	0	18	250	2696	0	0	12	0
Pa_R2.V4	0	0	0	0	44	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1270	6	164	77	0	0	6	0	2	0	0	0	0	0	0	0	0	0	77	0	0	0	2	0	4	49	0	0	0	0	0	22	37	3	529	0	0	8	278	0	0	6	0	0	8	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	4522	131	0	0	0	29	0	0	0	0	74	0	0	68	0	12	140	2215	0	0	141	0
Pa_R2.V5	0	0	0	0	28	0	0	0	0	0	4	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	2342	0	89	215	0	0	0	0	13	0	0	0	0	0	0	0	0	0	122	1	0	6	3	0	22	58	0	0	0	0	184	0	24	0	45	0	0	0	201	0	0	5	1	0	4	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	6202	293	0	4	0	0	0	0	0	0	18	0	0	0	0	0	0	52	0	0	39	0
Pa_R3.V3	0	0	0	17	1	311	6	4	96	180	48	11	17	111	0	0	18	444	90	95	12	0	2	18	21	1777	660	0	0	0	1	7	329	263	9	28	0	11	0	9	0	0	0	0	0	0	0	434	1	0	0	18	0	14	103	0	41	1	0	527	27	16	18	77	0	0	0	281	283	0	628	45	0	62	0	0	13	0	0	0	0	0	56	114	1	292	219	0	143	0	147	42	205	26	4	169	606	0	0	681	8	0	2	0	5	31	8	42	3	13	0
Pa_R3.V4	0	0	0	0	9	377	22	4	136	74	5	15	0	673	0	0	77	108	27	875	14	0	3	128	64	1023	638	22	7	0	0	37	12	52	5	20	0	69	0	4	0	0	0	0	0	0	0	526	3	0	0	18	0	26	63	0	38	25	0	462	90	4	18	226	0	0	0	660	258	0	183	33	0	12	0	0	9	0	14	0	0	0	91	115	4	270	373	0	40	0	430	47	14	118	9	0	748	0	80	42	42	0	22	0	3	76	19	28	15	249	0
Pa_R3.V5	1	0	0	9	3	168	17	1	89	16	31	0	8	182	0	0	109	439	79	72	15	0	22	442	64	1748	1067	9	33	220	75	37	143	0	2	70	0	9	2	8	0	6	0	0	0	0	0	355	2	0	3	49	0	23	190	0	47	0	0	502	0	101	54	138	0	0	3	172	227	0	479	31	0	13	0	0	5	0	0	0	0	0	40	87	0	354	154	0	92	0	132	213	1	106	18	0	456	0	33	103	6	0	23	10	31	189	325	0	13	24	0
Pa_R5.V3	0	1	0	0	0	278	0	0	0	63	0	0	0	0	4	0	0	385	0	0	0	0	113	221	119	1017	398	0	98	0	0	0	46	0	145	47	11	41	0	4	5	6	0	6	0	36	3	60	2	0	0	8	0	4	6	55	0	0	0	5924	23	4	0	0	0	0	0	2	6	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	180	240	57	116	0	0	0	0	8	0	0	211	32	0	2	2	0	0	0	0	0	1	0	0	0	0
