	Akkermansia_muciniphila	Alistipes_onderdonkii	Alistipes_putredinis	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_dorei	Bacteroides_fragilis	Bacteroides_massiliensis	Bacteroides_ovatus	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Barnesiella_intestinihominis	Dialister_invisus	Escherichia_coli	Eubacterium_rectale	Eubacterium_siraeum	Faecalibacterium_prausnitzii	Parabacteroides_distasonis	Parabacteroides_merdae	Prevotella_copri	Roseburia_intestinalis	Ruminococcus_torques	Subdoligranulum_unclassified
CSM79HGF	0	0	0	942	0	574	0	0	402	420	0	2216	93	0	0	0	1748	72	1512	511	0	475	0	9	402
CSM79HID	0	0	0	598	612	2054	0	0	3959	0	182	1354	0	0	123	2	0	0	0	497	0	0	44	171	43
CSM79HIF	0	0	0	470	503	2545	0	2	3656	2	265	1385	5	0	119	1	0	0	9	420	0	72	66	25	34
CSM79HIH	0	0	0	446	1131	1947	0	0	2498	0	460	2601	0	0	79	0	0	0	0	361	0	0	52	101	33
CSM79HIJ	2	4	9	625	859	1526	0	0	864	28	273	4717	2	4	196	1	0	14	6	381	1	0	18	24	88
CSM79HIL	0	0	0	526	325	1900	0	0	626	0	247	5651	0	0	157	1	0	0	0	238	0	0	12	34	67
CSM79HIN	0	0	0	853	1032	3772	0	0	747	0	193	1569	0	0	208	0	0	0	0	625	0	0	14	137	157
CSM79HLA	0	0	0	1220	37	57	0	0	773	1201	1	875	1379	0	0	1	2542	0	221	47	528	0	0	223	393
CSM79HLA_TR	0	0	0	1234	46	0	0	0	697	1787	1	1082	1613	0	0	12	1840	0	215	45	593	0	0	66	327
CSM79HLC	0	0	6	820	24	54	0	0	649	3776	5	1113	1307	0	1	0	1053	0	277	36	257	0	7	12	138
CSM79HLE	25	1	0	615	59	182	0	0	543	1534	8	1307	3617	0	0	0	751	1	113	325	553	0	0	3	72
CSM79HLG	0	0	0	832	2	95	0	0	1236	591	5	1424	2057	0	0	0	1232	0	427	211	897	0	0	27	168
CSM79HLI	0	0	0	628	195	64	0	0	419	4004	2	903	1924	0	0	4	834	0	273	209	315	0	0	9	62
CSM79HLK	0	0	0	1083	13	60	0	0	1328	2440	3	1281	1522	0	0	4	743	0	259	156	447	0	0	52	166
CSM79HLM	0	168	1406	772	0	1175	57	0	1607	0	80	3538	0	0	0	0	25	229	608	128	0	0	0	16	132
CSM79HM1	16	0	0	0	0	90	264	0	1034	3214	417	2012	403	0	31	16	165	0	964	0	0	0	113	88	109
CSM79HM7	3	0	0	0	0	0	125	0	462	1891	160	140	127	0	56	9	14	0	1760	0	0	0	3780	149	67
CSM79HMN	0	98	1164	347	30	28	323	0	257	1392	6	528	1513	872	0	39	269	0	2287	0	36	0	1	36	252
CSM79HMP	0	191	853	249	83	231	33	0	345	1911	18	241	2002	343	0	21	639	0	1088	0	43	0	80	30	744
