	Akkermansia_muciniphila	Alistipes_onderdonkii	Alistipes_putredinis	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_dorei	Bacteroides_eggerthii	Bacteroides_finegoldii	Bacteroides_fragilis	Bacteroides_massiliensis	Bacteroides_ovatus	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Barnesiella_intestinihominis	Bifidobacterium_adolescentis	Dialister_invisus	Escherichia_coli	Eubacterium_eligens	Eubacterium_rectale	Eubacterium_siraeum	Faecalibacterium_prausnitzii	Oscillibacter_unclassified	Parabacteroides_distasonis	Parabacteroides_merdae	Parabacteroides_unclassified	Prevotella_copri	Roseburia_intestinalis	Roseburia_inulinivorans	Ruminococcus_torques	Subdoligranulum_unclassified
CSM67UDY	0	0	0	757	39	125	0	148	0	0	354	2244	2	1369	2997	0	0	0	141	0	294	0	515	8	121	440	0	0	0	325	12	109
CSM67UE3	0	221	1042	0	1059	0	0	0	27	0	0	1082	379	2135	0	0	0	0	95	10	112	35	330	162	50	1252	358	0	432	283	322	613
CSM67UE7	0	33	332	638	0	4	0	0	0	0	618	154	65	2977	248	0	0	0	0	83	2633	335	709	47	324	319	0	0	0	1	12	468
CSM67UEA	0	75	1193	273	1185	0	0	0	0	0	5	284	177	742	2440	119	0	0	0	45	102	1231	950	19	220	376	0	0	183	0	3	378
CSM67UEI	810	156	772	0	937	0	0	0	62	0	0	1339	104	1849	0	0	0	0	1448	0	0	0	0	137	66	920	489	0	0	0	16	893
CSM67UEM	169	56	629	0	2089	0	0	0	127	0	0	3269	219	1377	2	0	0	0	91	0	0	0	0	28	46	791	726	0	0	0	4	378
CSM67UEW	0	0	0	0	0	0	0	0	111	0	12	1016	96	509	271	0	880	8	104	146	20	0	5639	6	0	0	0	0	955	19	146	63
CSM67UEW_TR	0	0	0	0	0	0	0	0	141	0	9	811	81	518	198	0	972	6	129	117	16	0	5998	6	0	0	0	0	823	12	102	62
CSM67UF1	0	0	0	0	0	0	0	0	293	0	214	2399	308	796	843	0	479	39	32	379	36	0	1997	14	0	0	0	0	1787	0	292	89
CSM67UF5	0	0	0	0	0	0	0	0	115	0	24	921	172	206	231	0	1902	30	25	374	45	0	2261	8	0	0	0	0	3270	22	277	116
CSM67UFV	0	116	646	374	30	36	0	0	77	0	876	1864	10	1056	1486	501	11	0	19	243	520	0	1505	41	0	12	4	0	10	107	37	420
CSM67UFZ	0	1	898	524	33	47	0	0	26	0	462	2919	10	1172	1638	353	21	0	13	241	354	2	1095	2	1	33	1	0	16	50	11	78
