	Akkermansia_muciniphila	Alistipes_finegoldii	Alistipes_indistinctus	Alistipes_onderdonkii	Alistipes_putredinis	Alistipes_shahii	Anaerostipes_hadrus	Anaerotruncus_colihominis	Anaerotruncus_unclassified	Bacteroidales_bacterium_ph8	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_dorei	Bacteroides_faecis	Bacteroides_fragilis	Bacteroides_massiliensis	Bacteroides_ovatus	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Bacteroides_xylanisolvens	Barnesiella_intestinihominis	Bifidobacterium_adolescentis	Bifidobacterium_bifidum	Bifidobacterium_longum	Bilophila_unclassified	Bilophila_wadsworthia	Burkholderiales_bacterium_1_1_47	C2likevirus_unclassified	Clostridiaceae_bacterium_JC118	Clostridiales_bacterium_1_7_47FAA	Clostridium_asparagiforme	Clostridium_bartlettii	Clostridium_bolteae	Clostridium_citroniae	Clostridium_clostridioforme	Clostridium_hathewayi	Clostridium_leptum	Clostridium_symbiosum	Collinsella_aerofaciens	Coprobacillus_unclassified	Coprococcus_catus	Coprococcus_comes	Dialister_invisus	Dorea_formicigenerans	Dorea_longicatena	Dorea_unclassified	Eggerthella_unclassified	Escherichia_coli	Escherichia_unclassified	Eubacterium_eligens	Eubacterium_hallii	Eubacterium_ramulus	Eubacterium_rectale	Eubacterium_siraeum	Eubacterium_ventriosum	Faecalibacterium_prausnitzii	Flavonifractor_plautii	Haemophilus_parainfluenzae	Holdemania_filiformis	Holdemania_unclassified	Lachnospiraceae_bacterium_1_1_57FAA	Lachnospiraceae_bacterium_2_1_58FAA	Lachnospiraceae_bacterium_3_1_46FAA	Lachnospiraceae_bacterium_3_1_57FAA_CT1	Lachnospiraceae_bacterium_5_1_63FAA	Lachnospiraceae_bacterium_7_1_58FAA	Lachnospiraceae_bacterium_8_1_57FAA	Odoribacter_splanchnicus	Oscillibacter_unclassified	Parabacteroides_distasonis	Parabacteroides_merdae	Parabacteroides_unclassified	Parasutterella_excrementihominis	Peptostreptococcaceae_noname_unclassified	Prevotella_copri	Roseburia_hominis	Roseburia_intestinalis	Roseburia_inulinivorans	Roseburia_unclassified	Ruminococcaceae_bacterium_D16	Ruminococcus_bromii	Ruminococcus_gnavus	Ruminococcus_obeum	Ruminococcus_torques	Streptococcus_parasanguinis	Streptococcus_salivarius	Subdoligranulum_unclassified	Sutterella_wadsworthensis	Veillonella_atypica	Veillonella_dispar	Veillonella_parvula	Veillonella_unclassified
MSM6J2Q9	0	0	0	0	1531	0	13	0	0	0	1809	0	0	0	0	0	1416	2143	37	79	192	0	0	0	0	0	0	0	0	0	0	3	12	0	13	0	222	1	1772	0	0	2	0	0	0	0	22	0	0	0	1	4	4	0	61	0	0	1	0	0	0	0	0	2	4	0	0	17	3	0	10	0	539	0	0	0	0	0	1	0	10	0	0	23	3	19	0	0	33	0	0	0	0	0
MSM6J2QB	0	0	0	3	1173	0	136	36	0	0	668	0	0	0	0	0	1078	1848	315	175	457	0	1	0	0	0	56	22	0	0	5	23	16	1	1020	17	23	22	25	14	0	2	0	0	0	0	27	0	2	0	1	21	2	0	1386	34	0	216	0	2	42	0	0	5	22	3	6	67	0	0	54	2	481	0	0	1	0	0	0	0	3	1	0	34	9	337	0	0	105	0	0	0	0	0
MSM6J2QD	0	0	0	0	1657	0	54	9	0	0	1167	0	0	0	0	0	1728	2154	238	349	375	0	0	0	0	0	54	26	0	0	2	15	13	0	457	6	8	5	7	3	0	3	0	0	0	0	5	0	3	0	0	20	3	0	102	128	0	425	0	0	15	0	0	4	11	1	3	35	0	0	121	0	363	0	0	0	0	0	0	0	1	1	0	24	4	184	0	0	218	0	0	0	0	0
MSM6J2QR	148	0	0	0	0	120	0	0	0	0	0	0	0	0	240	0	62	0	145	2784	2531	0	0	0	0	31	19	2	0	0	13	0	5	4	2	0	2	0	0	16	46	0	0	0	218	14	0	0	0	25	2	58	1	0	500	0	0	2076	26	20	3	1	0	0	0	0	1	0	0	0	40	90	22	131	0	1	0	0	524	1	0	8	0	0	9	4	0	0	43	0	0	0	4	6
MSM6J2R2	2	5	0	0	2	16	0	0	0	11	93	1	29	7	28	0	15	0	9	220	235	7	52	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	12	1	0	36	5	3	0	1	2	0	18	1120	0	2	0	0	0	0	7	0	0	1	1	42	11	0	41	23	0	12	7354	6	20	49	0	0	23	0	9	8	0	0	124	325	0	0	0	3
MSM6J2R8	4	12	0	1	7	58	0	0	0	34	147	11	8	13	51	0	46	7	12	594	450	18	106	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	5	18	0	0	1	0	34	0	0	11	8	6	923	0	12	0	0	0	0	5	0	0	3	0	69	17	0	43	17	0	0	6556	7	4	119	0	0	32	2	8	36	0	0	203	275	0	0	0	2
MSM6J2RA	37	6	0	0	3	75	0	0	0	28	222	51	96	23	28	0	77	1	56	727	604	50	158	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	4	0	14	31	0	0	28	0	55	0	0	54	8	7	552	0	19	0	0	7	0	4	0	0	4	0	120	14	0	48	82	0	4	5753	34	12	68	0	0	29	0	5	26	0	0	438	319	1	0	1	4
MSM6J2RC	8	8	0	1	13	103	0	0	0	27	564	0	136	42	20	0	53	0	40	796	884	46	358	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	1	0	3	0	1	2	0	7	16	0	0	61	2	12	0	0	1	2	2	787	0	0	0	0	0	0	6	0	0	4	0	102	22	0	126	34	0	2	4826	15	2	43	0	0	56	0	4	10	0	0	226	526	0	0	0	0
MSM79H63	0	0	0	0	1393	0	68	4	0	0	812	0	0	0	0	0	2119	1602	661	163	777	0	0	0	0	0	13	3	0	0	0	1	3	0	17	3	2	1	49	0	0	2	0	0	0	0	1	4	0	0	0	189	0	0	237	102	0	784	0	0	16	0	0	0	2	0	4	13	0	0	75	0	692	0	0	0	0	0	8	0	0	0	0	9	1	104	0	0	67	0	0	0	0	0
MSM79H65	0	0	0	0	963	0	220	11	6	0	899	0	0	0	0	0	1795	656	186	71	342	0	0	0	0	0	219	95	0	0	13	17	15	2	403	17	41	24	52	14	0	6	0	0	0	0	40	0	3	24	5	55	1	0	2070	11	0	149	0	0	31	0	0	11	10	1	15	107	0	0	5	0	784	0	0	0	0	0	0	0	8	0	0	44	7	376	2	4	169	0	0	0	0	0
