	Akkermansia_muciniphila	Alistipes_onderdonkii	Alistipes_putredinis	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_dorei	Bacteroides_fragilis	Bacteroides_massiliensis	Bacteroides_ovatus	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Barnesiella_intestinihominis	Dialister_invisus	Escherichia_coli	Eubacterium_rectale	Eubacterium_siraeum	Faecalibacterium_prausnitzii	Parabacteroides_distasonis	Parabacteroides_merdae	Prevotella_copri	Roseburia_intestinalis	Ruminococcus_torques	Subdoligranulum_unclassified
CSM79HH4	19	96	21	50	3249	0	0	217	195	0	2	965	1132	14	0	1688	514	0	0	205	43	0	0	24	658
CSM79HH8	97	749	210	72	790	115	4	1022	512	300	20	1388	1127	107	0	564	308	17	32	95	69	0	3	56	1718
CSM79HHA	207	192	27	6	5721	0	0	413	387	1	0	324	584	70	0	497	115	0	0	12	10	1	0	39	829
CSM79HHM	36	918	503	202	0	616	50	0	8	3308	33	1330	6	224	0	14	2	1453	504	5	180	0	136	10	224
CSM79HHO	33	1172	822	187	0	987	85	0	1	1868	55	587	0	840	0	0	24	1410	701	14	372	0	53	8	430
CSM79HHU	193	376	659	92	1	1067	91	6	8	2260	27	2014	15	435	0	0	35	1377	369	8	268	0	96	12	204
CSM79HHW	0	0	1460	1557	0	1440	428	0	1478	0	0	1	0	0	0	2	437	0	134	0	0	0	0	159	350
CSM79HI3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2584	0	0	0	0	0	0	0	72	0
CSM79HI7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2841	0	0	0	0	0	0	0	135	0
CSM79HIB	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1027	0	1	3	0	0	0	0	375	1
CSM79HIR	9	740	1421	956	0	356	518	0	959	0	56	1286	969	0	89	19	424	0	488	17	0	0	233	177	170
CSM79HIT	10	774	1107	1149	0	244	494	0	559	0	89	598	552	0	514	249	389	0	1246	13	0	0	74	128	429
CSM79HIV	5	747	1303	886	0	314	559	0	628	0	4	1447	900	0	330	75	46	0	397	21	0	0	66	459	335
CSM79HIX	0	1005	1108	493	0	231	454	0	1391	0	1082	1355	623	0	0	0	7	0	432	13	0	0	0	162	100
CSM79HIZ	0	523	722	236	0	107	369	0	505	5	205	2582	304	0	42	0	106	0	2858	0	0	0	436	251	143
CSM79HJA	0	201	757	969	5	0	0	0	259	2163	216	1393	1129	0	0	0	442	92	622	331	376	0	0	39	81
CSM79HJM	824	0	975	876	0	1874	229	0	2950	0	0	0	0	0	0	0	1317	184	359	0	0	0	0	24	156
CSM79HJO	437	0	1766	2195	0	1737	263	0	1558	0	0	10	0	0	0	0	328	57	1334	0	0	0	0	5	177
CSM79HJQ	0	0	40	11	0	0	28	0	0	0	0	21	2	0	0	64	1237	0	0	0	0	0	6098	84	52
CSM79HJS	0	1	588	563	0	1145	242	0	2419	87	11	48	98	0	1	14	412	3	3202	12	9	0	238	6	852
CSM79HJU	0	0	0	1051	0	156	13	0	3621	0	0	0	0	0	0	1	11	0	2782	0	0	0	0	17	1830
CSM79HJW	0	0	0	0	0	0	769	0	0	0	2763	0	6083	0	55	0	72	0	0	0	0	0	11	2	0
CSM79HJY	0	0	0	0	0	0	625	0	0	0	1808	0	6236	0	773	0	291	0	0	0	0	0	39	0	0
CSM79HK9	0	25	605	246	1267	0	0	0	2	521	380	627	2934	133	0	5	125	879	521	373	445	0	319	33	463
CSM79HKB	1	31	891	438	669	1	0	0	4	95	660	816	3504	207	0	0	44	738	538	392	80	0	7	4	683
CSM79HKT	0	0	0	0	0	9685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	67
CSM79HKV	0	0	0	0	0	9637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	44
CSM79HKX	1	0	0	0	124	0	16	2784	175	1035	194	1534	619	0	0	965	93	0	1232	9	0	0	995	10	5
CSM79HKZ	0	0	0	0	149	0	8	3052	215	1126	595	1635	659	0	0	1649	76	0	357	14	0	0	202	12	12
CSM79HL4	0	0	0	0	333	0	11	1474	143	812	585	2562	592	0	0	895	386	0	1151	72	0	0	635	8	21
CSM79HL6	1	0	0	0	374	0	18	1618	169	673	110	2101	463	0	0	2376	652	0	888	43	0	0	372	21	18
CSM79HN2	1630	565	1911	549	0	1044	156	0	1	177	51	709	0	922	0	46	160	57	428	14	477	0	35	58	401
CSM79HN6	99	549	507	202	0	672	102	0	39	1342	72	1900	0	592	0	0	8	2807	269	3	294	0	16	34	200
CSM79HNO	0	0	0	0	0	0	4047	0	4078	0	0	0	0	0	9	1048	0	0	0	0	0	0	0	6	0
CSM79HNU	0	0	0	0	0	0	5770	1	3149	1	0	5	4	0	0	383	0	0	4	0	0	0	0	0	0
CSM79HNW	0	0	0	0	0	0	3282	0	4374	0	0	0	0	0	0	1087	0	0	0	0	0	0	0	51	0
CSM79HOF	2	58	951	383	694	0	0	0	0	112	1086	1397	2050	165	0	0	14	533	841	438	41	0	14	12	1073
CSM79HOH	0	47	1026	408	268	0	0	0	3	129	429	912	3779	300	0	0	140	747	794	240	76	0	222	26	323
CSM79HOJ	0	43	305	310	0	4	0	7	798	327	4	5594	247	1	0	0	1083	65	575	21	53	0	0	20	536
CSM79HOL	0	142	942	304	0	0	0	0	768	604	37	3237	897	0	0	0	525	23	1444	166	315	0	0	8	342
CSM79HOT	0	94	799	182	0	0	0	0	829	1316	34	2501	843	0	0	0	478	19	1756	128	273	0	105	27	548
CSM79HPA	44	300	119	77	2507	62	260	636	431	166	39	1308	851	11	18	240	404	22	359	0	53	24	21	17	932
CSM79HPA_TR	62	238	17	3	2028	0	0	442	287	0	2	1893	1027	1	0	315	738	0	0	112	35	1	0	128	1216
CSM79HPC	44	428	33	35	1390	0	0	1030	588	0	2	1116	1239	0	0	245	1592	46	91	127	93	1	0	69	692
CSM79HQ9	0	0	0	0	0	9816	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	34
CSM79HQB	1519	0	760	0	617	71	7	0	134	0	39	660	54	0	0	44	3365	221	326	17	574	0	171	259	895
CSM79HQF	0	0	0	0	0	9595	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	23	38
