species,historical_engraftment_rate,causal_ace,causal_sig,resource_accessibility,crossfeeding_synergy,butyrate_flux,propionate_flux,acetate_flux,lactate_flux,succinate_flux,formate_flux,therapeutic_score,keystone_conflict_mean,niche_overlap_mean,causal_ace_missing,resource_accessibility_missing,crossfeeding_synergy_missing,scfa_missing,historical_engraftment_rate_missing,cece_score
Streptococcus_parauberis,0.034482758620689655,0.41467892916277316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,1,1,0,0.2432806134187615
Clostridium_scindens,0.025,0.41467892916277316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,1,1,0,0.24043578583255465
Clostridium_bolteae,0.22142857142857142,0.41467892916277316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11870596896783225,0.7099517684829617,0,1,1,1,0,0.23816542945459707
Bacteroides_nordii,0.0,0.41467892916277316,0.0,0.031114826706913477,0.0008261082679254872,0.0,0.0,0.004914617245250435,0.0,0.02825620410467422,3.4941607947169484e-05,0.006276982583597525,1.0,0.0,0,0,0,0,0,0.23768562066538423
Bacteroides_galacturonicus,0.0,0.41467892916277316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,1,1,0,0.23293578583255464
Clostridium_disporicum,0.0,0.41467892916277316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,1,1,0,0.23293578583255464
Clostridium_sp_CAG_167,0.0,0.41467892916277316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,1,1,0,0.23293578583255464
Citrobacter_braakii,0.0,0.41467892916277316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,1,1,0,0.23293578583255464
Ruminococcus_sp_CAG_624,0.0,0.41467892916277316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,1,1,0,0.23293578583255464
Ruminococcus_sp_CAG_563,0.0,0.41467892916277316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,1,1,0,0.23293578583255464
Streptococcus_downei,0.0,0.41467892916277316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,1,1,0,0.23293578583255464
Clostridium_sp_CAG_590,0.0,0.41467892916277316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,1,1,0,0.23293578583255464
Cutibacterium_acnes,0.0,0.41467892916277316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,1,1,0,0.23293578583255464
Propionibacterium_freudenreichii,0.0,0.41467892916277316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,1,1,0,0.23293578583255464
Eubacterium_sp_OM08_24,0.0,0.41467892916277316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,1,1,0,0.23293578583255464
Lactobacillus_delbrueckii,0.0,0.41467892916277316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,1,1,0,0.23293578583255464
Bacteroides_fragilis,0.23076923076923078,0.0,1.0,0.28420362122624526,0.012637299688114069,0.0,0.0,0.005465385937176269,0.0,0.0,0.003795118777252834,0.005049985131968675,0.32309394982784057,0.6842151227962617,0,0,0,0,0,0.23001064713731967
Lactococcus_lactis,0.0,0.41467892916277316,0.0,0.07382712121884695,0.0076284049159925146,0.0,0.0,0.029736343556627607,0.0,0.018744898221732413,0.03483068798084703,0.028627792841676904,0.8173733398917855,0.12550126785128754,0,0,0,0,0,0.22992882227587752
Klebsiella_variicola,0.08333333333333356,0.41467892916277316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5765083026612616,0.3154159891912729,0,1,1,1,0,0.22595363015087122
Veillonella_atypica,0.027777777777777776,0.41249856555025494,0.0,0.0247522799126013,0.0013653857088030041,0.0,0.0,0.017730936632340735,0.0,0.0005285569626361467,0.039548756068853774,0.01641575494953463,0.3229502594938617,0.8162094368649874,0,0,0,0,0,0.22474590961173285
Intestinimonas_butyriciproducens,0.0,0.41467892916277316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6157569907841371,0.48606864451860093,0,1,1,1,0,0.22390619890203528
Collinsella_intestinalis,0.11323529411764707,0.35180904604993524,0.0,0.03287809064409689,0.0036023045665494993,0.0,0.0,0.021316345698171774,0.0,0.0,0.046047487835292666,0.01969618066886025,0.5052174716640802,0.3827913093745836,0,0,0,0,0,0.22368609318562105
Firmicutes_bacterium_CAG_95,0.0,0.41467892916277316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8565076242006886,0.10352316296284282,0,1,1,1,0,0.2217642457589422
Veillonella_dispar,0.1166666666666664,0.41467892916277316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1307147647595811,0.8264399732976498,0,1,1,1,0,0.22018699787625673
Sutterella_parvirubra,0.0,0.41467892916277316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8148485473557272,0.11476332049619754,0,1,1,1,0,0.21663939998553344
Tyzzerella_nexilis,0.034482758620689655,0.41467892916277316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7285279376769784,0.1133365542827116,0,1,1,1,0,0.21389345949857946
Actinomyces_sp_ICM47,0.0,0.41467892916277316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6817804104614291,0.2378797212644865,0,1,1,1,0,0.20899081952821763
Veillonella_parvula,0.0466666666666664,0.3838423580714438,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2911265974770326,0.7192104445704971,0,1,1,1,0,0.2063585056928933
Haemophilus_parainfluenzae,0.05,0.4447286021082313,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19935586630126723,0.6930637416563427,0,1,1,1,0,0.20315547453247063
Ruminococcaceae_bacterium_D16,0.0,0.41467892916277316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4021151008362026,0.5683253019999279,0,1,1,1,0,0.2000855811579778
Clostridium_clostridioforme,0.0,0.41467892916277316,0.0,0.06658972424031685,0.023208648407683045,0.0,0.0,0.0,0.07714601561010258,0.006823927367183314,0.002505965137649401,0.006683625447683835,0.06075515892535055,0.7218454575063767,0,0,0,0,0,0.17654292889881074
Klebsiella_quasipneumoniae,0.0,0.41467892916277316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3501409120335137,0.38608301740906914,0,1,1,1,0,0.1740652243784886
