	Akkermansia_muciniphila	Alistipes_finegoldii	Alistipes_onderdonkii	Alistipes_putredinis	Alistipes_shahii	Anaerostipes_hadrus	Anaerotruncus_unclassified	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_dorei	Bacteroides_faecis	Bacteroides_fragilis	Bacteroides_massiliensis	Bacteroides_ovatus	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Bacteroides_xylanisolvens	Barnesiella_intestinihominis	Bifidobacterium_adolescentis	Bifidobacterium_bifidum	Bifidobacterium_longum	Bilophila_unclassified	Bilophila_wadsworthia	Burkholderiales_bacterium_1_1_47	C2likevirus_unclassified	Clostridiales_bacterium_1_7_47FAA	Clostridium_asparagiforme	Clostridium_bartlettii	Clostridium_bolteae	Clostridium_citroniae	Clostridium_clostridioforme	Clostridium_hathewayi	Clostridium_leptum	Clostridium_symbiosum	Collinsella_aerofaciens	Coprococcus_catus	Coprococcus_comes	Dialister_invisus	Dorea_formicigenerans	Dorea_longicatena	Dorea_unclassified	Escherichia_coli	Escherichia_unclassified	Eubacterium_eligens	Eubacterium_hallii	Eubacterium_ramulus	Eubacterium_rectale	Eubacterium_siraeum	Eubacterium_ventriosum	Faecalibacterium_prausnitzii	Flavonifractor_plautii	Haemophilus_parainfluenzae	Holdemania_filiformis	Holdemania_unclassified	Lachnospiraceae_bacterium_1_1_57FAA	Lachnospiraceae_bacterium_2_1_58FAA	Lachnospiraceae_bacterium_3_1_46FAA	Lachnospiraceae_bacterium_3_1_57FAA_CT1	Lachnospiraceae_bacterium_5_1_63FAA	Lachnospiraceae_bacterium_7_1_58FAA	Lachnospiraceae_bacterium_8_1_57FAA	Odoribacter_splanchnicus	Oscillibacter_unclassified	Parabacteroides_distasonis	Parabacteroides_merdae	Parabacteroides_unclassified	Parasutterella_excrementihominis	Peptostreptococcaceae_noname_unclassified	Prevotella_copri	Roseburia_hominis	Roseburia_intestinalis	Roseburia_inulinivorans	Roseburia_unclassified	Ruminococcaceae_bacterium_D16	Ruminococcus_bromii	Ruminococcus_gnavus	Ruminococcus_obeum	Ruminococcus_torques	Streptococcus_parasanguinis	Streptococcus_salivarius	Subdoligranulum_unclassified	Veillonella_atypica	Veillonella_dispar	Veillonella_parvula	Veillonella_unclassified
HSM6XRR7	0	0	16	97	46	3	10	0	0	2	1	0	162	99	3335	208	456	368	1	42	669	89	177	17	0	13	0	1	0	2	5	6	0	1	0	29	385	14	50	0	9	57	0	147	0	87	28	8	888	66	4	1791	0	3	2	0	0	0	0	1	5	7	0	0	137	1	43	0	13	0	0	23	0	2	0	0	0	0	51	21	3	6	293	0	0	0	1
HSM6XRR9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3859	0	0	2638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3503	0	0	0	0
HSM6XRRB	0	0	0	0	0	0	0	0	0	8538	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	89	0	144	0	0	47	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	6	0	0	0	0	21	0	2	0	59	22	0	0	0	33	0	0	859	0	12	0	0	0	6	15	20	0	0	27	1	0	2	6
HSM6XRRD	0	0	0	132	36	0	0	0	0	0	0	0	698	157	3920	0	586	317	0	11	109	24	12	0	0	15	0	0	0	0	0	0	0	0	0	0	10	3	7	0	14	107	0	1	1	104	4	3	855	50	3	897	0	177	0	0	0	0	0	0	0	0	0	0	64	1	135	0	12	37	579	0	0	590	0	0	0	0	2	10	84	104	109	0	16	4	0
HSM6XRTM	0	0	0	0	92	1	0	1475	0	486	0	290	0	720	388	0	1440	0	0	0	0	19	53	37	1	14	0	0	0	0	0	0	0	0	7	0	5	0	7	93	7	44	0	2	0	0	6	8	1334	37	10	1697	6	28	4	0	2	0	2	0	1	5	26	0	39	281	507	0	1	0	0	551	0	70	0	18	0	3	10	58	5	3	47	21	7	17	11
HSM6XRTO	0	0	0	1	38	8	0	1941	0	439	0	517	0	2452	255	0	1407	7	1	0	0	58	259	56	2	32	0	0	0	4	4	0	0	12	0	13	19	1	13	92	36	24	0	18	13	12	17	1	241	14	225	973	31	0	6	0	0	0	0	0	5	20	4	0	0	111	336	0	3	1	0	91	0	7	0	64	0	6	12	51	0	0	37	0	0	0	1
HSM6XRTQ	0	0	0	0	0	0	0	175	0	1280	0	3	0	187	332	0	437	2	0	0	0	162	1504	3	0	0	0	0	0	0	0	0	0	2	0	5	288	3	81	43	50	188	0	47	2	28	9	0	180	0	106	4373	11	13	3	0	0	0	0	0	2	15	8	0	31	25	2	0	0	0	0	39	0	0	0	172	0	0	42	7	3	14	76	0	5	20	18
HSM6XRTS	0	0	0	0	160	8	0	1465	0	182	0	200	0	1142	182	0	2921	2	8	0	0	36	359	35	3	14	0	0	2	7	4	1	0	1	1	3	20	4	16	0	17	16	0	6	1	124	13	0	424	32	28	1246	35	4	8	0	0	0	0	0	5	7	6	0	118	375	450	0	5	0	0	131	0	3	0	25	0	0	5	60	0	1	64	0	0	3	1
HSM6XRUX	0	0	3	219	127	1	0	1	0	24	0	1	849	815	2325	9	719	518	2	65	490	38	55	73	3	6	0	0	0	0	2	0	0	0	5	9	47	26	18	0	20	53	13	64	15	14	40	1	538	446	0	669	0	6	0	0	0	0	0	0	2	4	0	0	153	1	796	0	10	0	4	1	1	16	0	0	0	0	21	10	2	139	503	0	3	5	0
HSM6XRUZ	0	0	0	130	73	7	0	0	0	0	0	0	422	329	2246	2	625	559	1	9	433	70	65	9	0	0	1	0	0	0	0	1	0	0	6	35	92	37	64	0	17	84	0	37	6	98	10	28	1426	29	27	1658	0	60	0	0	0	0	0	0	11	1	0	0	76	0	104	0	0	0	74	0	0	79	0	0	0	0	20	38	122	473	287	0	0	1	16
