	Akkermansia_muciniphila	Alistipes_finegoldii	Alistipes_onderdonkii	Alistipes_putredinis	Alistipes_shahii	Anaerostipes_hadrus	Anaerotruncus_unclassified	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_dorei	Bacteroides_faecis	Bacteroides_fragilis	Bacteroides_massiliensis	Bacteroides_ovatus	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Bacteroides_xylanisolvens	Barnesiella_intestinihominis	Bifidobacterium_adolescentis	Bifidobacterium_bifidum	Bifidobacterium_longum	Bilophila_unclassified	Bilophila_wadsworthia	Burkholderiales_bacterium_1_1_47	C2likevirus_unclassified	Clostridiales_bacterium_1_7_47FAA	Clostridium_asparagiforme	Clostridium_bartlettii	Clostridium_bolteae	Clostridium_citroniae	Clostridium_clostridioforme	Clostridium_hathewayi	Clostridium_leptum	Clostridium_symbiosum	Collinsella_aerofaciens	Coprococcus_catus	Coprococcus_comes	Dialister_invisus	Dorea_formicigenerans	Dorea_longicatena	Dorea_unclassified	Escherichia_coli	Escherichia_unclassified	Eubacterium_eligens	Eubacterium_hallii	Eubacterium_ramulus	Eubacterium_rectale	Eubacterium_siraeum	Eubacterium_ventriosum	Faecalibacterium_prausnitzii	Flavonifractor_plautii	Haemophilus_parainfluenzae	Holdemania_filiformis	Holdemania_unclassified	Lachnospiraceae_bacterium_1_1_57FAA	Lachnospiraceae_bacterium_2_1_58FAA	Lachnospiraceae_bacterium_3_1_46FAA	Lachnospiraceae_bacterium_3_1_57FAA_CT1	Lachnospiraceae_bacterium_5_1_63FAA	Lachnospiraceae_bacterium_7_1_58FAA	Lachnospiraceae_bacterium_8_1_57FAA	Odoribacter_splanchnicus	Oscillibacter_unclassified	Parabacteroides_distasonis	Parabacteroides_merdae	Parabacteroides_unclassified	Parasutterella_excrementihominis	Peptostreptococcaceae_noname_unclassified	Prevotella_copri	Roseburia_hominis	Roseburia_intestinalis	Roseburia_inulinivorans	Roseburia_unclassified	Ruminococcaceae_bacterium_D16	Ruminococcus_bromii	Ruminococcus_gnavus	Ruminococcus_obeum	Ruminococcus_torques	Streptococcus_parasanguinis	Streptococcus_salivarius	Subdoligranulum_unclassified	Veillonella_atypica	Veillonella_dispar	Veillonella_parvula	Veillonella_unclassified
HSM7J4NM	0	9	133	0	56	8	0	0	0	0	0	392	0	222	651	211	779	1793	26	0	70	0	33	21	0	62	0	3	4	1	6	0	0	0	37	12	0	0	39	0	6	51	0	2	3	39	15	0	0	0	333	2315	6	137	13	2	0	0	91	0	14	50	22	90	49	13	0	1640	42	1	0	1	197	58	0	1	0	6	32	56	1	0	75	0	0	0	0
HSM7J4NO	0	0	0	0	0	0	0	0	0	0	38	6	0	18	0	1	114	295	0	217	0	10	13	26	2	7	936	0	0	0	4	0	0	1	0	3	41	1	0	132	9	0	0	7	0	5	4	3	17	0	0	470	0	0	0	0	0	0	0	0	0	1	0	0	0	32	474	0	3	0	6894	1	0	85	0	37	0	0	6	0	0	0	82	1	0	2	3
HSM7J4NS	0	2	0	0	0	3	0	1	8	0	54	18	0	47	0	3	165	229	0	277	0	46	20	72	8	48	2	0	0	0	7	0	5	0	1	14	285	17	0	1205	18	0	0	18	15	234	59	15	257	11	153	2115	3	0	17	0	0	0	2	0	4	8	26	67	98	46	661	0	9	0	2304	128	5	528	0	2	0	1	26	47	10	15	513	5	3	16	23
HSM7J4NU	0	212	0	0	0	1	2	7	37	0	170	623	0	158	0	23	404	366	0	890	0	80	11	87	12	38	0	2	2	0	18	2	4	11	45	9	144	12	0	123	11	0	0	24	0	89	38	23	268	191	121	1720	0	6	10	0	0	0	6	28	4	29	0	555	25	66	671	0	5	5	1598	3	1	112	0	1	0	11	12	57	11	38	726	2	0	8	27
HSM7J4PC	0	0	3	92	19	6	0	0	0	0	0	0	483	231	751	27	250	268	2	13	391	88	30	16	0	0	348	0	0	0	4	0	0	0	0	49	195	12	24	0	48	133	0	37	0	148	36	2	1532	105	6	3106	0	185	5	0	3	0	0	0	10	4	0	0	0	0	278	0	0	0	10	0	0	166	0	0	0	0	28	67	68	36	605	2	3	13	65
HSM7J4PE	0	0	7	166	22	0	0	0	0	1	2	0	420	252	1783	57	389	473	2	14	208	40	19	27	0	0	0	0	0	0	1	0	0	0	1	82	73	20	36	0	33	72	0	55	4	49	4	1	1249	93	45	3029	0	363	4	0	2	0	0	0	1	1	0	37	54	0	90	0	2	0	95	0	0	158	0	0	0	0	11	30	43	41	284	5	11	4	37
HSM7J4PG	0	35	2	643	76	1	0	814	0	16	1	26	389	586	201	9	1031	1811	8	15	79	33	10	56	10	32	0	0	0	1	1	0	0	0	1	2	68	9	53	4	30	48	0	8	2	53	4	3	523	7	10	1603	1	201	3	0	0	0	1	0	2	8	0	88	84	112	470	0	3	6	5	1	0	72	0	0	0	15	17	38	85	53	346	0	1	3	17
HSM7J4PI	0	0	3	103	14	3	0	0	0	0	1	0	358	113	293	20	342	399	1	16	296	143	20	29	1	0	0	0	0	0	0	0	0	1	0	23	187	29	94	0	90	80	0	46	0	101	27	13	1005	26	3	4406	0	268	0	0	0	0	0	5	7	8	0	0	233	0	70	0	2	4	4	1	0	77	0	0	0	0	42	24	125	99	680	5	2	10	46
HSM7J4PK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	954	0	425	2484	0	0	824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	0	496	0	0	0	891	0	0	3373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	375	0	0	0	0
HSM7J4PM	0	4	22	247	45	1	0	2	0	1	3	0	563	126	459	24	316	413	0	41	448	96	39	12	0	1	0	0	0	0	3	0	0	0	0	4	235	17	66	0	67	124	0	58	0	43	20	3	1256	20	0	3749	0	89	5	0	2	0	0	6	3	4	4	77	124	0	45	0	2	3	6	1	0	40	0	0	8	0	18	43	190	100	686	3	1	5	8
HSMA33IA	0	73	3	805	80	0	0	0	0	60	0	0	726	1059	4708	195	850	39	3	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	19	0	1	8	0	0	0	0	0	187	0	0	373	0	0	0	0	0	0	1	0	0	6	4	164	13	86	370	85	0	0	0	0	0	13	3	1	0	0	0	9	0	0	29	0	0	0	0
HSMA33IC	0	46	1	289	59	1	0	0	0	16	0	0	628	503	3579	118	470	44	0	0	17	0	4	16	0	0	3	0	0	3	0	0	0	0	15	0	0	0	95	85	2	24	0	1	0	0	4	3	1211	0	0	1087	0	0	0	0	0	1	6	0	1	13	0	91	36	151	407	432	0	5	0	2	177	17	0	20	0	3	2	215	0	0	89	0	0	1	4
HSMA33IO	676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1373	2927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HSMA33IS	0	29	1	430	63	0	0	233	11	0	0	0	288	319	475	0	195	216	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	39	6	0	314	2	18	70	35	128	0	25	20	0	25	2	1243	0	65	3018	0	12	0	0	0	0	25	0	0	8	52	0	69	8	542	0	0	0	1269	0	0	44	1	0	0	25	30	0	11	23	518	0	0	29	27
HSMA33LB	0	0	0	0	0	0	0	0	0	0	0	0	425	137	806	79	267	942	45	0	40	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	0	34	0	33	53	0	10	0	3748	0	0	2698	0	14	0	0	0	0	0	0	0	0	0	0	0	12	0	50	0	0	0	0	0	6	31	0	0	0	45	159	0	28	270	0	0	3	12
HSMA33LH	0	48	18	112	29	0	0	0	0	4	0	0	563	429	2239	182	335	230	86	0	19	5	10	8	0	0	0	0	7	0	6	0	0	0	0	22	4	0	0	290	6	0	10	19	16	0	12	0	0	0	0	3937	0	0	0	0	0	0	0	0	0	77	23	0	0	17	115	918	0	0	0	0	0	0	4	39	0	0	16	0	0	0	145	0	0	0	0
HSMA33LH_TR	0	47	28	132	52	0	0	0	0	1	0	0	419	278	1576	277	282	138	52	0	21	22	32	19	0	0	0	0	12	0	175	0	5	0	0	42	13	0	0	403	9	0	1	9	0	0	8	0	0	0	0	4660	0	0	0	0	9	0	0	0	1	80	26	70	0	8	80	722	0	0	0	1	0	6	0	45	0	0	25	34	0	0	178	0	0	0	0
HSMA33LJ	0	88	13	515	93	0	0	0	0	3	0	0	1118	305	1169	172	293	126	21	0	83	9	50	47	1	3	0	0	0	0	22	0	3	6	0	63	5	0	0	203	11	0	0	6	0	0	3	0	0	0	0	3727	0	6	0	0	0	0	0	0	0	166	0	372	1	52	192	648	4	0	0	22	0	63	0	14	0	1	29	155	0	0	116	0	0	1	3
HSMA33LX	0	11	0	0	0	2	0	0	8	0	84	142	0	151	0	20	292	241	0	775	0	53	21	38	4	32	0	0	2	0	4	1	7	8	5	8	170	14	0	399	35	0	0	9	0	72	14	11	414	5	139	2404	4	1	28	0	0	0	1	0	2	17	0	154	27	67	1039	0	6	0	2141	17	45	212	0	3	0	1	18	36	1	0	564	1	1	4	3
HSMA33LZ	0	55	0	0	0	0	0	0	41	0	472	5	0	293	0	19	163	433	0	797	0	0	10	30	3	16	0	0	0	0	4	0	0	0	0	0	5	0	0	18	1	0	2	40	8	0	1	0	0	0	6	542	0	0	0	0	0	0	0	0	0	2	6	226	15	120	2144	0	8	0	4365	0	30	30	0	0	0	1	1	31	0	0	55	0	0	0	0
HSMA33M2	0	163	0	0	0	0	0	4	63	1	452	125	0	229	1	38	257	278	0	931	0	11	3	42	4	22	0	1	0	0	12	1	1	13	5	10	16	4	0	2	21	0	0	9	0	46	6	3	98	20	112	1457	0	0	7	0	0	0	17	0	0	19	0	509	28	80	1573	0	6	0	2291	1	8	233	0	0	0	8	8	133	2	3	599	0	0	7	6
HSMA33M8	0	12	0	0	0	0	0	0	1	0	142	23	0	175	0	49	36	489	0	617	0	6	6	23	1	3	0	0	0	0	2	0	0	0	0	1	22	2	0	174	16	0	0	12	5	3	7	2	71	0	5	181	0	0	0	0	0	0	2	0	0	1	0	94	29	23	591	0	1	0	6815	2	64	190	0	0	0	6	9	28	0	0	52	0	0	4	0
HSMA33MA	0	3	15	356	30	2	0	106	43	18	0	0	238	84	1101	0	139	122	9	0	51	132	64	14	2	54	0	0	0	0	2	0	0	0	0	1	82	3	49	12	25	166	0	213	0	23	7	0	1564	12	0	1439	2	9	0	0	0	0	2	0	3	1	10	32	40	1	64	134	7	0	0	0	0	29	2	0	0	11	70	78	29	24	2862	13	0	3	5
HSMA33MC	0	35	89	1282	29	0	0	369	27	1	0	0	1244	213	1475	0	449	147	44	0	0	33	8	60	12	95	0	0	0	0	87	0	0	2	0	12	18	7	1	0	0	3	0	169	0	0	0	0	40	0	0	685	6	0	0	0	0	0	1	0	0	3	0	484	47	0	390	53	9	0	0	0	0	1	0	0	0	2	26	121	8	0	1572	0	0	0	0
HSMA33ME	0	0	56	14	0	0	0	96	0	0	0	0	1194	110	2510	0	477	660	49	0	0	33	90	0	0	218	0	0	0	0	0	0	0	0	0	0	62	2	50	0	6	348	0	0	0	0	37	0	2111	0	0	84	0	3	0	0	0	0	0	0	2	0	54	0	70	0	75	421	9	0	0	0	20	23	57	0	0	10	7	118	0	0	22	0	0	0	0
HSMA33MG	276	0	12	0	0	0	0	16	0	0	0	613	413	34	3164	9	253	337	32	0	0	76	17	0	0	111	444	0	0	0	0	0	0	0	0	0	98	0	0	0	33	213	0	0	37	0	0	0	43	0	0	2424	0	27	0	0	0	0	0	0	0	0	0	0	10	0	0	452	8	0	0	0	0	0	56	0	0	36	15	419	0	22	0	15	0	1	15
HSMA33MI	0	0	0	0	0	0	0	135	0	0	0	0	157	201	4610	0	357	384	0	0	0	53	113	0	0	189	0	0	0	0	0	0	0	0	0	0	25	0	0	0	21	91	66	0	0	0	0	0	961	0	0	1789	0	16	0	0	0	0	0	0	0	0	0	0	20	25	0	61	5	112	0	0	0	0	25	0	0	0	11	90	0	0	0	0	0	7	58
HSMA33MK	0	0	3	23	0	0	0	44	0	0	0	0	2308	185	1123	0	104	339	8	0	0	46	42	0	0	171	0	0	0	0	4	0	0	0	0	0	23	4	0	0	31	293	0	0	0	7	0	0	3342	0	0	518	0	16	0	0	11	0	0	0	0	0	0	0	0	111	159	206	2	0	0	0	0	481	0	0	0	60	50	43	0	0	0	0	0	0	0
HSMA33MX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5923	0	0	0	0	0	0	0	388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2177	0	0	0	0	0	0	0	0	0	0	0	1051	0	0	0	0
HSMA33MZ	0	0	0	0	0	0	0	0	0	0	0	0	10	3	45	0	12	37	0	0	0	1	1	0	0	0	3	0	0	0	0	0	0	0	0	0	9	0	2	149	2	8	1	0	0	0	1	0	1018	0	52	471	0	7	0	0	0	0	10	0	0	0	0	0	0	1	15	0	0	12	7934	0	5	10	14	0	0	0	6	0	7	9	3	64	9	17	51
HSMA33N4	0	0	0	0	0	0	0	0	0	0	0	0	0	4056	0	638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2126	3102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HSMA33NW	0	222	32	994	74	1	0	0	0	1	0	0	1478	404	2422	245	146	84	12	0	31	0	20	78	5	3	0	0	5	11	131	0	4	0	0	0	0	0	8	413	0	13	2	425	0	0	9	4	168	0	0	350	0	0	0	2	0	0	10	0	3	78	0	195	144	0	842	292	1	25	0	0	0	0	12	77	0	0	52	288	0	0	181	0	0	0	0
HSMA33O1	0	76	595	0	280	4	0	0	0	0	0	568	0	495	1229	148	509	2468	21	0	16	0	23	71	0	55	0	6	1	0	0	0	0	0	32	11	0	0	67	0	4	137	0	0	34	47	0	0	0	0	127	1017	6	37	12	2	0	0	32	0	5	25	0	378	272	307	0	388	26	0	0	0	7	52	11	0	0	0	52	47	0	0	73	0	0	0	0
HSMA33O3	0	12	232	0	116	0	0	0	0	0	0	870	0	805	498	453	347	3117	11	0	0	0	0	47	0	18	0	0	0	0	0	0	0	0	121	0	0	0	6	0	0	62	0	11	35	0	0	0	4	0	28	1356	9	0	0	0	0	0	6	0	0	25	0	302	280	232	0	513	10	0	0	0	84	165	0	0	0	0	0	113	0	0	52	0	0	0	0
HSMA33OD	0	203	0	0	0	0	0	0	28	0	515	91	0	440	0	7	288	682	0	1995	0	30	0	51	5	16	0	0	0	0	4	0	0	0	35	1	24	8	0	188	14	0	0	11	1	23	2	13	34	7	36	1355	0	0	1	0	0	0	19	0	0	14	0	402	0	97	1473	0	2	0	1448	0	1	86	0	0	0	21	2	101	0	0	210	0	0	1	0
HSMA33OJ	0	8	0	0	0	2	0	1	13	0	156	51	0	456	0	2	193	469	0	681	0	71	21	50	5	66	0	0	1	0	13	1	1	3	14	13	34	3	0	32	20	0	0	560	0	6	48	12	96	17	38	374	2	0	2	0	0	0	16	0	5	4	0	24	0	67	1047	0	17	3	4431	13	270	239	0	1	0	54	9	140	0	0	122	0	0	0	0
HSMA33OL	0	37	0	0	0	0	0	0	13	0	224	38	0	212	0	25	90	295	0	379	0	4	0	28	2	14	0	0	0	0	3	0	1	0	2	3	5	0	0	0	2	0	0	67	0	58	7	0	43	3	10	198	0	0	2	0	0	0	1	0	0	3	13	119	20	41	921	0	2	0	6759	38	23	202	0	2	0	18	3	10	0	0	59	0	0	2	0
HSMA33OP	0	23	72	258	285	0	0	975	55	0	0	0	345	871	1842	0	611	630	107	0	10	26	111	342	66	844	0	0	0	0	1	0	0	0	0	0	80	0	25	172	0	8	12	0	0	0	0	0	49	0	0	386	0	301	0	0	0	0	0	0	0	0	0	0	0	0	177	339	129	0	0	0	0	0	2	0	0	0	0	0	0	0	706	2	0	64	0
HSMA33OR	0	1	0	105	22	5	0	67	1	0	0	0	400	69	2505	0	387	226	20	0	21	7	11	1	0	49	1119	0	0	0	0	0	0	0	0	0	18	0	9	6	0	35	37	132	41	162	0	0	902	0	0	456	0	118	0	0	0	0	0	0	0	0	0	0	12	0	99	45	0	0	0	0	1680	33	0	0	0	0	12	15	6	6	626	6	0	5	13
HSMA33OT	0	0	17	119	42	0	0	52	5	0	0	0	467	199	3192	0	1279	310	48	0	0	0	12	0	0	182	0	0	0	0	0	0	0	0	0	0	16	2	5	17	0	103	0	0	0	0	0	0	290	0	0	722	0	16	0	0	0	0	0	0	0	0	0	0	46	0	153	457	6	0	0	0	202	0	55	0	0	0	0	31	0	0	1410	3	0	19	21
HSMA33OV	0	8	22	393	59	2	0	149	49	0	0	0	402	477	1574	0	696	178	131	0	5	48	3	6	1	74	0	0	0	0	4	0	0	0	0	0	9	0	6	8	1	24	0	0	1	65	1	0	1336	0	0	812	7	15	1	0	0	0	1	0	1	10	4	22	105	0	162	72	9	0	63	0	410	19	0	0	0	0	2	25	26	18	1799	12	0	11	0
HSMA33OX	0	13	30	316	24	1	0	155	34	0	0	0	455	192	1142	0	670	126	51	0	36	53	57	10	2	94	1	0	1	0	5	0	2	0	0	0	16	2	23	8	9	53	0	0	0	0	2	0	906	0	0	1111	6	53	7	0	1	0	1	0	1	6	0	18	82	0	167	72	13	0	0	0	3	82	65	0	0	2	17	19	21	4	2691	36	2	22	0
HSMA33OZ	0	1	3	245	74	1	0	99	6	0	25	18	1320	87	2776	2	161	405	35	0	32	38	8	11	2	257	2	0	0	0	2	0	1	0	0	0	40	0	18	6	2	87	0	25	0	4	4	0	1251	0	0	387	0	22	0	0	2	0	3	0	2	0	2	0	65	0	141	616	38	0	0	0	1	1	25	0	0	29	17	165	16	2	604	11	5	17	17
HSMA33P6	0	75	19	611	50	0	0	0	0	62	0	0	860	779	1442	258	1165	59	0	0	16	8	4	52	3	1	0	0	2	2	1	0	0	0	16	6	1	4	29	233	3	12	0	0	0	2	5	7	1681	0	0	1078	0	1	0	0	0	0	9	0	1	16	0	187	56	193	319	333	0	0	0	1	0	21	21	27	0	0	4	70	0	0	190	0	0	4	1
HSMA33RD	0	15	9	170	12	0	0	42	2	3	0	0	66	24	50	0	9	68	18	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	1	0	24	3	8	0	19	179	0	0	0	8	2	3	1552	5	32	1443	0	0	2	0	2	0	90	0	0	2	22	27	18	8	72	0	0	1	5426	2	1	26	0	0	5	1	15	24	6	0	438	18	0	1	0
HSMA33RF	0	12	4	174	16	0	0	118	0	94	0	0	398	108	389	0	51	450	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	77	9	32	0	35	125	0	0	0	83	11	51	2220	1	19	854	0	0	2	0	0	1	28	0	1	8	3	33	28	3	81	0	0	0	3971	3	0	165	0	0	0	2	23	22	29	3	168	47	0	3	0
HSMA33RR	0	0	0	0	0	0	0	0	0	0	0	0	955	94	655	88	60	137	25	0	201	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	6	0	18	0	11	0	0	0	0	0	0	6242	0	0	0	0	0	0	0	0	0	15	0	0	0	72	19	280	0	0	0	0	0	0	14	0	0	0	29	28	0	0	784	0	0	0	1
HSMA33RT	0	98	24	0	68	0	0	8	0	78	0	0	707	1489	2402	436	1666	102	0	0	8	0	2	0	0	18	0	0	8	0	18	0	0	5	0	37	0	0	0	0	3	0	0	68	9	0	18	0	0	0	0	977	0	0	0	0	0	0	0	0	0	88	0	0	0	1	757	589	31	0	0	8	132	15	0	18	0	1	0	67	0	0	45	0	0	0	1
HSMA33RX	0	228	30	0	87	0	9	374	0	300	0	0	183	1032	2149	127	3054	358	2	0	13	0	4	0	0	32	0	3	1	0	13	0	0	5	0	38	0	0	0	0	1	0	1	16	0	0	2	0	0	0	0	861	0	0	2	0	0	0	0	0	0	85	0	0	0	0	319	449	47	0	0	15	0	4	6	25	0	3	0	79	0	0	40	0	0	0	0
HSMA33RX_TR	0	285	44	0	144	0	0	303	0	0	0	0	181	775	2169	127	3703	319	14	0	15	0	4	0	0	31	1	2	0	0	8	0	0	2	0	18	0	0	0	0	0	0	1	1	9	0	0	0	0	0	0	840	0	0	0	1	0	0	0	0	0	110	4	0	0	0	304	447	37	0	0	10	0	2	2	19	0	2	0	29	0	0	38	0	0	0	0
MSM6J2HD	0	0	0	0	0	0	0	0	0	0	0	1618	0	0	1	0	4680	2435	375	0	0	0	0	0	0	0	0	0	0	0	6	0	0	24	0	39	0	0	0	97	0	13	0	8	18	0	0	0	0	0	9	431	22	0	0	0	4	0	0	0	0	8	36	0	0	0	0	2	0	0	1	23	48	14	0	0	0	10	19	38	0	0	18	0	0	1	3
MSM6J2HF	0	0	0	14	0	0	0	4	112	2	0	913	0	1	0	4	2560	3635	204	1	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	209	5	40	0	60	0	0	0	0	0	0	96	529	47	0	0	0	0	1	6	0	9	15	68	0	0	0	0	23	0	0	1	515	666	8	0	0	0	31	101	75	0	0	30	0	0	0	2
MSM6J2HH	0	0	0	0	0	0	0	0	0	6	0	517	0	0	4	0	1936	3408	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	7	313	0	6	4	0	0	0	0	0	101	2001	0	25	0	0	0	22	0	0	6	0	0	0	0	0	0	0	0	28	0	5	630	0	0	0	0	99	135	272	0	0	21	0	0	6	2
MSM6J2HJ	0	0	0	0	0	14	0	0	0	0	0	2312	0	1	0	0	2351	1674	488	0	0	0	0	0	0	0	0	0	0	0	31	0	0	3	0	2	0	0	0	486	3	145	0	93	0	0	0	0	0	0	21	834	8	2	0	0	0	21	2	0	20	1	0	0	0	5	0	0	0	0	0	0	1093	39	0	0	0	134	35	90	0	0	14	0	0	61	3
MSM6J2HL	0	0	0	0	0	0	0	0	0	0	0	1064	0	0	0	0	2834	4048	383	0	0	0	0	0	0	0	0	1	0	0	16	1	0	1	0	0	0	0	0	227	1	27	0	67	15	0	0	0	0	0	1	281	4	0	0	0	9	4	0	0	3	1	5	0	5	0	0	0	0	0	0	0	909	2	0	0	0	34	5	37	0	0	10	0	0	4	0
MSM6J2OH	0	0	0	0	0	0	0	0	0	0	0	906	0	0	0	0	2898	2612	622	0	0	0	0	0	0	0	0	0	0	0	7	0	0	10	0	17	0	0	0	149	2	38	0	190	0	0	0	0	0	0	1	713	12	0	0	0	19	0	0	0	0	9	0	0	29	0	0	0	0	0	0	3	1570	0	0	0	0	27	18	112	0	0	35	0	0	0	0
MSM6J2OJ	0	4	65	269	8	3	2	103	1428	27	0	569	0	33	0	107	666	3975	5	37	0	0	0	0	0	0	0	0	0	0	10	1	0	2	3	5	0	0	0	301	10	61	0	216	0	0	1	0	0	7	43	860	1	3	1	0	4	0	13	0	28	1	11	73	7	11	23	197	0	17	0	0	261	209	0	0	0	25	116	67	0	0	64	3	0	4	5
MSM6J2OL	0	0	0	0	0	8	0	0	0	0	0	332	0	0	0	0	1803	6374	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	3	74	0	62	0	0	0	0	0	0	35	340	0	24	0	0	46	2	3	0	22	0	0	0	0	0	0	3	0	0	0	7	368	154	0	0	0	108	65	60	0	0	1	0	0	11	3
MSM6J2ON	0	0	0	0	0	0	0	0	0	0	0	958	0	0	0	0	2768	3986	497	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	5	0	0	0	217	0	46	0	58	0	0	0	0	1	0	9	366	2	0	0	0	0	3	0	0	1	0	10	0	0	0	0	3	0	0	0	35	972	3	0	0	0	19	5	10	0	0	12	0	0	6	0
MSM6J2OP	0	0	0	0	0	0	1	0	0	0	0	273	0	0	0	0	2365	5760	122	0	0	0	0	0	0	0	0	1	0	0	1	0	0	4	0	2	0	0	0	52	1	10	17	3	1	0	0	0	0	0	8	1045	3	1	4	0	0	0	4	0	1	1	0	0	0	0	0	0	0	0	0	83	178	12	0	0	0	5	19	10	0	0	13	0	0	1	1
MSM79H7C	0	0	131	837	0	21	0	681	243	88	0	3	1481	185	0	0	574	2558	1	0	0	0	5	0	0	6	0	0	1	0	1	1	0	0	0	1	9	0	6	0	0	0	0	0	0	66	0	0	162	0	0	1340	6	9	0	8	0	30	39	0	18	10	0	0	52	17	28	7	6	2	0	70	197	172	7	0	0	8	8	40	5	0	4	0	1	2	4
MSM79H7E	0	0	83	486	0	33	0	700	81	183	0	4	1150	226	0	2	421	2382	0	0	0	0	10	0	0	13	0	0	1	0	2	0	0	4	0	0	18	6	13	0	0	0	1	0	0	173	2	0	329	1	0	2153	6	5	0	4	3	53	24	0	30	10	12	0	4	22	67	0	10	19	0	69	153	87	0	0	0	19	76	19	3	0	13	0	0	2	7
MSM79H7G	0	0	228	921	0	9	3	401	189	178	0	0	1292	634	0	0	639	3017	4	0	0	0	16	0	0	11	0	0	1	0	2	0	0	2	0	0	8	0	5	0	0	0	2	0	0	113	0	0	63	0	0	727	21	2	1	3	1	7	0	0	7	18	2	0	49	24	59	0	14	2	0	142	0	124	0	0	0	4	4	9	2	0	15	0	0	1	1
MSM79H7M	0	0	58	423	0	0	0	617	258	20	0	19	1044	659	0	0	633	2418	1	0	0	0	21	0	0	30	0	0	0	0	37	0	58	2	0	1	10	0	0	0	0	0	0	78	0	1	0	0	585	0	0	984	4	0	0	0	0	96	0	0	0	5	0	0	62	249	37	557	38	3	0	0	0	0	3	0	0	12	4	45	0	0	3	0	0	0	0
MSM79HAJ	426	36	294	4	61	3	121	217	0	145	2	0	121	169	90	153	796	61	0	138	0	0	0	0	0	0	0	7	0	0	1	0	0	27	46	2	248	17	142	0	15	65	0	0	0	194	24	2	947	833	45	1008	0	0	16	0	0	0	0	8	1	5	0	35	40	307	194	0	0	0	0	421	4	39	0	1	285	0	43	220	21	48	923	0	0	0	0
MSM79HAL	864	60	584	15	176	0	63	227	0	298	1	0	210	134	27	62	338	179	5	143	0	0	0	2	0	0	0	1	1	0	0	0	0	2	20	0	42	2	31	0	6	17	0	75	0	31	7	0	100	826	32	903	0	0	0	0	0	0	0	1	1	2	2	34	11	457	242	0	0	0	0	54	30	13	0	1	75	0	16	12	17	21	798	0	0	0	0
MSM79HAN	1268	58	341	12	118	0	75	266	0	237	2	0	93	160	18	55	234	127	11	220	0	75	0	88	1	0	0	0	0	0	0	0	0	20	29	2	194	18	93	0	24	53	0	737	31	82	14	0	517	342	57	579	0	1425	2	0	5	0	0	7	0	3	26	0	18	321	173	0	0	0	0	105	36	8	0	0	204	0	25	20	33	77	730	0	0	0	0
MSM79HAR	554	64	489	27	216	0	88	946	0	476	6	0	176	663	116	648	366	158	26	153	0	14	0	45	0	0	0	0	0	0	3	0	0	310	7	4	55	3	26	0	7	14	0	591	0	12	4	0	138	476	20	671	0	26	0	0	0	0	0	5	0	2	0	118	19	524	165	0	0	3	0	18	93	6	0	0	87	0	10	184	2	1	486	0	0	0	0
MSM79HAT	1699	79	452	45	202	0	85	527	0	357	2	0	21	235	29	89	318	118	1	335	0	169	0	96	0	0	0	1	0	0	0	0	0	143	88	2	197	17	42	0	13	31	0	284	0	62	17	0	535	227	23	405	0	5	0	0	0	0	0	10	0	1	29	76	27	720	259	0	0	0	1	5	41	0	0	0	323	0	23	108	12	9	581	0	0	0	0
