Name	Acidaminococcus_intestini	Actinobaculum_sp_oral_taxon_183	Actinomyces_graevenitzii	Actinomyces_johnsonii	Actinomyces_massiliensis	Actinomyces_naeslundii	Actinomyces_odontolyticus	Actinomyces_oris	Actinomyces_sp_HMSC035G02	Actinomyces_sp_HPA0247	Actinomyces_sp_ICM47	Actinomyces_sp_S6_Spd3	Actinomyces_sp_oral_taxon_181	Actinomyces_sp_oral_taxon_448	Adlercreutzia_equolifaciens	Agathobaculum_butyriciproducens	Akkermansia_muciniphila	Alistipes_finegoldii	Alistipes_indistinctus	Alistipes_putredinis	Alistipes_shahii	Allisonella_histaminiformans	Anaeromassilibacillus_sp_An250	Anaerostipes_hadrus	Anaerotruncus_colihominis	Asaccharobacter_celatus	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_dorei	Bacteroides_eggerthii	Bacteroides_faecis	Bacteroides_finegoldii	Bacteroides_fragilis	Bacteroides_intestinalis	Bacteroides_massiliensis	Bacteroides_ovatus	Bacteroides_plebeius	Bacteroides_salyersiae	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Bacteroides_xylanisolvens	Barnesiella_intestinihominis	Bifidobacterium_adolescentis	Bifidobacterium_bifidum	Bifidobacterium_longum	Bifidobacterium_pseudocatenulatum	Bilophila_wadsworthia	Blautia_hydrogenotrophica	Blautia_obeum	Blautia_sp_CAG_257	Blautia_wexlerae	Butyricimonas_synergistica	Butyricimonas_virosa	Catabacter_hongkongensis	Catenibacterium_mitsuokai	Christensenella_minuta	Clostridium_asparagiforme	Clostridium_bolteae	Clostridium_citroniae	Clostridium_innocuum	Clostridium_leptum	Clostridium_sp_CAG_242	Clostridium_sp_CAG_299	Clostridium_sp_CAG_58	Clostridium_symbiosum	Collinsella_aerofaciens	Collinsella_intestinalis	Collinsella_stercoris	Coprobacter_fastidiosus	Coprococcus_catus	Coprococcus_comes	Coprococcus_eutactus	Desulfovibrio_piger	Desulfovibrionaceae_bacterium	Dialister_sp_CAG_357	Dorea_formicigenerans	Dorea_longicatena	Eggerthella_lenta	Eisenbergiella_tayi	Erysipelatoclostridium_ramosum	Escherichia_coli	Eubacterium_eligens	Eubacterium_hallii	Eubacterium_ramulus	Eubacterium_rectale	Eubacterium_siraeum	Eubacterium_sp_CAG_180	Eubacterium_sp_CAG_251	Eubacterium_sp_CAG_274	Eubacterium_sp_CAG_38	Eubacterium_sulci	Eubacterium_ventriosum	Faecalibacterium_prausnitzii	Faecalitalea_cylindroides	Firmicutes_bacterium_CAG_110	Firmicutes_bacterium_CAG_145	Firmicutes_bacterium_CAG_83	Firmicutes_bacterium_CAG_95	Flavonifractor_plautii	Fusicatenibacter_saccharivorans	Gemella_haemolysans	Gemella_morbillorum	Gemella_sanguinis	Gemmiger_formicilis	Gordonibacter_pamelaeae	Haemophilus_parainfluenzae	Holdemanella_biformis	Holdemania_filiformis	Hungatella_hathewayi	Intestinibacter_bartlettii	Intestinimonas_butyriciproducens	Klebsiella_pneumoniae	Klebsiella_quasipneumoniae	Klebsiella_variicola	Lachnospira_pectinoschiza	Lactobacillus_rogosae	Lactobacillus_ruminis	Lactococcus_lactis	Lactonifactor_longoviformis	Lawsonibacter_asaccharolyticus	Megamonas_funiformis	Megamonas_hypermegale	Megasphaera_elsdenii	Methanobrevibacter_smithii	Mogibacterium_diversum	Odoribacter_splanchnicus	Olsenella_scatoligenes	Oscillibacter_sp_57_20	Oscillibacter_sp_CAG_241	Parabacteroides_distasonis	Parabacteroides_goldsteinii	Parabacteroides_merdae	Paraprevotella_xylaniphila	Parasutterella_excrementihominis	Parvimonas_micra	Phascolarctobacterium_faecium	Phascolarctobacterium_succinatutens	Prevotella_copri	Proteobacteria_bacterium_CAG_139	Romboutsia_ilealis	Roseburia_faecis	Roseburia_hominis	Roseburia_intestinalis	Roseburia_inulinivorans	Roseburia_sp_CAG_471	Rothia_dentocariosa	Rothia_mucilaginosa	Ruminococcus_bicirculans	Ruminococcus_bromii	Ruminococcus_callidus	Ruminococcus_gnavus	Ruminococcus_lactaris	Ruminococcus_torques	Ruthenibacterium_lactatiformans	Sellimonas_intestinalis	Slackia_isoflavoniconvertens	Streptococcus_anginosus_group	Streptococcus_australis	Streptococcus_cristatus	Streptococcus_gordonii	Streptococcus_infantis	Streptococcus_mitis	Streptococcus_mutans	Streptococcus_oralis	Streptococcus_parasanguinis	Streptococcus_salivarius	Streptococcus_sanguinis	Streptococcus_sp_A12	Streptococcus_thermophilus	Streptococcus_vestibularis	Sutterella_parvirubra	Turicibacter_sanguinis	Turicimonas_muris	Veillonella_atypica	Veillonella_dispar	Veillonella_parvula	[Collinsella]_massiliensis
TM05_6wk	606	0	0	0	0	0	1	0	0	0	1	0	0	0	0	11	0	0	0	0	0	0	2	5	0	0	0	0	38	0	0	0	214	0	0	3	0	0	1	0	7	6	10	11	2499	0	66	0	0	0	44	0	30	0	2	0	469	0	0	0	0	2	17	0	0	0	0	1113	4	24	0	10	42	84	0	1	0	221	494	4	0	0	19	0	108	1	40	1	8	36	0	2	0	0	698	0	21	0	138	0	0	26	0	0	0	56	0	0	33	0	2	0	0	0	0	0	1	0	1377	0	0	0	0	0	60	652	1	7	11	108	199	0	0	46	3	0	0	0	0	55	0	0	33	4	1	20	1	0	0	0	0	1	0	0	163	5	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
TM08_12wk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	6	29	45	27	0	0	2	0	0	161	11	2	0	67	36	0	0	0	96	0	50	165	22	114	734	17	119	0	0	0	0	26	0	4	0	1	0	18	0	3	0	1	1	3	0	0	0	0	71	0	21	0	0	0	8	9	0	0	57	0	21	132	0	0	0	1	175	1	53	85	0	0	0	0	0	0	0	2010	0	26	4	98	1	36	80	0	0	0	23	0	2	0	4	0	0	0	0	0	0	134	1	0	0	0	4	0	0	0	0	0	103	0	337	114	331	0	178	0	3	0	257	0	158	0	0	912	43	187	1177	0	0	0	0	817	0	0	178	344	11	0	1	0	0	0	0	0	0	0	0	16	0	0	0	0	0	12	0	0	0	2	0	0
TM08_26wk	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	5	0	8	153	50	11	0	0	44	1	6	36	5	0	0	7	75	111	0	0	44	0	2	229	12	47	301	2	121	237	0	300	0	14	20	143	0	96	0	6	0	45	0	0	1	0	0	17	0	0	18	0	933	3	7	0	34	313	0	0	0	0	225	344	0	0	0	1	14	299	19	306	4	0	0	6	0	0	93	1124	0	20	2	244	0	4	534	0	0	0	138	7	0	0	1	0	6	0	0	0	0	2	0	0	14	0	0	2	5	0	0	0	57	0	35	189	112	0	106	0	0	0	66	0	11	0	0	510	3	10	127	0	0	0	0	1518	0	0	37	290	11	0	29	0	0	0	0	0	0	0	0	3	3	1	0	0	0	2	0	0	0	0	1	0
TM08_6wk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	46	0	2	30	14	6	0	0	30	0	9	203	0	0	0	17	30	75	0	0	15	0	3	106	10	18	463	1	100	189	0	63	0	9	10	75	0	51	0	3	0	57	0	0	0	0	0	14	0	0	0	0	972	3	10	0	7	67	0	0	14	0	130	138	0	0	0	18	19	150	3	709	0	0	315	3	0	0	55	1160	0	0	0	116	0	7	143	0	0	0	97	10	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	12	9	0	0	0	34	0	54	20	140	0	72	0	1	0	213	0	428	0	0	966	0	14	421	0	0	0	0	1484	0	0	51	163	1	0	88	0	0	0	0	0	0	0	0	5	2	0	0	0	0	2	0	0	0	0	0	1
TM10_12wk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	0	0	0	166	4	0	0	91	0	4	61	0	1	0	0	0	0	0	1	220	0	6	0	0	42	149	0	94	0	0	2	0	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	18	0	0	0	0	14	0	0	0	0	19	115	0	0	0	0	75	2	27	5569	0	0	0	0	0	0	47	1007	0	0	0	14	0	1	96	0	0	0	7	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	14	0	7	0	12	0	24	0	348	0	7	52	0	0	113	42	158	0	0	0	0	1315	0	0	0	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	0	0	0	0
TM10_26wk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	39	0	2	131	12	0	0	6	0	4	127	0	32	2	0	0	0	0	21	42	0	34	0	0	46	455	0	139	0	0	0	0	9	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	8	0	23	0	0	0	0	11	958	0	0	0	22	145	0	0	0	105	246	0	31	3774	8	0	0	0	0	0	21	439	0	0	0	3	0	1	72	0	0	0	1	0	0	0	1	0	0	1	11	1	7	0	0	0	0	0	0	0	0	0	0	0	65	0	38	0	30	0	46	0	34	0	149	0	68	50	0	0	81	636	205	0	0	0	0	1527	54	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
TM10_6wk	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	2	2	6	3	61	0	0	0	0	0	254	58	93	0	0	17	0	0	0	36	0	7	44	117	147	132	16	99	1	0	0	0	4	0	2	0	2	1	5	0	5	0	0	0	0	0	0	0	0	0	0	9	0	0	0	5	58	89	281	26	0	6	100	0	0	0	0	102	0	18	998	16	388	0	0	158	0	0	743	0	1	0	216	1	4	18	0	0	0	8	0	0	10	0	0	0	0	0	0	1	0	0	0	0	0	0	22	6	0	0	0	53	0	193	96	88	0	107	0	0	0	0	2	4783	0	0	5	29	0	93	0	0	0	0	0	0	0	106	8	3	0	3	0	0	0	0	0	0	0	0	7	1	0	0	0	0	4	0	0	0	0	0	0
TM14_12wk	275	0	0	0	0	0	0	0	0	0	0	0	0	0	5	32	5	0	0	1	1	0	0	24	0	12	19	0	0	0	0	5	1	0	0	20	0	0	32	0	10	92	0	14	1646	459	449	0	0	0	7	0	7	0	0	0	41	0	0	0	0	0	4	0	0	1	0	431	5	23	0	4	26	1	0	0	0	124	163	0	0	3	0	0	19	5	60	0	0	349	0	0	0	32	458	0	0	0	8	0	0	116	0	0	0	50	0	0	4	0	0	0	0	0	0	0	0	0	1081	0	0	0	0	0	0	39	0	2	1103	6	1	31	0	222	3	0	0	0	0	2275	0	0	126	0	2	13	0	0	0	0	0	1	7	0	5	0	0	13	0	0	0	0	0	0	0	0	2	21	0	0	0	0	0	0	0	0	0	0	1
TM14_26wk	954	0	0	0	0	0	0	0	0	0	0	0	0	0	2	31	2	0	1	3	2	0	0	6	0	3	26	0	0	0	0	4	0	0	0	46	0	0	66	1	17	111	0	15	596	193	316	0	1	0	3	0	2	0	0	0	16	0	0	0	0	0	1	0	0	2	0	172	1	6	0	5	60	312	0	0	0	47	447	0	0	0	0	6	7	5	1088	0	0	604	0	0	0	217	676	0	1	0	44	0	3	427	0	0	0	43	0	0	10	2	0	0	0	0	0	0	0	0	497	0	0	0	0	0	0	27	0	0	302	9	2	8	0	191	7	0	0	0	0	1983	0	0	188	5	5	23	0	0	0	0	0	81	3	0	34	4	0	4	0	0	0	0	0	0	0	0	1	20	0	0	0	0	0	0	0	0	0	0	0
TM14_6wk	1	0	0	0	0	0	0	1	0	0	1	0	0	0	10	39	60	0	8	0	0	0	1	10	0	19	3	0	0	0	0	0	1	0	0	2	0	0	2	0	1	5	0	4	2347	911	756	0	1	0	20	0	12	0	0	0	47	0	0	0	0	1	21	0	0	0	0	874	8	35	0	20	25	4	0	0	0	193	471	0	0	6	4	0	38	11	165	0	0	309	0	0	0	94	373	0	5	1	1	0	0	52	0	0	1	119	1	0	41	8	0	1	0	0	0	0	0	0	753	0	0	0	0	0	0	282	0	2	1570	0	4	0	0	4	0	0	0	0	0	16	0	0	30	4	0	3	0	0	0	0	43	15	17	0	13	18	0	29	1	1	0	0	0	0	0	0	9	35	0	0	0	0	0	3	0	0	0	0	2
