	Akkermansia_muciniphila	Alistipes_finegoldii	Alistipes_indistinctus	Alistipes_onderdonkii	Alistipes_putredinis	Alistipes_senegalensis	Alistipes_shahii	Anaerostipes_hadrus	Anaerotruncus_colihominis	Anaerotruncus_unclassified	Bacteroidales_bacterium_ph8	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_dorei	Bacteroides_eggerthii	Bacteroides_faecis	Bacteroides_finegoldii	Bacteroides_fragilis	Bacteroides_massiliensis	Bacteroides_nordii	Bacteroides_ovatus	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Bacteroides_xylanisolvens	Barnesiella_intestinihominis	Bifidobacterium_adolescentis	Bifidobacterium_bifidum	Bifidobacterium_longum	Bilophila_unclassified	Bilophila_wadsworthia	Burkholderiales_bacterium_1_1_47	C2likevirus_unclassified	Clostridiales_bacterium_1_7_47FAA	Clostridium_asparagiforme	Clostridium_bartlettii	Clostridium_bolteae	Clostridium_citroniae	Clostridium_clostridioforme	Clostridium_hathewayi	Clostridium_leptum	Clostridium_symbiosum	Collinsella_aerofaciens	Coprococcus_catus	Coprococcus_comes	Desulfovibrio_desulfuricans	Dialister_invisus	Dorea_formicigenerans	Dorea_longicatena	Dorea_unclassified	Escherichia_coli	Escherichia_unclassified	Eubacterium_eligens	Eubacterium_hallii	Eubacterium_ramulus	Eubacterium_rectale	Eubacterium_siraeum	Eubacterium_ventriosum	Faecalibacterium_prausnitzii	Flavonifractor_plautii	Haemophilus_parainfluenzae	Holdemania_filiformis	Holdemania_unclassified	Lachnospiraceae_bacterium_1_1_57FAA	Lachnospiraceae_bacterium_2_1_58FAA	Lachnospiraceae_bacterium_3_1_46FAA	Lachnospiraceae_bacterium_3_1_57FAA_CT1	Lachnospiraceae_bacterium_5_1_63FAA	Lachnospiraceae_bacterium_7_1_58FAA	Lachnospiraceae_bacterium_8_1_57FAA	Odoribacter_splanchnicus	Oscillibacter_unclassified	Parabacteroides_distasonis	Parabacteroides_goldsteinii	Parabacteroides_merdae	Parabacteroides_unclassified	Parasutterella_excrementihominis	Peptostreptococcaceae_noname_unclassified	Prevotella_copri	Pseudoflavonifractor_capillosus	Roseburia_hominis	Roseburia_intestinalis	Roseburia_inulinivorans	Roseburia_unclassified	Ruminococcaceae_bacterium_D16	Ruminococcus_bromii	Ruminococcus_callidus	Ruminococcus_gnavus	Ruminococcus_lactaris	Ruminococcus_obeum	Ruminococcus_torques	Streptococcus_parasanguinis	Streptococcus_salivarius	Streptococcus_thermophilus	Subdoligranulum_unclassified	Sutterella_wadsworthensis	Veillonella_atypica	Veillonella_dispar	Veillonella_parvula	Veillonella_unclassified
MSM6J2QP	0	0	0	248	776	0	25	0	0	0	32	393	348	0	0	0	0	111	0	0	30	1915	261	2160	1577	613	357	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	27	0	0	535	0	1	0	0	0	0	0	0	2	0	0	0	8	67	10	186	25	0	0	0	0	9	134	9	0	0	18	0	0	11	1	2	0	0	0	98	0	0	0	0	1
MSM6J2RK	1	22	3	10	321	0	116	0	0	0	7	96	18	315	29	128	0	106	714	1	9	0	99	200	668	0	847	3	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	4	1	3	0	0	16	15	0	0	0	29	3	1	260	1010	3	407	1	0	0	0	0	0	30	0	1	7	8	101	12	0	179	0	25	1	0	2442	1	7	147	118	0	0	108	0	0	23	11	38	0	0	0	1049	216	0	0	0	0
MSM6J2RM	0	1	3	10	155	1	60	1	0	2	28	0	0	4	0	2	0	0	365	0	609	4428	40	806	456	0	38	48	15	8	3	0	3	0	0	0	0	0	0	0	0	0	5	11	5	12	0	0	2	125	0	11	1	68	2	5	475	61	1	1323	0	0	1	0	0	0	0	0	3	5	0	0	87	1	20	64	3	4	0	157	0	2	1	52	0	0	0	0	0	0	15	0	0	0	0	235	159	0	0	0	0
MSM6J2RO	0	15	4	13	226	1	126	0	0	0	15	206	22	92	13	74	0	86	322	2	40	0	82	121	329	3	627	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	6	2	3	0	0	6	5	0	2	1	60	5	2	277	17	3	372	0	0	0	0	0	0	28	0	8	5	8	60	9	0	127	0	0	0	0	5800	0	9	73	43	0	0	42	0	0	15	8	27	0	0	0	418	137	0	0	0	0
MSM6J2RQ	0	44	2	32	255	2	180	0	0	8	17	251	215	219	44	60	0	147	618	2	30	0	102	116	461	1	823	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	2	1	2	0	0	3	3	0	0	1	99	0	0	261	33	2	643	0	0	0	0	0	0	56	0	1	9	17	132	14	0	206	0	0	1	0	3227	0	6	117	250	0	0	58	0	0	58	12	55	0	0	5	812	273	0	0	0	2
MSM6J2RS	0	3	3	3	150	0	29	0	0	0	3	56	0	43	7	26	0	12	165	1	51	0	4	82	131	7	209	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	2	1	0	52	17	2	82	0	0	0	0	2	0	2	0	1	1	0	34	2	0	26	0	114	0	2	8438	0	1	16	10	0	0	4	0	0	2	2	9	0	0	0	94	99	0	0	0	0
MSM6J2RU	1	26	123	19	580	2	198	0	0	4	25	464	10	156	52	139	0	81	708	0	64	0	34	100	383	10	835	4	0	0	3	0	1	0	0	0	0	0	0	0	0	1	0	18	5	7	0	0	22	31	0	13	0	19	18	2	1066	212	24	594	3	0	0	0	0	0	25	0	6	10	0	115	13	0	67	0	301	2	0	2229	2	2	168	101	0	0	30	0	0	46	18	72	0	0	0	511	227	0	0	0	0
MSM6J2SE	1317	307	3	564	0	0	0	1	9	0	0	924	0	0	0	0	0	329	0	4	490	1	65	1265	1365	36	0	41	20	4	0	0	20	0	2	3	3	39	0	28	125	6	16	21	0	0	0	57	11	0	0	80	0	0	45	17	461	0	0	27	31	0	2	3	0	0	0	55	1	11	0	68	16	0	0	1043	0	5	0	0	0	6	2	0	5	0	288	0	0	0	2	55	0	0	0	696	0	0	0	0	1
MSM6J2SI	1060	320	3	529	0	0	0	1	11	0	0	428	0	0	0	0	0	188	0	5	791	0	176	1243	1811	78	0	111	43	16	0	0	26	2	1	4	4	37	0	58	101	33	10	25	0	0	0	194	30	0	0	13	18	0	71	123	460	0	0	49	33	0	0	8	0	0	0	8	0	19	0	46	145	0	0	655	0	6	1	0	0	7	23	0	0	1	288	0	0	0	11	72	1	0	5	594	0	0	0	0	1
MSM6J2SK	60	88	1	143	0	0	0	2	0	0	0	373	0	0	0	0	0	76	0	3	914	0	175	1998	4528	200	0	19	5	2	0	0	17	1	0	0	0	6	0	0	0	9	0	5	0	0	0	72	3	0	0	0	0	0	17	13	172	0	0	57	6	0	0	0	0	0	0	0	1	1	0	64	73	1	0	818	0	3	5	0	0	1	9	7	0	0	5	0	0	0	0	8	0	0	0	39	0	0	0	0	1
