Name	Acidaminococcus_intestini	Actinobaculum_sp_oral_taxon_183	Actinomyces_graevenitzii	Actinomyces_odontolyticus	Actinomyces_oris	Actinomyces_sp_HMSC035G02	Actinomyces_sp_HPA0247	Actinomyces_sp_ICM47	Actinomyces_sp_S6_Spd3	Actinomyces_sp_oral_taxon_181	Actinomyces_sp_oral_taxon_448	Adlercreutzia_equolifaciens	Agathobaculum_butyriciproducens	Akkermansia_muciniphila	Alistipes_finegoldii	Alistipes_inops	Alistipes_onderdonkii	Alistipes_shahii	Anaeromassilibacillus_sp_An250	Anaerostipes_hadrus	Asaccharobacter_celatus	Atopobium_parvulum	Atopobium_rimae	Bacteroides_dorei	Bacteroides_fragilis	Bacteroides_ovatus	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Bacteroides_xylanisolvens	Barnesiella_intestinihominis	Bifidobacterium_adolescentis	Bifidobacterium_bifidum	Bifidobacterium_dentium	Bifidobacterium_longum	Bilophila_wadsworthia	Blautia_obeum	Blautia_sp_CAG_257	Blautia_wexlerae	Clostridium_aldenense	Clostridium_bolteae	Clostridium_bolteae_CAG_59	Clostridium_citroniae	Clostridium_clostridioforme	Clostridium_innocuum	Clostridium_lavalense	Clostridium_leptum	Clostridium_methylpentosum	Clostridium_sp_CAG_58	Clostridium_spiroforme	Clostridium_symbiosum	Collinsella_aerofaciens	Collinsella_intestinalis	Collinsella_stercoris	Coprobacillus_cateniformis	Coprococcus_catus	Coprococcus_comes	Dialister_invisus	Dielma_fastidiosa	Dorea_formicigenerans	Dorea_longicatena	Eggerthella_lenta	Eisenbergiella_massiliensis	Eisenbergiella_tayi	Enterococcus_faecalis	Enterococcus_faecium	Enterorhabdus_caecimuris	Erysipelatoclostridium_ramosum	Escherichia_coli	Eubacterium_eligens	Eubacterium_hallii	Eubacterium_ramulus	Eubacterium_rectale	Eubacterium_sp_CAG_180	Eubacterium_sp_CAG_38	Eubacterium_ventriosum	Faecalibacterium_prausnitzii	Firmicutes_bacterium_CAG_110	Firmicutes_bacterium_CAG_83	Flavonifractor_plautii	Fusicatenibacter_saccharivorans	Fusobacterium_nucleatum	Gemella_haemolysans	Gemella_morbillorum	Gemella_sanguinis	Gemmiger_formicilis	Gordonibacter_pamelaeae	Haemophilus_parainfluenzae	Holdemania_filiformis	Hungatella_hathewayi	Intestinibacter_bartlettii	Intestinimonas_butyriciproducens	Janibacter_indicus	Klebsiella_oxytoca	Klebsiella_pneumoniae	Klebsiella_quasipneumoniae	Klebsiella_variicola	Lachnospira_pectinoschiza	Lactobacillus_fermentum	Lactobacillus_gasseri	Lactobacillus_paragasseri	Lactobacillus_rhamnosus	Lactobacillus_rogosae	Lactobacillus_ruminis	Lactobacillus_salivarius	Lactococcus_lactis	Lawsonibacter_asaccharolyticus	Megasphaera_micronuciformis	Monoglobus_pectinilyticus	Odoribacter_splanchnicus	Oscillibacter_sp_57_20	Oscillibacter_sp_CAG_241	Parabacteroides_distasonis	Parabacteroides_merdae	Parasutterella_excrementihominis	Phascolarctobacterium_faecium	Prevotella_copri	Prevotella_sp_885	Proteobacteria_bacterium_CAG_139	Romboutsia_ilealis	Roseburia_faecis	Roseburia_hominis	Roseburia_intestinalis	Roseburia_inulinivorans	Roseburia_sp_CAG_471	Rothia_dentocariosa	Rothia_mucilaginosa	Ruminococcus_bicirculans	Ruminococcus_bromii	Ruminococcus_gnavus	Ruminococcus_lactaris	Ruminococcus_torques	Ruthenibacterium_lactatiformans	Scardovia_wiggsiae	Sellimonas_intestinalis	Slackia_isoflavoniconvertens	Streptococcus_anginosus_group	Streptococcus_gordonii	Streptococcus_infantis	Streptococcus_lutetiensis	Streptococcus_mitis	Streptococcus_mutans	Streptococcus_oralis	Streptococcus_parasanguinis	Streptococcus_salivarius	Streptococcus_sanguinis	Streptococcus_thermophilus	Streptococcus_vestibularis	Turicibacter_sanguinis	Turicimonas_muris	Tyzzerella_nexilis	Veillonella_atypica	Veillonella_dispar	Veillonella_infantium	Veillonella_parvula	Veillonella_sp_T11011_6	[Collinsella]_massiliensis
FMT50	2645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4476	0	0	14	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	56	70	23	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	555	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2127	0	0
FMT55	1	0	0	0	0	0	0	0	0	0	0	0	0	13	21	0	11	41	0	0	0	0	0	19	17	1	3	67	22	258	11	1	0	0	28	0	12	227	0	0	1	5	17	2	0	4	2	0	0	0	0	55	142	1	2	8	25	257	10	23	90	205	67	0	0	0	0	0	0	9	0	38	0	855	15	0	0	1069	0	0	0	0	2	0	0	0	0	12	1	0	43	0	224	0	0	2	0	1	82	0	0	0	0	4	17	0	0	0	1	0	206	6	0	146	0	0	492	2950	1858	0	0	0	0	0	190	5	0	0	0	0	1	0	20	23	0	0	0	0	6	0	2	0	0	1	1	4	0	0	0	3	0	0	6	0	0	35	0	1
FMT58	2	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	2	1	0	13	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	4	0	0	0	0	5	0	0	7	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	10	0	0	1646	1	7393	0	3	0	25	0	0	0	0	0	0	0	0	0	750	3	0	0	0	1	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	60	0	0	0	0	13	0	9	1	0	0	0	0	0	0	0	0	0	7	0	0
FMT64	0	0	0	0	2	0	1	0	0	0	0	6	7	0	8	0	6	1	0	2	4	0	0	0	0	0	0	3	15	58	1	0	254	0	0	0	2	1	0	1	0	2	2	0	2	0	2	19	0	7	0	18	252	0	2	0	17	78	59	2	16	116	8	1	0	16	0	0	0	890	3	16	6	179	437	1	0	293	0	23	2	8	0	0	0	0	4	3	0	1	1	0	10	0	0	0	0	0	0	112	0	0	5	0	3	46	0	4	0	0	10	0	325	7	0	0	10	8	1	0	0	37	0	0	0	16	0	0	0	0	0	0	184	18	0	0	0	0	0	0	6007	0	0	23	90	17	0	4	201	0	0	0	0	0	0	0	0	1
FMT66	0	0	0	0	0	0	0	0	0	0	0	11	31	0	2	0	0	42	0	3	6	0	0	0	0	4	12	4	27	213	8	0	205	0	0	31	0	2	0	0	0	1	0	0	2	1	0	84	0	4	0	0	135	0	2	0	13	115	0	4	14	338	16	0	0	323	158	0	0	316	8	6	4	27	446	1	0	280	0	608	1	49	0	0	0	0	2	3	0	2	0	3	0	0	0	0	0	0	0	7	0	0	9	0	6	0	0	12	0	0	29	0	79	62	0	0	14	1018	176	0	0	12	0	0	0	63	2	1	0	0	4	0	34	8	1	0	0	0	0	0	4460	0	0	0	179	18	0	0	237	0	0	0	0	0	0	0	0	1
FMT67	0	0	0	0	1	0	2	0	0	0	0	2	184	0	3	0	1	21	0	0	2	0	0	0	0	0	1	2	34	200	5	0	4	0	0	2	0	2	0	2	0	1	42	1	11	25	4	0	0	3	0	74	291	0	2	1	8	167	0	8	39	264	24	1	0	189	13	0	1	994	1	10	8	35	255	0	0	61	0	89	0	28	0	0	0	0	1	6	0	5	1	0	0	0	0	0	0	0	0	0	0	0	2	0	35	0	0	3	0	0	13	0	11	20	0	0	80	4	69	0	0	1	0	0	0	15	0	1	0	0	13	0	389	22	0	0	0	0	0	0	6069	1	0	1	61	10	0	0	48	0	0	0	0	0	0	0	0	1
FMT72	0	0	0	5	1	0	0	0	0	0	0	0	0	0	6	0	4	4	0	0	0	0	0	0	0	0	0	6	662	2739	1	0	0	680	44	0	4	0	0	1	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	318	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	8	146	19	50	0	49	114	0	42	0	1359	2486	1	0	0	0	1	0	0	552	0	2	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	27	0	0	2	175	10	4	68	33	23	1	0	0	0	0	0	0	0	0	0
FMT81	0	0	0	1	17	0	0	0	0	0	0	0	0	2949	7	0	5	12	0	0	0	1	0	0	0	9	3	266	189	2571	81	190	0	0	0	0	0	0	0	128	0	99	17	0	0	150	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	124	427	0	126	0	0	0	0	0	0	0	0	0	0	0	209	178	313	0	0	0	0	11	0	1	0	126	7	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	229	0	21	158	0	48	68	235	180	3	0	0	0	0	0	0	2	0	0	0	0	0	0	358	16	0	0	0	11	0	1	0	0	21	1	0	1	0	0	0	3	0	0	0	0	418	0	0
FMT85	0	0	0	0	0	0	0	0	0	0	0	68	63	239	50	0	34	28	0	19	51	0	0	4	0	2	4	19	36	82	15	3	628	0	0	49	3	52	0	38	0	1	0	1	0	0	0	3	0	5	0	0	343	1	6	0	47	365	0	0	215	419	1	0	0	0	0	3	0	4	7	126	42	2482	384	2	2	969	19	196	2	159	0	0	0	0	24	2	0	0	0	0	5	0	0	1	0	0	20	0	0	0	0	7	600	0	1	1	0	0	19	147	12	43	0	1	81	411	92	0	0	463	38	7	82	10	0	0	1	0	0	0	615	9	0	0	0	0	0	0	0	0	0	0	3	5	0	0	0	0	0	0	0	0	0	0	0	4
FMT92	0	0	0	0	2	0	1	0	0	0	1	42	51	1917	211	0	160	39	0	164	33	0	0	235	2	35	0	115	311	741	15	4	576	0	15	81	17	144	27	35	1	2	0	7	19	1	4	42	0	37	0	18	842	43	129	0	29	57	0	16	89	262	0	41	0	0	0	2	0	2	30	187	74	493	34	2	0	370	0	0	228	178	0	0	0	0	0	0	0	3	0	5	0	0	1	0	0	1	53	0	1	0	0	20	364	2	0	2	0	0	111	0	0	99	0	3	22	106	57	0	1	486	200	0	0	10	0	0	0	0	59	0	70	85	1	0	0	1	0	0	1	0	2	0	1	1	0	0	1	9	0	3	0	0	0	0	0	8
