	Akkermansia_muciniphila	Alistipes_finegoldii	Alistipes_onderdonkii	Alistipes_putredinis	Alistipes_shahii	Anaerostipes_hadrus	Anaerotruncus_unclassified	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_dorei	Bacteroides_faecis	Bacteroides_fragilis	Bacteroides_massiliensis	Bacteroides_ovatus	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Bacteroides_xylanisolvens	Barnesiella_intestinihominis	Bifidobacterium_adolescentis	Bifidobacterium_bifidum	Bifidobacterium_longum	Bilophila_unclassified	Bilophila_wadsworthia	Burkholderiales_bacterium_1_1_47	C2likevirus_unclassified	Clostridiales_bacterium_1_7_47FAA	Clostridium_asparagiforme	Clostridium_bartlettii	Clostridium_bolteae	Clostridium_citroniae	Clostridium_clostridioforme	Clostridium_hathewayi	Clostridium_leptum	Clostridium_symbiosum	Collinsella_aerofaciens	Coprococcus_catus	Coprococcus_comes	Dialister_invisus	Dorea_formicigenerans	Dorea_longicatena	Dorea_unclassified	Escherichia_coli	Escherichia_unclassified	Eubacterium_eligens	Eubacterium_hallii	Eubacterium_ramulus	Eubacterium_rectale	Eubacterium_siraeum	Eubacterium_ventriosum	Faecalibacterium_prausnitzii	Flavonifractor_plautii	Haemophilus_parainfluenzae	Holdemania_filiformis	Holdemania_unclassified	Lachnospiraceae_bacterium_1_1_57FAA	Lachnospiraceae_bacterium_2_1_58FAA	Lachnospiraceae_bacterium_3_1_46FAA	Lachnospiraceae_bacterium_3_1_57FAA_CT1	Lachnospiraceae_bacterium_5_1_63FAA	Lachnospiraceae_bacterium_7_1_58FAA	Lachnospiraceae_bacterium_8_1_57FAA	Odoribacter_splanchnicus	Oscillibacter_unclassified	Parabacteroides_distasonis	Parabacteroides_merdae	Parabacteroides_unclassified	Parasutterella_excrementihominis	Peptostreptococcaceae_noname_unclassified	Prevotella_copri	Roseburia_hominis	Roseburia_intestinalis	Roseburia_inulinivorans	Roseburia_unclassified	Ruminococcaceae_bacterium_D16	Ruminococcus_bromii	Ruminococcus_gnavus	Ruminococcus_obeum	Ruminococcus_torques	Streptococcus_parasanguinis	Streptococcus_salivarius	Subdoligranulum_unclassified	Veillonella_atypica	Veillonella_dispar	Veillonella_parvula	Veillonella_unclassified
MSM79HCG	13	0	0	1483	186	3	0	0	0	2306	0	0	0	0	0	2872	0	0	0	0	0	0	0	18	0	0	0	0	0	1	0	0	0	0	42	0	1	0	3	113	0	3	2	0	0	269	1	0	320	0	50	1778	21	32	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	12	0	1	137	70	0	1	0	0	1	18	2	1	18	28	17	148	23
MSM79HCI	1873	0	0	1779	366	1	0	0	0	2288	0	0	0	0	0	1974	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	22	0	0	0	2	53	0	2	9	0	0	123	0	0	18	0	24	1176	0	5	0	0	0	0	0	0	2	0	0	0	11	0	0	3	0	4	0	7	2	131	29	0	0	3	0	9	0	0	59	2	1	5	5
MSM79HCK	399	0	0	2981	595	0	0	0	0	2016	0	0	0	0	0	2285	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	150	0	3	16	0	0	127	0	0	202	0	12	826	0	1	0	0	0	0	0	0	1	0	0	0	14	0	0	3	0	0	0	6	0	29	129	0	0	0	5	0	1	0	170	0	0	14	0
MSM79HCP	965	0	0	2510	394	0	4	0	0	1624	0	0	1	1	0	2355	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	7	90	1	5	7	0	0	179	0	0	373	0	26	923	0	18	0	0	0	0	0	0	0	0	14	0	17	0	0	7	0	4	0	85	25	93	0	0	0	0	0	15	2	0	194	1	1	32	9
MSM79HCR	11	0	0	559	119	0	0	0	0	6946	0	0	0	0	0	1103	0	1	0	0	0	0	0	2	0	0	147	0	0	0	0	0	0	0	1	0	0	0	18	18	2	3	9	13	0	132	1	0	255	0	31	371	0	22	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	2	87	19	80	0	0	0	0	0	1	0	14	4	0	22	1
MSM79HES	755	114	172	0	0	9	1	884	0	0	0	349	0	231	0	134	1099	1414	149	0	232	210	38	0	0	23	0	1	4	21	101	2	11	22	14	44	149	0	22	31	24	0	2	385	0	0	181	147	356	0	0	17	57	0	3	15	0	0	0	91	9	29	0	38	196	0	701	0	8	7	0	4	4	19	0	1	215	5	9	201	0	0	1016	0	0	0	0
MSM79HEU	4056	335	504	0	0	1	7	261	0	0	0	57	0	165	0	111	1381	1301	203	0	6	10	1	0	0	14	2	0	1	3	8	0	3	33	0	2	7	0	1	64	6	0	0	9	0	0	17	14	203	0	0	28	40	0	0	2	0	0	0	3	0	6	13	52	63	0	577	0	4	0	0	4	22	20	0	0	21	0	2	5	0	0	338	0	0	0	1
MSM79HEW	4559	319	508	0	0	8	0	419	0	0	0	157	0	101	0	74	768	575	30	0	30	19	6	0	0	14	0	0	1	2	30	0	3	27	3	8	19	0	1	154	19	0	0	58	0	0	19	29	203	0	0	23	40	0	0	4	0	0	0	2	4	17	23	47	230	0	535	0	4	0	0	25	18	6	0	0	63	0	4	16	0	0	762	0	0	0	0
MSM79HEY	27	38	62	0	0	1	0	426	0	0	0	69	0	815	0	134	1414	4500	191	0	2	1	2	0	0	78	0	0	0	0	18	0	1	0	0	0	1	0	0	76	5	0	0	0	1	0	8	9	861	0	0	231	10	1	0	0	2	0	0	0	0	2	0	54	64	1	670	0	17	6	0	12	39	13	0	0	5	0	0	18	0	0	88	10	1	6	3
MSM79HFW	0	2	88	825	188	0	16	204	34	16	2	0	206	75	0	104	3091	330	65	312	0	0	0	3	0	1	8	0	0	0	0	0	0	0	0	0	0	3	3	0	4	9	0	0	1	55	0	0	182	207	2	1470	0	2	0	0	0	0	6	0	0	1	0	88	11	30	9	141	1	0	0	84	33	0	0	1	16	0	13	54	0	0	782	6	0	1	6
