#OTU ID	Actinomyces_odontolyticus	Actinomyces_oris	Actinomyces_sp_HMSC035G02	Adlercreutzia_equolifaciens	Agathobaculum_butyriciproducens	Akkermansia_muciniphila	Alistipes_finegoldii	Alistipes_indistinctus	Alistipes_putredinis	Alistipes_shahii	Anaerostipes_hadrus	Anaerotruncus_colihominis	Asaccharobacter_celatus	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_clarus	Bacteroides_dorei	Bacteroides_eggerthii	Bacteroides_finegoldii	Bacteroides_fragilis	Bacteroides_intestinalis	Bacteroides_massiliensis	Bacteroides_ovatus	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Bacteroides_xylanisolvens	Barnesiella_intestinihominis	Bifidobacterium_adolescentis	Bifidobacterium_bifidum	Bifidobacterium_dentium	Bifidobacterium_longum	Bifidobacterium_pseudocatenulatum	Bilophila_wadsworthia	Blautia_obeum	Blautia_sp_CAG_257	Blautia_wexlerae	Butyricimonas_synergistica	Butyricimonas_virosa	Clostridium_bolteae	Clostridium_citroniae	Clostridium_clostridioforme	Clostridium_innocuum	Clostridium_leptum	Clostridium_sp_CAG_58	Clostridium_symbiosum	Collinsella_aerofaciens	Collinsella_stercoris	Coprobacter_fastidiosus	Coprococcus_catus	Coprococcus_comes	Desulfovibrio_piger	Dorea_formicigenerans	Dorea_longicatena	Eggerthella_lenta	Enterococcus_faecalis	Enterococcus_faecium	Erysipelatoclostridium_ramosum	Escherichia_coli	Eubacterium_eligens	Eubacterium_hallii	Eubacterium_ramulus	Eubacterium_rectale	Eubacterium_siraeum	Eubacterium_sp_CAG_180	Eubacterium_sp_CAG_38	Faecalibacterium_prausnitzii	Firmicutes_bacterium_CAG_83	Flavonifractor_plautii	Fusicatenibacter_saccharivorans	Gemmiger_formicilis	Gordonibacter_pamelaeae	Holdemanella_biformis	Hungatella_hathewayi	Intestinibacter_bartlettii	Intestinimonas_butyriciproducens	Klebsiella_pneumoniae	Lachnospira_pectinoschiza	Lactobacillus_fermentum	Lactobacillus_gasseri	Lawsonibacter_asaccharolyticus	Odoribacter_splanchnicus	Oscillibacter_sp_57_20	Oscillibacter_sp_CAG_241	Parabacteroides_distasonis	Parabacteroides_merdae	Paraprevotella_xylaniphila	Phascolarctobacterium_faecium	Prevotella_copri	Roseburia_faecis	Roseburia_hominis	Roseburia_intestinalis	Roseburia_inulinivorans	Rothia_mucilaginosa	Ruminococcus_bicirculans	Ruminococcus_bromii	Ruminococcus_gnavus	Ruminococcus_lactaris	Ruminococcus_torques	Ruthenibacterium_lactatiformans	Sellimonas_intestinalis	Streptococcus_anginosus_group	Streptococcus_gordonii	Streptococcus_oralis	Streptococcus_parasanguinis	Streptococcus_salivarius	Streptococcus_thermophilus	Streptococcus_vestibularis	Veillonella_parvula	[Collinsella]_massiliensis
Actinomyces_odontolyticus	1.0000	0.0099	0.0099	0.3267	0.6832	0.0396	0.4752	0.8515	0.0396	0.0099	0.0297	0.6436	0.5941	0.6832	0.8020	0.0495	0.8515	0.7723	0.4257	0.2277	0.0495	0.9208	0.9802	0.0099	0.5842	0.2673	0.3762	0.9604	0.0099	0.0099	0.7129	0.5941	0.0891	0.7426	0.1782	0.0693	0.6733	0.8317	0.9901	0.5446	0.0495	0.2673	0.0792	0.0198	0.4356	0.3663	0.0693	0.0396	0.9307	0.8416	0.3564	0.0297	0.4257	0.1386	0.0396	0.6634	0.0099	0.0990	0.0099	1.0000	0.7030	0.2178	0.7030	0.0396	0.6931	0.8515	0.9802	0.0297	0.5347	0.7723	0.0396	0.3564	0.8416	0.6931	0.0099	0.2772	0.9406	0.2277	0.1980	0.1386	0.0792	0.5545	0.0297	0.5842	0.2475	0.0792	0.1683	0.8911	0.0198	0.0792	0.0297	0.1485	0.2376	0.4356	0.0099	0.1980	0.0693	0.4653	0.7624	0.7921	0.2277	0.2178	0.1980	0.0297	0.0099	0.0099	0.0099	0.0099	0.0297	0.0396	0.0594
Actinomyces_oris	0.0099	1.0000	0.0099	0.1980	0.0297	0.5149	0.0495	0.1386	0.0099	0.0198	0.0099	0.1287	0.1188	0.0891	0.1287	0.8119	0.0297	0.1683	0.9901	0.5248	0.5149	0.4554	0.3168	0.0198	0.6139	0.0099	0.2673	0.6040	0.0594	0.0297	0.4851	0.5248	0.0099	0.4059	0.0396	0.9505	0.0099	0.5545	0.1683	0.7228	0.0198	0.0297	0.0198	0.0099	0.0594	0.3168	0.0099	0.0396	0.3366	0.7228	0.7426	0.1683	0.7822	0.6733	0.5347	0.3168	0.0099	0.0099	0.1386	0.0594	0.1089	0.3762	0.0594	0.0297	0.2079	0.2475	0.9307	0.0099	0.0594	0.5347	0.0396	0.0198	0.5941	0.1881	0.0099	0.1881	0.8812	0.0198	0.0495	0.0099	0.0099	0.2376	0.0198	0.0099	0.8614	0.0198	0.9406	0.3861	0.3168	0.7129	0.0099	0.9703	0.7327	0.8515	0.0396	0.0198	0.0594	0.0099	0.9802	0.3366	0.8416	0.0099	0.0198	0.0099	0.0297	0.0099	0.0099	0.0099	0.0099	0.5446	0.0099
Actinomyces_sp_HMSC035G02	0.0099	0.0099	1.0000	0.0495	0.6832	0.5842	0.8317	0.5743	0.2772	0.0099	0.3564	0.7426	0.2673	0.5743	0.2574	0.0792	0.5644	0.5446	0.9307	0.3465	0.4554	0.9307	0.2376	0.0495	0.2277	0.1980	0.2178	0.8119	0.0099	0.0495	0.8317	0.4752	0.0198	0.9307	0.5347	0.0099	0.4158	0.4455	0.0891	0.7228	0.0990	0.0792	0.1683	0.0099	0.0693	0.4356	0.0594	0.0891	0.9208	0.4356	1.0000	0.0396	0.0495	0.0297	0.1683	0.3168	0.0198	0.0990	0.0099	0.3960	0.9406	0.3366	0.0891	0.0297	0.8317	0.6931	0.8317	0.1089	0.2871	0.8416	0.1188	0.1485	1.0000	0.8218	0.0198	0.8020	0.4059	0.2475	0.5644	0.0297	0.2277	0.6139	0.0495	0.6040	0.3168	0.0099	0.0990	0.3861	0.0693	0.0198	0.0297	0.2772	0.6634	0.6832	0.0198	0.0792	0.0099	0.8317	0.6337	0.7822	0.3069	0.2079	0.7624	0.2178	0.1980	0.0198	0.0099	0.0099	0.0396	0.4455	0.0198
Adlercreutzia_equolifaciens	0.3267	0.1980	0.0495	1.0000	0.0099	0.1089	0.0198	0.3366	0.0495	0.7228	0.0297	0.0495	0.0099	0.2079	0.7129	0.5545	0.8119	0.3465	1.0000	0.7624	0.7525	0.5545	0.0594	0.2376	0.5545	0.9505	0.5050	0.2871	0.5149	0.0891	0.9802	0.5545	0.0396	0.4554	0.9901	0.4950	0.0297	0.4950	0.2178	0.4059	0.3663	0.0198	0.1584	0.1782	0.0297	0.4950	0.0396	0.2772	0.0792	0.6634	0.9010	0.5644	0.0594	0.6832	0.8119	0.0792	0.8614	0.2376	0.3465	0.2475	0.3762	0.5446	0.2376	0.7228	0.3267	0.9109	0.9010	0.0099	0.1287	0.9802	0.0891	0.0891	0.2574	0.5248	0.1386	0.2574	0.2970	0.4653	0.6832	0.0594	0.5446	0.4158	0.1485	0.0693	0.0891	0.5347	0.0396	0.2970	0.7624	0.7822	0.0099	0.9901	0.8416	0.8812	0.6832	0.0198	0.0099	0.0099	0.6733	0.5644	0.4059	0.0396	0.0099	0.0495	0.0297	0.4257	0.7129	0.4950	0.1980	0.4950	0.6139
Agathobaculum_butyriciproducens	0.6832	0.0297	0.6832	0.0099	1.0000	0.8812	0.4257	0.8911	0.2871	0.5644	0.0099	0.0099	0.0099	0.6436	0.5743	0.2970	0.8911	0.1188	0.2772	0.2871	0.4059	0.8713	0.1287	0.2178	0.6931	0.1485	0.9703	1.0000	0.9010	0.0297	0.0495	0.7426	0.0198	0.1386	0.7129	0.1683	0.0099	0.7624	0.7129	0.1089	0.0099	0.0099	1.0000	0.0099	0.4059	0.5941	0.0099	0.0297	0.1980	0.0990	0.8416	0.0594	0.0297	0.0495	0.1089	0.5149	0.0099	0.0099	0.6535	0.0396	0.6139	0.1287	0.1980	0.2772	0.0297	0.0099	0.5941	0.0099	0.1683	0.0990	0.0099	0.0198	0.3960	0.6832	0.0495	0.0495	0.6040	0.2376	0.1485	0.0792	0.0297	0.1485	0.6337	0.3663	0.4950	0.1287	0.2673	0.6139	0.0792	0.0891	0.0099	0.8416	0.6931	0.6733	0.5644	0.0198	0.0297	0.0099	0.8812	0.9703	0.1188	0.0099	0.0198	0.0693	0.0297	0.7624	0.1485	0.5248	0.1287	0.9208	0.9901
Akkermansia_muciniphila	0.0396	0.5149	0.5842	0.1089	0.8812	1.0000	0.0297	0.3267	0.3069	0.0099	0.6139	0.5644	0.1089	0.3663	0.5743	0.1386	0.1584	0.1188	0.1485	0.1089	0.8713	0.5644	0.5743	0.0495	0.4653	0.0495	0.0099	0.1584	0.9604	0.3861	0.7525	0.5149	0.4158	0.4059	0.0099	0.1980	0.1386	0.2277	0.8416	0.0099	0.7327	0.0792	0.1782	0.6238	0.0198	0.0099	0.9604	0.0693	0.3762	0.0396	0.0099	0.0990	0.4653	0.0891	0.0792	0.9109	0.1089	0.2178	0.9703	0.1089	0.1485	0.0495	0.1188	0.0099	0.0594	0.0396	0.0495	0.1584	0.4653	0.8911	0.1584	0.0594	0.9505	0.5842	0.0990	0.0990	0.0099	0.8218	0.5743	0.8020	0.9802	0.2871	0.4653	0.1881	0.4653	0.0297	0.2376	0.5149	0.0099	0.0297	0.5941	0.4158	0.8911	0.3663	0.2178	0.7129	0.7426	0.4455	0.9109	0.0396	0.8713	0.3564	0.5842	0.0099	0.2079	0.4059	0.4059	0.4851	0.7624	0.5149	0.5941
Alistipes_finegoldii	0.4752	0.0495	0.8317	0.0198	0.4257	0.0297	1.0000	0.0099	0.0099	0.4950	0.8713	0.4752	0.0297	0.2772	0.0099	0.8317	0.0594	0.0495	0.3465	0.5941	0.7327	0.0297	0.1188	0.0099	0.6832	0.0198	0.2871	0.1089	0.2079	0.2475	0.5149	0.0792	0.6832	0.2376	0.7624	0.0099	0.0891	0.0297	0.1089	0.0495	0.0198	0.1287	0.8020	0.2574	0.3069	0.5842	0.4851	0.9010	0.8317	0.0099	0.0099	0.0198	0.0099	0.0297	0.0099	0.3069	0.0396	0.3366	0.4257	0.0891	0.0396	0.0693	0.1980	0.0495	0.2772	0.0198	0.0297	0.3465	0.4554	0.4356	0.3564	0.2376	0.1881	0.4158	0.9703	0.1386	0.0099	0.9010	0.0891	0.6931	0.0297	0.5347	0.1485	0.7129	0.8416	0.0891	0.3564	0.6832	1.0000	0.0990	0.2475	0.2772	0.0396	0.1188	0.7426	0.9010	0.2574	0.0396	0.4851	0.0198	0.0099	0.0693	0.0099	0.1683	0.0198	0.1584	0.0099	0.5842	0.9802	0.3069	0.4455
Alistipes_indistinctus	0.8515	0.1386	0.5743	0.3366	0.8911	0.3267	0.0099	1.0000	0.1584	0.1188	0.5248	0.0198	0.2079	0.5149	0.2772	0.1584	0.0099	0.3564	0.4257	0.3960	0.0099	0.0495	0.1386	0.7822	0.5347	0.7426	0.8119	0.8614	0.2970	0.2475	0.0495	0.5644	0.8614	0.0891	0.8911	0.2376	0.9109	0.0198	0.0099	0.0297	0.4851	0.9208	0.4158	0.1485	0.0891	0.5743	0.8020	0.0198	0.1188	0.2475	0.0297	0.0594	0.5644	0.0099	0.0198	0.2772	0.5545	0.4554	0.5644	0.1386	0.0990	0.1980	0.3069	0.0594	0.7921	0.0495	0.0495	0.0990	0.1980	0.6337	0.1485	0.0792	0.2277	0.0495	0.0594	0.9109	0.0198	0.1386	0.1089	0.6733	0.5743	0.1188	0.1287	0.2574	0.7030	0.2178	0.3366	0.4653	0.3663	0.2970	0.0792	0.6931	0.0297	0.0891	0.3267	0.2574	0.5743	0.8812	0.3069	0.0099	0.0396	0.4950	0.1881	0.2178	0.1683	0.1584	0.0693	0.9208	0.2574	0.5644	0.0594
Alistipes_putredinis	0.0396	0.0099	0.2772	0.0495	0.2871	0.3069	0.0099	0.1584	1.0000	0.0297	0.5743	0.2970	0.0891	0.8911	0.0792	0.5149	0.4752	0.0297	0.8317	0.9208	0.9307	0.0198	0.7129	0.0693	0.0198	0.7822	0.3366	0.7129	0.0099	0.0099	0.9901	0.0792	0.5446	0.1683	0.6139	0.9703	0.0297	0.4554	0.0594	0.7327	0.0891	0.0198	0.0891	0.1980	0.7723	0.4851	0.0495	0.0198	0.0990	0.5941	0.1089	0.9901	0.0792	0.4950	0.5347	0.4851	0.0594	0.0396	0.0099	0.0990	0.0099	0.9010	0.3267	0.0396	0.8614	0.9802	0.0693	0.0396	0.2475	0.4950	0.0099	0.0198	0.6238	0.0693	0.0099	0.1782	0.1386	0.3861	0.9802	0.1881	0.0495	0.0099	0.0198	0.0297	0.0891	0.2376	0.7822	0.5149	0.2376	0.8416	0.9307	0.4059	0.9406	0.0099	0.3366	0.5941	0.4950	0.0495	0.2772	0.3663	0.5743	0.9802	0.0099	0.0198	0.0099	0.8515	0.4752	0.4455	0.2079	0.0198	0.0990
Alistipes_shahii	0.0099	0.0198	0.0099	0.7228	0.5644	0.0099	0.4950	0.1188	0.0297	1.0000	0.9406	0.0198	0.9901	0.2376	0.8119	0.6436	0.4059	0.0099	0.6337	0.7921	0.6733	0.5347	0.0396	0.0099	0.1386	0.0099	0.0198	0.5941	0.0099	0.8713	0.7030	0.2871	0.2277	0.7129	0.1980	0.5347	0.2079	0.2772	0.5248	0.0099	0.9307	0.8218	0.8812	0.0891	0.0990	0.7624	0.4752	0.2475	0.8713	0.0693	0.0594	0.1980	0.4653	0.0099	0.1485	0.3069	0.5644	0.2574	0.0198	0.1386	0.5446	0.3069	0.2475	0.8416	0.7426	0.1188	0.0396	0.4653	0.0297	0.8119	0.7921	0.4455	0.8713	0.1287	0.1188	0.0792	0.3564	0.3861	0.0297	0.0396	0.0297	0.6535	0.0198	0.3564	0.4752	0.0099	0.0198	0.1188	0.0297	0.0099	0.9010	0.6634	0.2178	0.3069	0.0792	0.3861	0.1980	0.5248	0.4653	0.3465	0.9010	0.3366	0.2673	0.0396	0.0396	0.0099	0.0099	0.1188	0.8614	0.2475	0.3861
