species,betweenness,degree,eigenvector,keystone_score,condition
Blautia_wexlerae,0.011026192182151102,0.5660377358490566,0.22006259334719758,0.21933693551523203,MetS
Oscillibacter_sp_57_20,0.008120372581800811,0.5786163522012578,0.20080652732554735,0.21780639741638724,MetS
Oscillibacter_sp_CAG_241,0.01894753602420189,0.5220125786163522,0.1564464016094589,0.1973668219188984,MetS
Streptococcus_salivarius,0.010986386434201098,0.5157232704402516,0.1781736963399536,0.19584491361716672,MetS
Barnesiella_intestinihominis,0.013573760050951357,0.5157232704402516,0.1709511941504174,0.19569409998763462,MetS
Alistipes_shahii,0.007563092110500756,0.5157232704402516,0.18281709086205467,0.19506194535973678,MetS
Odoribacter_splanchnicus,0.016638802643101663,0.5031446540880503,0.1752736223469233,0.19431752201735059,MetS
Bifidobacterium_pseudocatenulatum,0.015603853196401559,0.4968553459119497,0.16506204551944387,0.18987093947567446,MetS
Collinsella_stercoris,0.006528142663800652,0.49056603773584906,0.17343446784886954,0.18512077622242895,MetS
Bacteroides_finegoldii,0.01942520499960194,0.4779874213836478,0.158728100989299,0.18485444911275511,MetS
Faecalibacterium_prausnitzii,0.020738794681952073,0.48427672955974843,0.12163448137407178,0.1799793124837149,MetS
Prevotella_copri,0.016678608391051668,0.4528301886792453,0.15426733207788046,0.17504182721487552,MetS
Blautia_obeum,0.006368919672000636,0.4591194968553459,0.1655968764025567,0.17403968417311544,MetS
Ruminococcus_gnavus,0.013374731311201336,0.4528301886792453,0.13983600452887462,0.17050362316514917,MetS
Anaerostipes_hadrus,0.017753363585701773,0.4276729559748428,0.16174034423150632,0.16952663743160498,MetS
Bacteroides_ovatus,0.015404824456651539,0.42138364779874216,0.1453932941609957,0.16319616540014756,MetS
Streptococcus_parasanguinis,0.013374731311201336,0.4339622641509434,0.13071487563025766,0.16301902002693522,MetS
Dorea_formicigenerans,0.012777645091951277,0.41509433962264153,0.15899910854683458,0.162716946142135,MetS
Bacteroides_uniformis,0.012061141628851205,0.4276729559748428,0.1376948969018478,0.16187143698724799,MetS
Parabacteroides_merdae,0.01751452909800175,0.4088050314465409,0.1485816574722472,0.1611151054774126,MetS
Eubacterium_hallii,0.0023883448770002386,0.41509433962264153,0.16927026079354598,0.15957652648400178,MetS
Collinsella_aerofaciens,0.010150465727251014,0.41509433962264153,0.14960502919705249,0.15952454058982846,MetS
Bacteroides_faecis,0.007165034631000716,0.42138364779874216,0.14359314304049514,0.15871624026322204,MetS
Eggerthella_lenta,0.01743491760210174,0.42138364779874216,0.11651588914132001,0.1584357309689375,MetS
Gordonibacter_pamelaeae,0.004577661014250457,0.41509433962264153,0.1348713998026535,0.15379141235444838,MetS
Alistipes_putredinis,0.027983440808852796,0.389937106918239,0.10701726475062552,0.1523763054300232,MetS
Actinomyces_odontolyticus,0.011065997930101105,0.4088050314465409,0.1170607706327731,0.15158666252556743,MetS
Eubacterium_eligens,0.0024679563729002466,0.4025157232704403,0.13271671828337003,0.14853203882425622,MetS
Collinsella_intestinalis,0.015882493432051586,0.389937106918239,0.11250215462988411,0.14742280971747432,MetS
Gemella_sanguinis,0.010667940450601066,0.37735849056603776,0.10676516331307809,0.13989455005772747,MetS
Bacteroides_vulgatus,0.007563092110500756,0.37106918238993714,0.11208438965657946,0.1375191787035474,MetS
Agathobaculum_butyriciproducens,0.015245601464851523,0.35220125786163525,0.11998886908226526,0.1372809519073694,MetS
Eubacterium_sp_CAG_274,0.01990287397500199,0.32704402515723274,0.10608901289737657,0.12928244711414613,MetS
