species,betweenness,degree,eigenvector,keystone_score,condition
Faecalibacterium_prausnitzii,0.0009315323707498836,0.7017543859649122,0.17357065606469263,0.24570621318778715,ICI
Parasutterella_excrementihominis,0.0020183201366247476,0.6842105263157894,0.17831918427967933,0.24193615481898506,ICI
Proteobacteria_bacterium_CAG_139,0.01319670858562335,0.6578947368421052,0.16828359464588366,0.23762349427461996,ICI
Roseburia_faecis,0.006365471200124204,0.6754385964912281,0.15479291608611553,0.23677289776465363,ICI
Fusicatenibacter_saccharivorans,0.0037261294829995344,0.6403508771929824,0.18298917353224853,0.2305661626058442,ICI
Bacteroides_uniformis,0.004036640273249495,0.6403508771929824,0.18048066002147853,0.2302197152988152,ICI
Bilophila_wadsworthia,0.009160068312373855,0.631578947368421,0.15298175899139196,0.2246500701649916,ICI
Dorea_longicatena,0.004812917248874398,0.6140350877192982,0.17025156350653792,0.22066729764153423,ICI
Bacteroides_thetaiotaomicron,0.00520105573668685,0.6228070175438596,0.15265762462641774,0.21997415805678483,ICI
Bacteroides_ovatus,0.007607514361124049,0.6140350877192982,0.15685160921028693,0.21938460533840887,ICI
Anaerostipes_hadrus,0.006831237385499146,0.6140350877192982,0.1546445414980607,0.21855505330815114,ICI
Eubacterium_eligens,0.0035708740878745535,0.631578947368421,0.13095372994926655,0.21744986724431686,ICI
Bifidobacterium_longum,0.006675981990374166,0.6140350877192982,0.14285848110247937,0.2161202135314724,ICI
Ruthenibacterium_lactatiformans,0.006365471200124204,0.6140350877192982,0.1080601697992305,0.20900529587569763,ICI
Agathobaculum_butyriciproducens,0.0012420431609998447,0.5789473684210527,0.1612011771867765,0.20654546754417102,ICI
Eubacterium_hallii,0.00263934171712467,0.5789473684210527,0.1563509720216476,0.20627407578920764,ICI
Turicimonas_muris,0.017233348858872847,0.5614035087719298,0.13680256488589398,0.20439824003819418,ICI
Collinsella_aerofaciens,0.0032603632976245926,0.5701754385964912,0.15802227587014708,0.20428726840178907,ICI
Dorea_formicigenerans,0.0013972985561248254,0.5701754385964912,0.15879692739235196,0.20351066633548018,ICI
Alistipes_finegoldii,0.006365471200124204,0.5701754385964912,0.1395380823807496,0.2021429836551594,ICI
Bacteroides_vulgatus,0.004036640273249495,0.5701754385964912,0.14474429261008792,0.20201981023758972,ICI
