species,betweenness,degree,eigenvector,keystone_score,condition
Veillonella_parvula,0.016963064295485636,0.5581395348837209,0.23438445084168646,0.2228002827811964,Healthy
Flavonifractor_plautii,0.02051983584131327,0.5348837209302325,0.21438267563106403,0.2136015693259392,Healthy
Alistipes_putredinis,0.011764705882352941,0.5116279069767442,0.2104826112880687,0.20146724729181348,Healthy
Alistipes_onderdonkii,0.025444596443228454,0.5,0.15522771522341883,0.19376784126629798,Healthy
Veillonella_unclassified,0.003009575923392613,0.4883720930232558,0.22867474888007727,0.19375136564468848,Healthy
Barnesiella_intestinihominis,0.0454172366621067,0.46511627906976744,0.13925189445573108,0.1900938809431298,Healthy
Bacteroides_caccae,0.03365253077975376,0.46511627906976744,0.16665379654738174,0.18969190842028347,Healthy
Clostridium_symbiosum,0.007113543091655267,0.46511627906976744,0.22767767397094374,0.18862719006094664,Healthy
Veillonella_dispar,0.007113543091655267,0.46511627906976744,0.21717470977605582,0.18652659722196904,Healthy
Ruminococcus_gnavus,0.014637482900136799,0.46511627906976744,0.19370331903803892,0.18559428897860641,Healthy
Escherichia_coli,0.01094391244870041,0.45348837209302323,0.1888791945683433,0.17929430676592584,Healthy
Clostridium_hathewayi,0.019425444596443228,0.43023255813953487,0.19162053515114438,0.17710659677031096,Healthy
Bacteroides_uniformis,0.012038303693570451,0.45348837209302323,0.16940634513531608,0.17594693250175542,Healthy
Bifidobacterium_longum,0.026265389876880985,0.4418604651162791,0.14207042934084269,0.17410492034149275,Healthy
Alistipes_shahii,0.012859097127222982,0.4418604651162791,0.16232855556841916,0.17145339921217906,Healthy
Odoribacter_splanchnicus,0.01039671682626539,0.4418604651162791,0.1604296590683215,0.16984242976168074,Healthy
Haemophilus_parainfluenzae,0.005198358413132695,0.41860465116279066,0.17808545546074553,0.16379766564755266,Healthy
Clostridium_bolteae,0.0038303693570451436,0.4069767441860465,0.1890273017654707,0.16181366828743066,Healthy
Clostridium_clostridioforme,0.006566347469220246,0.3953488372093023,0.16490980381102355,0.15486978565960552,Healthy
Bacteroides_vulgatus,0.017783857729138167,0.3953488372093023,0.12399015377831524,0.15229461078302284,Healthy
Clostridiales_bacterium_1_7_47FAA,0.007387140902872777,0.37209302325581395,0.164961617714619,0.1483138009711044,Healthy
Alistipes_finegoldii,0.02270861833105335,0.38372093023255816,0.10210043449580714,0.14689067513445553,Healthy
Parabacteroides_merdae,0.029274965800273597,0.38372093023255816,0.07596280392625869,0.14494632275515598,Healthy
Ruminococcus_obeum,0.018331053351573187,0.37209302325581395,0.11404360003273746,0.14360215365907827,Healthy
Veillonella_atypica,0.024623803009575923,0.3488372093023256,0.12969276584093162,0.14290161746367197,Healthy
Bacteroides_cellulosilyticus,0.008207934336525308,0.38372093023255816,0.09638522245859021,0.13849729072974815,Healthy
Eubacterium_eligens,0.008755129958960328,0.3488372093023256,0.11515226726513243,0.13205918122320434,Healthy
Roseburia_intestinalis,0.016415868673050615,0.3488372093023256,0.0890219137936072,0.13066347988594443,Healthy
Eubacterium_siraeum,0.013406292749658003,0.3488372093023256,0.09269741182601486,0.12989379153072966,Healthy
