species,betweenness,degree,eigenvector,keystone_score,condition
Bacteroides_ovatus,0.011764705882352941,0.5,0.15274059047956134,0.18643047103708874,UC
Veillonella_unclassified,0.008207934336525308,0.46511627906976744,0.1885356975973657,0.181345990408666,UC
Bilophila_unclassified,0.018604651162790697,0.46511627906976744,0.15275000125763927,0.17938720955385343,UC
Bacteroides_uniformis,0.02188782489740082,0.46511627906976744,0.1410358439353754,0.17868596495670572,UC
Ruminococcus_gnavus,0.001094391244870041,0.46511627906976744,0.19204982323528588,0.17849204399042243,UC
Clostridium_asparagiforme,0.014227086183310533,0.46511627906976744,0.15862075578507584,0.17837257796960065,UC
Collinsella_aerofaciens,0.014227086183310533,0.46511627906976744,0.15687736124597998,0.1780238990617815,UC
Flavonifractor_plautii,0.012448700410396717,0.45348837209302323,0.1540356014045684,0.17307798211401898,UC
Clostridium_clostridioforme,0.009165526675786594,0.45348837209302323,0.1576031208852421,0.17214989914284867,UC
Parabacteroides_merdae,0.013679890560875513,0.4418604651162791,0.15317769955383748,0.17003362472608896,UC
Clostridium_bolteae,0.005745554035567715,0.4418604651162791,0.16746526117558308,0.16892396878778418,UC
Veillonella_dispar,0.01121751025991792,0.41860465116279066,0.18050942248220012,0.16729203497523618,UC
Coprococcus_comes,0.005198358413132695,0.4418604651162791,0.14896998682539123,0.1649513161065283,UC
Veillonella_atypica,0.01149110807113543,0.4069767441860465,0.17455555158954966,0.1627496876092916,UC
Lachnospiraceae_bacterium_5_1_63FAA,0.021819425444596443,0.43023255813953487,0.11068746085551988,0.16211697233526265,UC
Clostridiales_bacterium_1_7_47FAA,0.008755129958960328,0.41860465116279066,0.14911946250869085,0.15978285283005553,UC
Clostridium_leptum,0.007934336525307797,0.41860465116279066,0.14663058100709367,0.1588746798129098,UC
Bacteroides_cellulosilyticus,0.005471956224350205,0.43023255813953487,0.13288973190003528,0.15838369193404261,UC
Veillonella_parvula,0.0013679890560875513,0.4069767441860465,0.17791902864010053,0.15836082351187783,UC
Bacteroides_fragilis,0.01012311901504788,0.41860465116279066,0.13603440830174673,0.15784983651671047,UC
Parabacteroides_distasonis,0.01094391244870041,0.4069767441860465,0.1418987769521572,0.1559447348705956,UC
Clostridium_bartlettii,0.017236662106703146,0.4069767441860465,0.12614398182480696,0.15594015067412692,UC
Alistipes_onderdonkii,0.012859097127222982,0.3953488372093023,0.13568496722739135,0.15217119317188044,UC
Lachnospiraceae_bacterium_7_1_58FAA,0.015868673050615595,0.3953488372093023,0.12269122607202179,0.15107723290250286,UC
Roseburia_intestinalis,0.011764705882352941,0.3953488372093023,0.12054512318927721,0.1485960287418226,UC
Eubacterium_siraeum,0.01094391244870041,0.38372093023255816,0.13268689700222297,0.14712561469456226,UC
Alistipes_shahii,0.0035567715458276333,0.38372093023255816,0.14798671507861916,0.1464920078584051,UC
Streptococcus_parasanguinis,0.009575923392612859,0.37209302325581395,0.13772956502312808,0.14396178167767623,UC
Clostridium_symbiosum,0.008755129958960328,0.37209302325581395,0.13028638502314296,0.14206274896085294,UC
Dialister_invisus,0.004103967168262654,0.37209302325581395,0.12820702605851284,0.1393212957725781,UC
Bacteroides_stercoris,0.005471956224350205,0.36046511627906974,0.1377876417756302,0.13843304135102208,UC
Barnesiella_intestinihominis,0.010259917920656635,0.36046511627906974,0.10707006825695906,0.13468350749544106,UC
Dorea_longicatena,0.02243502051983584,0.3488372093023256,0.0922354274523059,0.13431575854107677,UC
Haemophilus_parainfluenzae,0.009575923392612859,0.3488372093023256,0.12335847869813976,0.13411082022663207,UC
