species,betweenness,degree,eigenvector,keystone_score,condition
Faecalibacterium_prausnitzii,0.005170975813177648,0.5272727272727272,0.25179606372792884,0.21112651883399278,MDR
Roseburia_faecis,0.012844036697247707,0.4636363636363636,0.1972868168851942,0.18497029081657176,MDR
Ruminococcus_gnavus,0.013678065054211843,0.44545454545454544,0.19536548244321805,0.17954849265211315,MDR
Gemmiger_formicilis,0.006588824020016681,0.44545454545454544,0.20343070858038284,0.17761691736244856,MDR
Clostridium_innocuum,0.0010008340283569643,0.41818181818181815,0.20546965813388746,0.16704889409550142,MDR
Collinsella_aerofaciens,0.011342785654712261,0.42727272727272725,0.16002587632527304,0.16585838627422891,MDR
Dorea_formicigenerans,0.022685571309424522,0.40909090909090906,0.1519029850788315,0.16445065539775128,MDR
Ruminococcus_bromii,0.018515429524603836,0.41818181818181815,0.14093493510132968,0.1628992472371133,MDR
Clostridium_bolteae,0.011676396997497914,0.39999999999999997,0.17800424147204885,0.1614390467931587,MDR
Dorea_longicatena,0.007506255212677232,0.40909090909090906,0.1708665527281717,0.16065371087924568,MDR
Hungatella_hathewayi,0.011926605504587157,0.39999999999999997,0.17180674978725546,0.16032465270974466,MDR
Sellimonas_intestinalis,0.004503753127606339,0.3818181818181818,0.17543330037910276,0.15188399118507825,MDR
Fusicatenibacter_saccharivorans,0.003669724770642202,0.3818181818181818,0.1656890851724709,0.1495181339652698,MDR
Actinomyces_oris,0.02602168473728107,0.3818181818181818,0.1086007377590726,0.1492764444659096,MDR
Coprococcus_catus,0.012176814011676397,0.3818181818181818,0.12729060075721338,0.1460919817027354,MDR
Coprococcus_comes,0.008673894912427023,0.36363636363636365,0.15192249260845883,0.14381235506881435,MDR
Eubacterium_hallii,0.003336113427856547,0.36363636363636365,0.16445601330663895,0.14365016846616516,MDR
Eubacterium_sp_CAG_180,0.017097581317764805,0.36363636363636365,0.12322179773374191,0.14228405929653987,MDR
Eggerthella_lenta,0.007339449541284404,0.35454545454545455,0.14996866885251373,0.14002709490478132,MDR
Clostridium_citroniae,0.013344453711426188,0.34545454545454546,0.14556491372344366,0.13942157323676546,MDR
Anaerostipes_hadrus,0.014845704753961636,0.34545454545454546,0.14094307716072757,0.13924783144548997,MDR
Enterococcus_faecium,0.012093411175979984,0.34545454545454546,0.12915773638016587,0.1355146165003868,MDR
Blautia_sp_CAG_257,0.007673060884070058,0.34545454545454546,0.13950238999309145,0.13537337207701694,MDR
Clostridium_symbiosum,0.00817347789824854,0.33636363636363636,0.14571725570268393,0.13413928099875197,MDR
Eubacterium_rectale,0.004336947456213511,0.34545454545454546,0.1341919914769136,0.13264323565985311,MDR
Clostridium_clostridioforme,0.013177648040033362,0.32727272727272727,0.11972614440403317,0.1287158710826415,MDR
Ruminococcus_bicirculans,0.009674728940783988,0.3181818181818182,0.11910707822200044,0.12411332556933753,MDR
Butyricimonas_virosa,0.010258548790658883,0.32727272727272727,0.09618340406966983,0.12254777339108158,MDR
Flavonifractor_plautii,0.004670558798999166,0.3181818181818182,0.12058686842446611,0.12190719853893825,MDR
Prevotella_copri,0.003836530442035029,0.33636363636363636,0.09539042383874646,0.12190544089785771,MDR
Oscillibacter_sp_57_20,0.004670558798999166,0.3181818181818182,0.11690705253068104,0.12117123536018123,MDR
Agathobaculum_butyriciproducens,0.01901584653878232,0.3,0.10768192717490513,0.12104430870437219,MDR
Blautia_obeum,0.005170975813177648,0.3090909090909091,0.12747306766356367,0.12080737416657429,MDR
Gordonibacter_pamelaeae,0.00633861551292744,0.3,0.12744905260902997,0.11865911827826972,MDR
Streptococcus_salivarius,0.003836530442035029,0.32727272727272727,0.08274793765600857,0.1166496709340374,MDR
Alistipes_finegoldii,0.012593828190158465,0.3090909090909091,0.07478995051807408,0.11398217692596678,MDR
Ruminococcus_torques,0.011342785654712261,0.3,0.084668882092113,0.11260516924577872,MDR
Ruthenibacterium_lactatiformans,0.0053377814845704755,0.2909090909090909,0.10608017012108877,0.11115765203923025,MDR
Bacteroides_stercoris,0.017097581317764805,0.3,0.05693829012512337,0.10993644868390708,MDR
Enterococcus_faecalis,0.016680567139282735,0.2727272727272727,0.09509785601372404,0.10917803659056798,MDR
Erysipelatoclostridium_ramosum,0.0071726438698915766,0.2818181818181818,0.10395706621911353,0.10892318972422303,MDR
Alistipes_putredinis,0.010508757297748124,0.2909090909090909,0.08136662855227882,0.10880043163205709,MDR
Bifidobacterium_adolescentis,0.012176814011676397,0.2727272727272727,0.08797261104573517,0.10550111103316703,MDR
Lactobacillus_fermentum,0.011175979983319434,0.2818181818181818,0.06942260430652938,0.10401796539842012,MDR
Bacteroides_uniformis,0.006588824020016681,0.2818181818181818,0.06522618221345841,0.10088510299815456,MDR
Bacteroides_cellulosilyticus,0.01201000834028357,0.2545454545454545,0.08918906756169981,0.10020645404611811,MDR
Clostridium_leptum,0.021017514595496247,0.24545454545454545,0.07962980673661257,0.10007108228143428,MDR
Streptococcus_oralis,0.009674728940783988,0.2636363636363636,0.061271230684940864,0.09618251969828925,MDR
Streptococcus_parasanguinis,0.004503753127606339,0.2636363636363636,0.06506592359134697,0.09435597037298166,MDR
Bacteroides_ovatus,0.0053377814845704755,0.24545454545454545,0.0895462392965486,0.0942145022379586,MDR
Intestinimonas_butyriciproducens,0.011009174311926606,0.23636363636363636,0.07582213322631455,0.09157810471031712,MDR
Veillonella_parvula,0.007839866555462887,0.2545454545454545,0.05047836159778534,0.09037924196092487,MDR
Actinomyces_odontolyticus,0.013010842368640535,0.23636363636363636,0.06072994925585384,0.08956050194458194,MDR
Alistipes_shahii,0.006005004170141785,0.2545454545454545,0.04815905262503203,0.08899794897371366,MDR
Bacteroides_thetaiotaomicron,0.00316930775646372,0.22727272727272727,0.07601428599694114,0.08496932925943826,MDR
Anaerotruncus_colihominis,0.012760633861551293,0.21818181818181817,0.0636751206795804,0.08456988652123718,MDR
Odoribacter_splanchnicus,0.012176814011676397,0.22727272727272727,0.04330279188676559,0.08293078356500949,MDR
Streptococcus_anginosus_group,0.009674728940783988,0.22727272727272727,0.048569898041937176,0.08273316226059761,MDR
Coprobacter_fastidiosus,0.00950792326939116,0.21818181818181817,0.05737042504171408,0.08168259209758384,MDR
Streptococcus_vestibularis,0.006505421184320267,0.21818181818181817,0.06436912469267503,0.08158108098524058,MDR
Bacteroides_vulgatus,0.008673894912427023,0.21818181818181817,0.05271486384288341,0.08033446567933564,MDR
Streptococcus_gordonii,0.012510425354462052,0.21818181818181817,0.04167128381627295,0.08004401489503107,MDR
Roseburia_hominis,0.00950792326939116,0.19999999999999998,0.06860010803583677,0.07847398324186293,MDR
