species,disease,causal_ace,causal_sig
Prevotella_sp_885,rCDI,,
Prevotella_sp_CAG_279,rCDI,0.10543,0.0
Prevotella_sp_CAG_520,rCDI,,
Roseburia_sp_CAG_471,rCDI,0.01934,0.0
Ruminococcus_sp_CAG_330,rCDI,-0.04925,0.0
Anaerotruncus_colihominis,rCDI,,
Bacteroides_xylanisolvens,rCDI,0.21463,1.0
Clostridium_lavalense,rCDI,,
Clostridium_sp_CAG_299,rCDI,,
Dielma_fastidiosa,rCDI,,
Intestinimonas_butyriciproducens,rCDI,,
Parasutterella_excrementihominis,rCDI,0.17896,0.0
Proteobacteria_bacterium_CAG_139,rCDI,-0.08256,0.0
Turicimonas_muris,rCDI,,
Alistipes_onderdonkii,rCDI,,
Anaerotignum_lactatifermentans,rCDI,,
Bacteroides_faecis,rCDI,0.16981,1.0
Coprobacter_fastidiosus,rCDI,,
Firmicutes_bacterium_CAG_94,rCDI,,
Lactobacillus_rhamnosus,rCDI,,
Lawsonibacter_asaccharolyticus,rCDI,0.01756,1.0
Parabacteroides_merdae,rCDI,0.0927,0.0
Alistipes_shahii,rCDI,0.3263,1.0
Butyricimonas_virosa,rCDI,,
Butyrivibrio_sp_CAG_318,rCDI,,
Firmicutes_bacterium_CAG_170,rCDI,,
Odoribacter_splanchnicus,rCDI,0.13157,0.0
Olsenella_scatoligenes,rCDI,-0.00604,0.0
Parabacteroides_goldsteinii,rCDI,,
Parabacteroides_johnsonii,rCDI,-0.07826,0.0
Ruminococcus_sp_CAG_563,rCDI,,
Sutterella_parvirubra,rCDI,,
Massiliomicrobiota_timonensis,rCDI,,
Roseburia_sp_CAG_182,rCDI,0.0358,0.0
Rhodococcus_erythropolis,rCDI,,
Alistipes_inops,rCDI,0.28778,1.0
Bacteroides_galacturonicus,rCDI,,
Bacteroides_pectinophilus,rCDI,,
Clostridium_sp_CAG_242,rCDI,-0.04769,0.0
Clostridium_sp_CAG_253,rCDI,0.01031,1.0
Phascolarctobacterium_faecium,rCDI,0.02561,0.0
Roseburia_sp_CAG_303,rCDI,-0.00039,0.0
Roseburia_sp_CAG_309,rCDI,,
Veillonella_parvula,rCDI,-0.01881,1.0
Haemophilus_parainfluenzae,rCDI,0.01833,1.0
Klebsiella_variicola,rCDI,,
Veillonella_dispar,rCDI,,
Enterobacter_cloacae_complex,rCDI,,
Agathobaculum_butyriciproducens,MetS,0.22177,1.0
Akkermansia_muciniphila,MetS,0.01261,0.0
Alistipes_putredinis,MetS,0.07038,0.0
Alistipes_shahii,MetS,0.3263,1.0
Anaerostipes_hadrus,MetS,0.36766,1.0
Anaerotruncus_sp_CAG_528,MetS,-0.06274,0.0
Bacteroides_cellulosilyticus,MetS,0.07076,0.0
Bacteroides_finegoldii,MetS,0.08317,0.0
Bacteroides_galacturonicus,MetS,,
Bacteroides_massiliensis,MetS,0.15209,0.0
Bacteroides_ovatus,MetS,-0.13762,0.0
Bacteroides_salyersiae,MetS,0.05019,0.0
Bacteroides_thetaiotaomicron,MetS,-0.0114,0.0
Bacteroides_uniformis,MetS,0.19747,1.0
Bacteroides_vulgatus,MetS,-0.03675,0.0
Barnesiella_intestinihominis,MetS,0.33155,1.0
Bifidobacterium_animalis,MetS,,
Bifidobacterium_longum,MetS,0.01434,0.0
Blautia_obeum,MetS,0.19502,1.0
Blautia_wexlerae,MetS,0.30042,1.0
Butyrivibrio_crossotus,MetS,,
Clostridium_sp_CAG_411,MetS,,
Clostridium_sp_CAG_58,MetS,0.01147,0.0
Clostridium_sp_CAG_964,MetS,,
Collinsella_aerofaciens,MetS,0.04539,0.0
Coprococcus_comes,MetS,0.03887,0.0
Desulfovibrio_piger,MetS,-0.08739,0.0
Dorea_formicigenerans,MetS,0.20746,1.0
Dorea_longicatena,MetS,-0.00391,0.0
Eubacterium_eligens,MetS,0.15343,0.0
Eubacterium_hallii,MetS,0.16673,1.0
Eubacterium_ramulus,MetS,0.36631,1.0
Eubacterium_rectale,MetS,0.03024,0.0
Eubacterium_sp_CAG_38,MetS,0.09258,0.0
Faecalibacterium_prausnitzii,MetS,-0.00954,0.0
Flavonifractor_plautii,MetS,-0.03545,0.0
Fusicatenibacter_saccharivorans,MetS,0.21079,1.0
Gemmiger_formicilis,MetS,0.03995,0.0
Lachnospira_pectinoschiza,MetS,-0.17826,1.0
Odoribacter_splanchnicus,MetS,0.13157,0.0
Oscillibacter_sp_57_20,MetS,0.29901,1.0
Oscillibacter_sp_CAG_241,MetS,0.06981,0.0
Parabacteroides_distasonis,MetS,-0.04499,0.0
Parabacteroides_merdae,MetS,0.0927,0.0
Paraprevotella_clara,MetS,,
Paraprevotella_xylaniphila,MetS,0.02399,0.0
Parasutterella_excrementihominis,MetS,0.17896,0.0
Phascolarctobacterium_faecium,MetS,0.02561,0.0
Proteobacteria_bacterium_CAG_139,MetS,-0.08256,0.0
Roseburia_faecis,MetS,-0.0184,0.0
Roseburia_hominis,MetS,0.14261,0.0
Roseburia_intestinalis,MetS,0.09353,0.0
Roseburia_inulinivorans,MetS,0.21928,1.0
Roseburia_sp_CAG_303,MetS,-0.00039,0.0
Roseburia_sp_CAG_309,MetS,,
Ruminococcus_bicirculans,MetS,0.10403,0.0
Ruminococcus_lactaris,MetS,-0.074,0.0
Ruminococcus_sp_CAG_330,MetS,-0.04925,0.0
Streptococcus_salivarius,MetS,0.12367,0.0
Streptococcus_thermophilus,MetS,0.00384,0.0
Veillonella_atypica,MetS,-0.00133,0.0
Veillonella_dispar,MetS,,
Veillonella_infantium,MetS,,
Veillonella_parvula,MetS,-0.01881,1.0
Alistipes_finegoldii,MetS,0.15921,1.0
Alistipes_inops,MetS,0.28778,1.0
Bacteroides_dorei,MetS,0.14553,0.0
Bacteroides_eggerthii,MetS,0.2732,1.0
Bacteroides_fragilis,MetS,-0.25295,1.0
Bacteroides_sp_CAG_144,MetS,0.137,0.0
Bacteroides_sp_CAG_443,MetS,,
Bifidobacterium_adolescentis,MetS,0.05578,0.0
Bifidobacterium_bifidum,MetS,0.1592,0.0
Bifidobacterium_pseudocatenulatum,MetS,-0.04511,0.0
Catenibacterium_mitsuokai,MetS,,
Clostridium_leptum,MetS,0.04099,0.0
Coprococcus_catus,MetS,-0.07131,0.0
Dialister_succinatiphilus,MetS,0.01581,0.0
Eubacterium_siraeum,MetS,0.24868,1.0
Eubacterium_sp_CAG_251,MetS,0.07386,0.0
Eubacterium_sp_CAG_274,MetS,-0.01234,0.0
Faecalitalea_cylindroides,MetS,0.0,0.0
Firmicutes_bacterium_CAG_110,MetS,0.10992,0.0
Firmicutes_bacterium_CAG_238,MetS,,
Firmicutes_bacterium_CAG_83,MetS,-0.12639,0.0
Holdemanella_biformis,MetS,0.05126,0.0
Lawsonibacter_asaccharolyticus,MetS,0.01756,1.0
Methanobrevibacter_smithii,MetS,0.05304,0.0
Ruminococcus_bromii,MetS,0.08676,0.0
Ruminococcus_sp_CAG_403,MetS,,
Ruminococcus_torques,MetS,-0.08652,0.0
Ruthenibacterium_lactatiformans,MetS,0.08454,0.0
Acidaminococcus_intestini,MetS,-0.12516,0.0
Bacteroides_caccae,MetS,0.16787,0.0
Bacteroides_clarus,MetS,0.04279,1.0
Bacteroides_intestinalis,MetS,,
Clostridium_sp_CAG_167,MetS,,
Clostridium_sp_CAG_253,MetS,0.01031,1.0
Eubacterium_ventriosum,MetS,0.07247,0.0
Adlercreutzia_equolifaciens,MetS,0.10158,0.0
Asaccharobacter_celatus,MetS,0.13857,0.0
Bacteroides_plebeius,MetS,0.22808,1.0
Bacteroides_xylanisolvens,MetS,0.21463,1.0
Bilophila_wadsworthia,MetS,-0.04938,0.0
Blautia_hansenii,MetS,0.06749,0.0
Clostridium_sp_CAG_242,MetS,-0.04769,0.0
Collinsella_intestinalis,MetS,-0.03835,0.0
Coprococcus_eutactus,MetS,0.12307,0.0
Dialister_sp_CAG_357,MetS,0.09794,0.0
Eggerthella_lenta,MetS,0.35704,1.0
Escherichia_coli,MetS,-0.11712,0.0
Olsenella_scatoligenes,MetS,-0.00604,0.0
Ruminococcus_gnavus,MetS,0.22891,1.0
Sellimonas_intestinalis,MetS,0.12096,0.0
Streptococcus_parasanguinis,MetS,0.08463,0.0
Streptococcus_parauberis,MetS,0.0,0.0
Tyzzerella_nexilis,MetS,0.0,0.0
Bacteroides_nordii,MetS,,
Bacteroides_stercoris,MetS,0.108,0.0
Brachyspira_sp_CAG_700,MetS,0.03419,1.0
Clostridium_sp_CAG_413,MetS,,
Dialister_invisus,MetS,0.03589,0.0
Haemophilus_parainfluenzae,MetS,0.01833,1.0
Megamonas_funiformis_CAG_377,MetS,-0.15284,0.0
Megamonas_hypermegale,MetS,-0.02385,0.0
Parabacteroides_johnsonii,MetS,-0.07826,0.0
Prevotella_copri,MetS,-0.12881,1.0
Bacteroides_faecis,MetS,0.16981,1.0
Escherichia_marmotae,MetS,,
Eubacterium_sp_OM08_24,MetS,,
Lactobacillus_rogosae,MetS,,
Megamonas_funiformis,MetS,-0.03565,0.0
Ruminococcus_champanellensis,MetS,,
Ruminococcus_sp_CAG_624,MetS,,
Firmicutes_bacterium_CAG_95,MetS,,
Ruminococcaceae_bacterium_D16,MetS,,
Firmicutes_bacterium_CAG_170,MetS,,
Roseburia_sp_CAG_182,MetS,0.0358,0.0
Ruminococcus_sp_CAG_488,MetS,,
Clostridium_sp_CAG_590,MetS,,
Ruminococcus_callidus,MetS,0.00933,0.0
Lactobacillus_ruminis,MetS,-0.12273,0.0
Phascolarctobacterium_sp_CAG_266,MetS,0.06944,0.0
Alistipes_indistinctus,MetS,,
Anaerotruncus_colihominis,MetS,,
Eubacterium_sp_CAG_180,MetS,0.06006,0.0
Agathobaculum_butyriciproducens,MDR,0.22177,1.0
Anaerostipes_hadrus,MDR,0.36766,1.0
Bacteroides_dorei,MDR,0.14553,0.0
Bacteroides_fragilis,MDR,-0.25295,1.0
Bacteroides_uniformis,MDR,0.19747,1.0
Bifidobacterium_adolescentis,MDR,0.05578,0.0
Bifidobacterium_longum,MDR,0.01434,0.0
Bifidobacterium_pseudocatenulatum,MDR,-0.04511,0.0
Blautia_obeum,MDR,0.19502,1.0
Blautia_wexlerae,MDR,0.30042,1.0
Collinsella_aerofaciens,MDR,0.04539,0.0
Coprococcus_catus,MDR,-0.07131,0.0
Coprococcus_comes,MDR,0.03887,0.0
Coprococcus_eutactus,MDR,0.12307,0.0
Cutibacterium_acnes,MDR,,
Desulfovibrio_piger,MDR,-0.08739,0.0
Dorea_formicigenerans,MDR,0.20746,1.0
Dorea_longicatena,MDR,-0.00391,0.0
Escherichia_coli,MDR,-0.11712,0.0
Eubacterium_eligens,MDR,0.15343,0.0
Eubacterium_hallii,MDR,0.16673,1.0
Eubacterium_ramulus,MDR,0.36631,1.0
Eubacterium_rectale,MDR,0.03024,0.0
Eubacterium_sp_CAG_38,MDR,0.09258,0.0
Faecalibacterium_prausnitzii,MDR,-0.00954,0.0
Firmicutes_bacterium_CAG_110,MDR,0.10992,0.0
Fusicatenibacter_saccharivorans,MDR,0.21079,1.0
Gemmiger_formicilis,MDR,0.03995,0.0
Holdemanella_biformis,MDR,0.05126,0.0
Intestinibacter_bartlettii,MDR,0.05269,0.0
Lachnospira_pectinoschiza,MDR,-0.17826,1.0
Lactobacillus_rogosae,MDR,,
Lactobacillus_ruminis,MDR,-0.12273,0.0
Oscillibacter_sp_57_20,MDR,0.29901,1.0
Oscillibacter_sp_CAG_241,MDR,0.06981,0.0
Paraprevotella_xylaniphila,MDR,0.02399,0.0
Prevotella_copri,MDR,-0.12881,1.0
Roseburia_faecis,MDR,-0.0184,0.0
Roseburia_intestinalis,MDR,0.09353,0.0
Roseburia_inulinivorans,MDR,0.21928,1.0
Ruminococcus_bromii,MDR,0.08676,0.0
Ruminococcus_torques,MDR,-0.08652,0.0
Slackia_isoflavoniconvertens,MDR,0.19049,0.0
Alistipes_putredinis,MDR,0.07038,0.0
Bacteroides_coprocola,MDR,-0.05565,0.0
Catenibacterium_mitsuokai,MDR,,
Clostridium_sp_CAG_167,MDR,,
Dialister_sp_CAG_357,MDR,0.09794,0.0
Eubacterium_siraeum,MDR,0.24868,1.0
Eubacterium_sp_CAG_180,MDR,0.06006,0.0
Megasphaera_elsdenii,MDR,0.31221,1.0
Methanobrevibacter_smithii,MDR,0.05304,0.0
Parabacteroides_distasonis,MDR,-0.04499,0.0
Phascolarctobacterium_sp_CAG_266,MDR,0.06944,0.0
Roseburia_hominis,MDR,0.14261,0.0
Roseburia_sp_CAG_182,MDR,0.0358,0.0
Ruminococcus_callidus,MDR,0.00933,0.0
Ruminococcus_lactaris,MDR,-0.074,0.0
Odoribacter_splanchnicus,MDR,0.13157,0.0
Akkermansia_muciniphila,MDR,0.01261,0.0
Alistipes_finegoldii,MDR,0.15921,1.0
Alistipes_onderdonkii,MDR,,
Anaerococcus_nagyae,MDR,,
Anaerococcus_octavius,MDR,,
Bacteroides_caccae,MDR,0.16787,0.0
Bacteroides_thetaiotaomicron,MDR,-0.0114,0.0
Bacteroides_vulgatus,MDR,-0.03675,0.0
Barnesiella_intestinihominis,MDR,0.33155,1.0
Bifidobacterium_bifidum,MDR,0.1592,0.0
Clostridium_innocuum,MDR,,
Cutibacterium_avidum,MDR,,
Cutibacterium_granulosum,MDR,,
Dialister_invisus,MDR,0.03589,0.0
Dolosigranulum_pigrum,MDR,,
Hungatella_hathewayi,MDR,,
Malassezia_restricta,MDR,,
Methanosphaera_stadtmanae,MDR,,
Parabacteroides_goldsteinii,MDR,,
Parvimonas_micra,MDR,,
Propionibacterium_namnetense,MDR,,
Ruminococcus_bicirculans,MDR,0.10403,0.0
Ruthenibacterium_lactatiformans,MDR,0.08454,0.0
Sphingomonas_melonis,MDR,,
Staphylococcus_capitis,MDR,,
Staphylococcus_epidermidis,MDR,,
Staphylococcus_warneri,MDR,,
Anaerotruncus_sp_CAG_528,MDR,-0.06274,0.0
Asaccharobacter_celatus,MDR,0.13857,0.0
Bacteroides_cellulosilyticus,MDR,0.07076,0.0
Bacteroides_eggerthii,MDR,0.2732,1.0
Bacteroides_massiliensis,MDR,0.15209,0.0
Bacteroides_salyersiae,MDR,0.05019,0.0
Bifidobacterium_catenulatum,MDR,-0.00433,0.0
Desulfovibrionaceae_bacterium,MDR,,
Parabacteroides_merdae,MDR,0.0927,0.0
Parasutterella_excrementihominis,MDR,0.17896,0.0
Prevotella_sp_CAG_279,MDR,0.10543,0.0
Roseburia_sp_CAG_303,MDR,-0.00039,0.0
Roseburia_sp_CAG_471,MDR,0.01934,0.0
Ruminococcus_champanellensis,MDR,,
Clostridium_sp_CAG_242,MDR,-0.04769,0.0
Intestinimonas_butyriciproducens,MDR,,
Oxalobacter_formigenes,MDR,,
Phascolarctobacterium_faecium,MDR,0.02561,0.0
Bacteroides_ovatus,MDR,-0.13762,0.0
Bacteroides_plebeius,MDR,0.22808,1.0
Bacteroides_stercoris,MDR,0.108,0.0
Bifidobacterium_breve,MDR,,
Mitsuokella_multacida,MDR,,
Olsenella_scatoligenes,MDR,-0.00604,0.0
Ruminococcus_sp_CAG_330,MDR,-0.04925,0.0
Streptococcus_salivarius,MDR,0.12367,0.0
Adlercreutzia_equolifaciens,MDR,0.10158,0.0
Bacteroides_clarus,MDR,0.04279,1.0
Eubacterium_sp_CAG_274,MDR,-0.01234,0.0
Flavonifractor_plautii,MDR,-0.03545,0.0
Megasphaera_sp_DISK_18,MDR,,
Mitsuokella_jalaludinii,MDR,,
Ruminococcus_gnavus,MDR,0.22891,1.0
Sellimonas_intestinalis,MDR,0.12096,0.0
Anaeromassilibacillus_sp_An250,MDR,,
Firmicutes_bacterium_CAG_94,MDR,,
Parabacteroides_johnsonii,MDR,-0.07826,0.0
Streptococcus_thermophilus,MDR,0.00384,0.0
Bacteroides_sp_CAG_144,MDR,0.137,0.0
Bacteroides_xylanisolvens,MDR,0.21463,1.0
Brachyspira_sp_CAG_700,MDR,0.03419,1.0
Eubacterium_ventriosum,MDR,0.07247,0.0
Lactococcus_lactis,MDR,,
Lawsonibacter_asaccharolyticus,MDR,0.01756,1.0
Streptococcus_parasanguinis,MDR,0.08463,0.0
Bacteroides_intestinalis,MDR,,
Haemophilus_parainfluenzae,MDR,0.01833,1.0
Alistipes_shahii,MDR,0.3263,1.0
Bacteroides_coprophilus,MDR,,
Firmicutes_bacterium_CAG_83,MDR,-0.12639,0.0
Prevotella_sp_CAG_1124,MDR,,
Propionibacterium_freudenreichii,MDR,,
Ruminococcus_sp_CAG_403,MDR,,
Butyrivibrio_crossotus,MDR,,
Clostridium_sp_CAG_413,MDR,,
Clostridium_sp_CAG_590,MDR,,
Clostridium_sp_CAG_632,MDR,,
Eubacterium_sp_CAG_251,MDR,0.07386,0.0
Firmicutes_bacterium_CAG_238,MDR,,
Hafnia_alvei,MDR,,
Prevotella_sp_CAG_1092,MDR,,
Prevotella_sp_CAG_5226,MDR,,
Prevotella_stercorea,MDR,,
Ruminococcus_sp_CAG_563,MDR,,
Bacteroides_finegoldii,MDR,0.08317,0.0
Alistipes_indistinctus,MDR,,
Bacteroides_pectinophilus,MDR,,
Blastocystis_sp_subtype_1,MDR,,
Megamonas_funiformis,MDR,-0.03565,0.0
Prevotella_sp_AM42_24,MDR,,
Bifidobacterium_angulatum,MDR,-0.03101,1.0
Dialister_succinatiphilus,MDR,0.01581,0.0
Lactobacillus_delbrueckii,MDR,,
