species,disease,causal_ace,causal_sig
Alistipes_onderdonkii,ICI,,
Bacteroides_caccae,ICI,0.16787,0.0
Bacteroides_fragilis,ICI,-0.25295,1.0
Blautia_hansenii,ICI,0.06749,0.0
Blautia_hydrogenotrophica,ICI,,
Blautia_sp_N6H1_15,ICI,,
Clostridium_bolteae,ICI,,
Clostridium_clostridioforme,ICI,,
Clostridium_saccharolyticum,ICI,,
Clostridium_sp_CAG_58,ICI,0.01147,0.0
Clostridium_symbiosum,ICI,,
Collinsella_intestinalis,ICI,-0.03835,0.0
Collinsella_stercoris,ICI,,
Dorea_sp_CAG_317,ICI,,
Eisenbergiella_massiliensis,ICI,,
Firmicutes_bacterium_CAG_145,ICI,,
Harryflintia_acetispora,ICI,,
Klebsiella_pneumoniae,ICI,,
Klebsiella_quasipneumoniae,ICI,,
Klebsiella_variicola,ICI,,
Monoglobus_pectinilyticus,ICI,-0.10387,0.0
Streptococcus_parasanguinis,ICI,0.08463,0.0
Bacteroides_cellulosilyticus,ICI,0.07076,0.0
Bacteroides_intestinalis,ICI,,
Bacteroides_massiliensis,ICI,0.15209,0.0
Bacteroides_plebeius,ICI,0.22808,1.0
Bacteroides_thetaiotaomicron,ICI,-0.0114,0.0
Bacteroides_xylanisolvens,ICI,0.21463,1.0
Bilophila_wadsworthia,ICI,-0.04938,0.0
Butyrivibrio_crossotus,ICI,,
Clostridium_sp_CAG_167,ICI,,
Dialister_invisus,ICI,0.03589,0.0
Firmicutes_bacterium_CAG_110,ICI,0.10992,0.0
Firmicutes_bacterium_CAG_83,ICI,-0.12639,0.0
Klebsiella_aerogenes,ICI,,
Parabacteroides_sp_CAG_409,ICI,,
Parasutterella_excrementihominis,ICI,0.17896,0.0
Roseburia_sp_CAG_309,ICI,,
Ruminococcaceae_bacterium_D5,ICI,,
Anaerotignum_lactatifermentans,ICI,,
Eubacterium_siraeum,ICI,0.24868,1.0
Lactobacillus_animalis,ICI,,
Proteobacteria_bacterium_CAG_139,ICI,-0.08256,0.0
Candidatus_Stoquefichus_sp_KLE1796,ICI,0.08663,0.0
Clostridium_leptum,ICI,0.04099,0.0
Clostridium_scindens,ICI,,
Intestinimonas_butyriciproducens,ICI,,
Turicimonas_muris,ICI,,
Clostridium_sp_CAG_242,ICI,-0.04769,0.0
Lawsonibacter_asaccharolyticus,ICI,0.01756,1.0
Eubacterium_sp_CAG_251,ICI,0.07386,0.0
Firmicutes_bacterium_CAG_94,ICI,,
Alistipes_sp_An31A,ICI,,
Bacteroides_faecis_CAG_32,ICI,,
Escherichia_albertii,ICI,,
Turicibacter_sanguinis,ICI,,
Prevotella_corporis,ICI,,
Roseburia_sp_CAG_182,ICI,0.0358,0.0
Streptococcus_lutetiensis,ICI,,
Haemophilus_parainfluenzae,ICI,0.01833,1.0
Adlercreutzia_equolifaciens,IBD,0.10158,0.0
Agathobaculum_butyriciproducens,IBD,0.22177,1.0
Alistipes_finegoldii,IBD,0.15921,1.0
Alistipes_putredinis,IBD,0.07038,0.0
Anaerostipes_hadrus,IBD,0.36766,1.0
Asaccharobacter_celatus,IBD,0.13857,0.0
Bacteroides_caccae,IBD,0.16787,0.0
Bacteroides_cellulosilyticus,IBD,0.07076,0.0
Bacteroides_coprocola,IBD,-0.05565,0.0
Bacteroides_dorei,IBD,0.14553,0.0
Bacteroides_finegoldii,IBD,0.08317,0.0
Bacteroides_massiliensis,IBD,0.15209,0.0
Bacteroides_stercoris,IBD,0.108,0.0
Bacteroides_thetaiotaomicron,IBD,-0.0114,0.0
Bacteroides_uniformis,IBD,0.19747,1.0
Bacteroides_vulgatus,IBD,-0.03675,0.0
Bacteroides_xylanisolvens,IBD,0.21463,1.0
Bifidobacterium_adolescentis,IBD,0.05578,0.0
Bifidobacterium_catenulatum,IBD,-0.00433,0.0
Bifidobacterium_longum,IBD,0.01434,0.0
Bilophila_wadsworthia,IBD,-0.04938,0.0
Blautia_obeum,IBD,0.19502,1.0
Blautia_wexlerae,IBD,0.30042,1.0
Clostridium_sp_CAG_253,IBD,0.01031,1.0
Clostridium_sp_CAG_58,IBD,0.01147,0.0
Collinsella_aerofaciens,IBD,0.04539,0.0
Coprococcus_catus,IBD,-0.07131,0.0
Coprococcus_comes,IBD,0.03887,0.0
Dorea_formicigenerans,IBD,0.20746,1.0
Dorea_longicatena,IBD,-0.00391,0.0
Eubacterium_hallii,IBD,0.16673,1.0
Eubacterium_ramulus,IBD,0.36631,1.0
Eubacterium_rectale,IBD,0.03024,0.0
Eubacterium_sp_CAG_274,IBD,-0.01234,0.0
Eubacterium_sp_CAG_38,IBD,0.09258,0.0
Faecalibacterium_prausnitzii,IBD,-0.00954,0.0
Firmicutes_bacterium_CAG_83,IBD,-0.12639,0.0
Flavonifractor_plautii,IBD,-0.03545,0.0
Fusicatenibacter_saccharivorans,IBD,0.21079,1.0
Gemmiger_formicilis,IBD,0.03995,0.0
Holdemanella_biformis,IBD,0.05126,0.0
Lachnospira_pectinoschiza,IBD,-0.17826,1.0
Megamonas_hypermegale,IBD,-0.02385,0.0
Odoribacter_splanchnicus,IBD,0.13157,0.0
Parabacteroides_distasonis,IBD,-0.04499,0.0
Phascolarctobacterium_faecium,IBD,0.02561,0.0
Roseburia_faecis,IBD,-0.0184,0.0
Roseburia_intestinalis,IBD,0.09353,0.0
Roseburia_inulinivorans,IBD,0.21928,1.0
Ruminococcus_lactaris,IBD,-0.074,0.0
Ruminococcus_torques,IBD,-0.08652,0.0
Slackia_isoflavoniconvertens,IBD,0.19049,0.0
Streptococcus_salivarius,IBD,0.12367,0.0
Akkermansia_muciniphila,IBD,0.01261,0.0
Bacteroides_ovatus,IBD,-0.13762,0.0
Bacteroides_plebeius,IBD,0.22808,1.0
Barnesiella_intestinihominis,IBD,0.33155,1.0
Bifidobacterium_bifidum,IBD,0.1592,0.0
Blastocystis_sp_subtype_1,IBD,,
Brachyspira_sp_CAG_700,IBD,0.03419,1.0
Dialister_sp_CAG_357,IBD,0.09794,0.0
Eubacterium_eligens,IBD,0.15343,0.0
Eubacterium_ventriosum,IBD,0.07247,0.0
Firmicutes_bacterium_CAG_110,IBD,0.10992,0.0
Methanobrevibacter_smithii,IBD,0.05304,0.0
Oscillibacter_sp_57_20,IBD,0.29901,1.0
Oscillibacter_sp_CAG_241,IBD,0.06981,0.0
Phascolarctobacterium_sp_CAG_266,IBD,0.06944,0.0
Prevotella_sp_CAG_1185,IBD,,
Roseburia_hominis,IBD,0.14261,0.0
Ruminococcus_bicirculans,IBD,0.10403,0.0
Ruminococcus_bromii,IBD,0.08676,0.0
Ruminococcus_sp_CAG_330,IBD,-0.04925,0.0
Streptococcus_thermophilus,IBD,0.00384,0.0
Blautia_hydrogenotrophica,IBD,,
Clostridium_bolteae,IBD,,
Clostridium_bolteae_CAG_59,IBD,,
Clostridium_innocuum,IBD,,
Clostridium_leptum,IBD,0.04099,0.0
Eggerthella_lenta,IBD,0.35704,1.0
Gordonibacter_pamelaeae,IBD,0.12097,0.0
Sellimonas_intestinalis,IBD,0.12096,0.0
Bifidobacterium_pseudocatenulatum,IBD,-0.04511,0.0
Coprococcus_eutactus,IBD,0.12307,0.0
Dialister_invisus,IBD,0.03589,0.0
Eubacterium_sp_CAG_251,IBD,0.07386,0.0
Prevotella_copri,IBD,-0.12881,1.0
Alistipes_shahii,IBD,0.3263,1.0
Intestinibacter_bartlettii,IBD,0.05269,0.0
Parabacteroides_merdae,IBD,0.0927,0.0
Streptococcus_parasanguinis,IBD,0.08463,0.0
Veillonella_parvula,IBD,-0.01881,1.0
Bacteroides_fragilis,IBD,-0.25295,1.0
Butyricimonas_virosa,IBD,,
Collinsella_intestinalis,IBD,-0.03835,0.0
Coprobacter_fastidiosus,IBD,,
Ruminococcus_callidus,IBD,0.00933,0.0
Agathobaculum_butyriciproducens,IBD,0.12483,1.0
Alistipes_finegoldii,IBD,0.22177,0.0
Alistipes_putredinis,IBD,0.27605,1.0
Anaerostipes_hadrus,IBD,0.02109,1.0
Bacteroides_cellulosilyticus,IBD,0.07683,0.0
Bacteroides_dorei,IBD,0.22249,1.0
Bacteroides_thetaiotaomicron,IBD,0.10749,0.0
Bacteroides_uniformis,IBD,0.18457,1.0
Bifidobacterium_longum,IBD,0.0232,1.0
Blautia_obeum,IBD,0.07465,1.0
Blautia_wexlerae,IBD,0.22541,1.0
Collinsella_aerofaciens,IBD,0.02621,1.0
Coprococcus_catus,IBD,0.10577,0.0
Coprococcus_comes,IBD,0.01811,1.0
Dorea_formicigenerans,IBD,0.0267,1.0
Eubacterium_eligens,IBD,0.26004,1.0
Eubacterium_hallii,IBD,0.01811,1.0
Eubacterium_ramulus,IBD,0.0,0.0
Eubacterium_rectale,IBD,-0.04728,0.0
Eubacterium_siraeum,IBD,0.24868,1.0
Fusicatenibacter_saccharivorans,IBD,0.13615,0.0
Gemmiger_formicilis,IBD,0.26016,1.0
Propionibacterium_freudenreichii,IBD,,
Roseburia_inulinivorans,IBD,0.04042,0.0
Roseburia_sp_CAG_182,IBD,0.0358,0.0
Ruminococcus_torques,IBD,0.10467,0.0
Ruthenibacterium_lactatiformans,IBD,0.08454,0.0
Streptococcus_salivarius,IBD,-0.0768,0.0
Alistipes_inops,IBD,0.28778,1.0
Anaerotignum_lactatifermentans,IBD,,
Bacteroides_caccae,IBD,0.13236,0.0
Bacteroides_eggerthii,IBD,0.2732,1.0
Bacteroides_faecis,IBD,0.16981,1.0
Bacteroides_fluxus,IBD,,
Bacteroides_salyersiae,IBD,0.05019,0.0
Bacteroides_vulgatus,IBD,0.08121,1.0
Barnesiella_intestinihominis,IBD,0.27363,1.0
Bifidobacterium_adolescentis,IBD,0.02665,1.0
Blautia_sp_CAG_257,IBD,0.01162,0.0
Catenibacterium_mitsuokai,IBD,,
Clostridium_sp_CAG_167,IBD,,
Escherichia_coli,IBD,-0.11712,0.0
Lawsonibacter_asaccharolyticus,IBD,0.01756,1.0
Odoribacter_splanchnicus,IBD,0.0,0.0
Parabacteroides_distasonis,IBD,0.09061,0.0
Parabacteroides_merdae,IBD,0.1703,1.0
Paraprevotella_xylaniphila,IBD,0.02399,0.0
Phascolarctobacterium_succinatutens,IBD,,
Roseburia_faecis,IBD,0.07068,0.0
Roseburia_intestinalis,IBD,0.08206,0.0
Ruminococcus_gnavus,IBD,0.22891,1.0
Ruminococcus_lactaris,IBD,-0.14919,0.0
Bacteroides_faecis_CAG_32,IBD,,
Enterococcus_faecalis,IBD,,
Firmicutes_bacterium_CAG_145,IBD,,
Ruminococcus_bicirculans,IBD,-0.06659,0.0
Ruminococcus_sp_CAG_403,IBD,,
Clostridium_spiroforme,IBD,0.1634,0.0
Lactococcus_lactis,IBD,,
Actinomyces_graevenitzii,IBD,,
Actinomyces_sp_ICM47,IBD,,
Clostridium_celatum,IBD,,
Clostridium_disporicum,IBD,,
Dorea_sp_CAG_317,IBD,,
Eubacterium_ventriosum,IBD,0.04124,0.0
Bacteroides_ovatus,IBD,0.26001,1.0
Megamonas_funiformis,IBD,-0.03565,0.0
Megamonas_funiformis_CAG_377,IBD,-0.15284,0.0
Prevotella_sp_CAG_891,IBD,,
Eubacterium_sp_CAG_180,IBD,0.06006,0.0
Monoglobus_pectinilyticus,IBD,-0.10387,0.0
Enterococcus_faecium,IBD,,
Hafnia_alvei,IBD,,
Methanosphaera_stadtmanae,IBD,,
Corynebacterium_variabile,IBD,,
Haemophilus_parainfluenzae,IBD,0.01833,1.0
Lactobacillus_delbrueckii,IBD,,
Lactobacillus_plantarum,IBD,,
Parasutterella_excrementihominis,IBD,0.17896,0.0
Roseburia_sp_CAG_303,IBD,-0.00039,0.0
Veillonella_dispar,IBD,,
Bacteroides_sp_CAG_144,IBD,0.137,0.0
Desulfovibrionaceae_bacterium,IBD,,
Proteobacteria_bacterium_CAG_139,IBD,-0.08256,0.0
Acidaminococcus_intestini,IBD,-0.12516,0.0
Bacteroides_clarus,IBD,0.04279,1.0
Butyricimonas_synergistica,IBD,,
Coprobacter_secundus,IBD,,
Bacteroides_nordii,IBD,,
Bacteroides_pectinophilus,IBD,,
Butyrivibrio_crossotus,IBD,,
Desulfovibrio_piger,IBD,-0.08739,0.0
Firmicutes_bacterium_CAG_95,IBD,,
Prevotella_sp_CAG_520,IBD,,
Prevotella_stercorea,IBD,,
Roseburia_sp_CAG_309,IBD,,
Ruminococcus_sp_CAG_563,IBD,,
Alistipes_onderdonkii,IBD,,
Veillonella_atypica,IBD,-0.00133,0.0
