feature,mean_abs_shap
niche_overlap_mean,0.07987852587560719
donor_abundance,0.06583100542769728
crossfeeding_synergy,0.036290877813819115
keystone_conflict_mean,0.02629680041603715
resource_accessibility,0.024860772925258193
causal_ace,0.023439888794178614
acetate_flux,0.01743483749033093
therapeutic_score,0.012932478446406128
disease_MetS,0.01266375493602043
succinate_flux,0.010862578312626414
formate_flux,0.010046218758780161
causal_ace_missing,0.009643371454234783
causal_sig,0.006069013513163166
disease_IBD,0.005524822920896896
disease_rCDI,0.00515704463567403
disease_MDR,0.0039047360703420297
crossfeeding_synergy_missing,0.003460178937497845
lactate_flux,0.00302718644918951
scfa_missing,0.003015903901902625
propionate_flux,0.002896116858074899
butyrate_flux,0.0027944604862137315
resource_accessibility_missing,0.0027154303542620186
disease_ICI,0.0019190284104860266
