case,drci
FRICKE_Case_16,0.011462435432757621
FRICKE_Case_18,0.008559764608315649
FRICKE_Case_19,0.005775954218307041
FRICKE_Case_20,0.004900343906727716
FRICKE_Case_23,0.0070369213229580715
FRICKE_Case_28,0.009643483568114683
FRICKE_Case_29,0.008230895945630923
FRICKE_Case_54,0.00548472792405533
FRICKE_Case_9,0.004352012694647807
ALM_Case_4,0.006552319495944397
ALM_Case_25,0.013952129404663742
ALM_Case_6,0.006552578076114694
ALM_Case_8,0.006534171462085796
ALM_Case_1,0.007709530787539756
ALM_Case_3,0.007738179351716027
ALM_Case_9,0.006550295348351534
ALM_Case_12,0.006554235241115069
ALM_Case_13,0.006554700504856953
ALM_Case_15,0.005529011799025277
ALM_Case_18,0.00617674301011819
ALM_Case_20,0.0055289031710763
ALM_Case_21,0.005500130649126193
ALM_Case_22,0.013953371641698485
ALM_Case_23,0.014071195988081129
ALM_Case_24,0.013953793608981904
ALM_Case_5,
DA_R01,0.013118743623312511
DA_R02,0.010320235736601319
DA_R03,0.0123172278136133
DA_R04,0.01328476409641044
DA_R05,0.010163225247299878
DB_R01,0.008154984649726074
DB_R02,0.010467755575293195
DB_R03,0.008725105728611182
DB_R04,0.011014485196521406
DB_R05,0.008579040094102685
BORK_Case_6,0.007196183227713609
BORK_Case_8,0.007142765704605207
BORK_Case_12,0.00653885913635652
BORK_Case_15,0.007138080185423407
BORK_Case_20,0.005786392560028746
FDM002,0.008684356611307543
FDM020,0.009039216943906633
FDM019,0.008948324315808642
FDM017,0.008980582757064304
FDM013,0.009002015639880831
FDM001,0.008953133060963193
FDM012,0.008964947381430135
FDM010,0.009042741979737324
FDM009,0.009007554036103845
FDM008,0.00895339406693117
FDM006,0.00894835413567595
FDM004,0.008936209895564401
FDM040,0.009063861927134572
FDM037,0.008816431987140166
FDM035,0.009072581764941528
FDM034,0.00905814126748233
FDM022,0.00882669144334626
FDM031,0.008934835719775516
FDM030,0.008947659572784691
FDM028,0.008788232431073796
FDM026,0.008937512190713407
FDM025,0.00901623549420178
FDM024,0.009012424417731405
FDM061,0.00903543421217344
FDM060,0.00894331915055679
FDM043,0.008707397555129493
FDM059,0.009041745028357336
FDM055,0.00901318116271046
FDM053,0.009018088838303148
FDM051,0.008714835873072478
FDM050,0.008844714037881944
FDM049,0.008730044985689998
FDM042,0.009028050639650571
FDM048,0.008807244234480885
FDM047,0.009052097718627482
FDM046,0.008922239663234723
