species,ace,ci_lower,ci_upper,p_value,significant,n_samples,n_parents_adjusted,p_corrected,sig_bonferroni,p_fdr,sig_fdr
Phascolarctobacterium_sp_CAG_266,0.06944,-0.12596,0.2689,0.57333,0,19,0,1.0,0,0.7833,0
Erysipelatoclostridium_ramosum,0.0678,-0.15652,0.24301,0.67333,0,12,0,1.0,0,0.85637,0
Blautia_hansenii,0.06749,-0.01606,0.18311,0.2381,0,37,0,1.0,0,0.49362,0
Eubacterium_sp_CAG_180,0.06006,-0.14993,0.25736,0.6,0,32,0,1.0,0,0.80204,0
Bifidobacterium_adolescentis,0.05578,-0.06239,0.1817,0.42,0,119,2,1.0,0,0.68163,0
Methanobrevibacter_smithii,0.05304,-0.13787,0.25394,0.70667,0,14,0,1.0,0,0.88157,0
Intestinibacter_bartlettii,0.05269,-0.12607,0.22696,0.51333,0,27,0,1.0,0,0.75125,0
Holdemanella_biformis,0.05126,-0.16464,0.25968,0.74,0,17,0,1.0,0,0.89715,0
Bacteroides_salyersiae,0.05019,-0.11345,0.22451,0.60667,0,25,0,1.0,0,0.80277,0
Collinsella_aerofaciens,0.04539,-0.01997,0.11136,0.19333,0,137,2,1.0,0,0.469,0
Bacteroides_clarus,0.04279,0.00874,0.09013,0.00333,1,18,0,0.43623,0,0.02077,1
Clostridium_leptum,0.04099,-0.11668,0.18308,0.63918,0,10,0,1.0,0,0.82904,0
Gemmiger_formicilis,0.03995,-0.12019,0.19492,0.61333,0,128,0,1.0,0,0.80346,0
Coprococcus_comes,0.03887,-0.06071,0.14829,0.53333,0,137,0,1.0,0,0.75125,0
Dialister_invisus,0.03589,-0.16434,0.26877,0.78,0,28,0,1.0,0,0.92054,0
Roseburia_sp_CAG_182,0.0358,-0.04244,0.1284,0.45614,0,34,0,1.0,0,0.70299,0
Brachyspira_sp_CAG_700,0.03419,0.02276,0.17208,0.00333,1,19,0,0.43623,0,0.02077,1
Eubacterium_rectale,0.03024,-0.07869,0.10788,0.54,0,144,0,1.0,0,0.75255,0
Phascolarctobacterium_faecium,0.02561,-0.14544,0.18547,0.83333,0,91,0,1.0,0,0.94109,0
Paraprevotella_xylaniphila,0.02399,-0.19554,0.25366,0.75333,0,19,0,1.0,0,0.89715,0
Roseburia_sp_CAG_471,0.01934,-0.09486,0.17567,0.90476,0,11,0,1.0,0,0.98071,0
Haemophilus_parainfluenzae,0.01833,0.01086,0.13788,0.00333,1,20,0,0.43623,0,0.02077,1
Lawsonibacter_asaccharolyticus,0.01756,0.0119,0.10404,0.00333,1,25,0,0.43623,0,0.02077,1
Dialister_succinatiphilus,0.01581,-0.21239,0.20929,0.82,0,16,0,1.0,0,0.94109,0
Bifidobacterium_longum,0.01434,-0.10536,0.12903,0.86,0,134,1,1.0,0,0.95475,0
Akkermansia_muciniphila,0.01261,-0.14327,0.16083,0.97333,0,96,0,1.0,0,1.0,0
Blautia_sp_CAG_257,0.01162,-0.18112,0.19024,0.93151,0,17,0,1.0,0,0.98602,0
Clostridium_sp_CAG_58,0.01147,-0.15503,0.1968,0.91333,0,25,0,1.0,0,0.98071,0
Clostridium_sp_CAG_253,0.01031,0.00729,0.07925,0.00333,1,32,0,0.43623,0,0.02077,1
Ruminococcus_callidus,0.00933,-0.13255,0.15156,0.96296,0,23,0,1.0,0,1.0,0
Streptococcus_thermophilus,0.00384,-0.11433,0.17847,0.98667,0,76,0,1.0,0,1.0,0
Streptococcus_parauberis,0.0,0.0,0.0,2.0,0,29,0,1.0,0,1.0,0
